ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	AVG_REPS_PERIODICITY	REPS_SCATTER	TP_0_REP_1	TP_3_REP_1	TP_6_REP_1	TP_9_REP_1	TP_12_REP_1	TP_15_REP_1	TP_18_REP_1	TP_21_REP_1	TP_24_REP_1	TP_27_REP_1	TP_30_REP_1	TP_33_REP_1	TP_36_REP_1	TP_39_REP_1	TP_42_REP_1	TP_45_REP_1	TP_48_REP_1	TP_51_REP_1	TP_54_REP_1
VNG0001H	0.0064	0.414545454545455	20.7971968125186	19.8629720612213	0.337038103290438	0.948746766563878	0	0.769663	0.614680	0.288171	0.259592	0.276447	0.576740	0.543301	0.600268	0.552492	0.464218	0.662775	0.596982	0.926237	1.099669	1.083063	0.873928	0.543716	0.608949	0.912302
VNG0002G	0.9544	1	24.8751653617488	3.57476139776299	0.407597590783958	0.000220773016525239	0	0.755253	0.625811	0.382327	0.273515	0.521552	0.599126	0.600716	0.508805	0.390216	0.529212	0.866451	1.106562	1.019545	0.914553	1.493007	1.057096	0.727368	0.915875	0.821096
VNG0003C	0.1127	0.518326996197719	21.7550593969097	0.114060008022766	0.328309310035034	0.12006723583085	0	0.524084	0.358777	0.249278	0.213093	0.318329	0.354239	0.427565	0.515578	0.586520	0.563100	0.514178	0.636809	0.759236	0.824858	1.157677	0.937740	0.727368	0.623458	0.788496
VNG0005H	0.465	0.825564575645756	23.9111548021538	22.9281670481986	0.343022466715553	0.00612086110107912	0	1.539103	0.766968	0.905904	0.843518	0.910517	0.713826	0.728737	0.922593	0.744919	0.991257	0.836433	1.067563	0.895025	0.800886	0.860401	1.579697	1.208129	0.894561	1.055548
VNG0006G	0.0911	0.499039665970772	25.5664235605323	21.3485014755036	0.353844022003628	0.175824551858122	0	0.918143	1.370215	0.880013	0.445412	0.990937	1.118764	1.213587	1.399365	1.208154	1.244588	0.872583	0.751082	0.759236	0.941927	0.643345	1.072101	1.072172	0.807785	0.912302
VNG0008G	0.9394	1	23.689546516887	23.2606830342227	0.321235014733507	0.000289127346404102	0	0.856670	1.282951	0.766781	0.777674	0.701376	1.427514	0.918867	1.067060	1.009840	1.005024	1.439626	1.044826	1.210158	1.044353	1.529619	1.064572	0.944440	1.071547	1.153946
VNG0009G	0.8668	1	23.9325821324115	1.8969003819225	0.153532105870299	0.000626249007886348	0	0.935661	0.709582	0.594950	0.612955	0.635428	0.724782	0.451330	0.667258	0.653848	0.607480	0.536400	0.543810	0.469847	0.578999	0.624155	0.438054	0.640715	0.562980	0.556530
VNG0011C	0.7922	0.992960835509138	23.9447903346291	22.0765248119403	0.385218785536116	0.00106271709906616	0	1.491376	1.078615	0.692779	1.045631	1.241845	0.559436	0.763321	1.258876	0.808174	0.977678	0.963125	1.098650	1.084434	0.738495	1.405265	1.461861	1.434322	1.071547	1.153946
VNG0013C	0.0765	0.499039665970772	25.1306638164274	1.88282680237074	0.318365040219115	0.237619002192529	0	0.824892	1.378436	0.677876	0.612955	0.686691	0.806331	0.634105	0.813666	0.675515	0.741977	0.836433	1.197448	1.137746	0.907835	0.886854	0.408245	0.539674	0.585513	0.692625
VNG0014C	0.1105	0.518326996197719	22.0924743478857	6.48829132894777	1.25965728219175	0.124836856825421	0	1.306562	1.629792	3.917768	2.185601	1.843337	0.794142	2.183392	1.545281	3.392071	2.585291	2.715698	1.572829	0.939025	1.351828	0.717448	0.873928	1.351208	2.188812	0.855043
VNG0015H	3e-04	0.144	25.437372360736	25.3080013528872	0.302965161923173	0.999442132396988	0	0.862084	0.507588	0.522169	0.721144	0.696446	0.458937	0.424274	0.667258	0.940971	0.931601	0.757801	0.641395	0.492945	0.485095	0.566509	0.556662	1.010043	1.097078	1.117146
VNG0016H	0.0558	0.499039665970772	22.1410212084256	7.64465806275302	0.276709345480708	0.355760317646129	0	0.691493	1.353919	1.282923	1.524953	1.370729	0.883495	0.918867	1.194012	1.095589	1.261873	1.286022	1.082995	0.998790	1.265034	1.298865	1.027713	1.138122	1.224504	1.030200
VNG0017H	0.1245	0.519317406143345	22.3629153441899	12.9439417416985	0.877562304725362	0.100853638479975	0	0.745796	0.356637	0.653745	1.288670	1.215844	1.005617	1.223001	1.353855	1.453289	1.219102	1.842637	3.270085	0.759236	0.800886	0.785680	0.497302	1.181386	1.054857	0.733044
VNG0018H	0.3195	0.741586073500967	24.1236356600934	11.140809135523	0.855343718732097	0.0152463257068021	0	0.722670	0.809394	0.939342	1.794114	1.523699	0.938997	2.166584	1.117612	3.301159	1.448500	1.778799	2.065887	1.602939	1.283827	0.870886	1.461861	1.263447	1.443923	1.021886
VNG0019H	0.1176	0.519317406143345	22.9590139026165	5.98981693314225	0.502260206218702	0.111676638985366	0	0.840631	2.095321	1.665480	1.237352	1.012128	1.244641	1.047866	1.088439	1.228009	1.054733	1.124759	0.724612	0.648479	0.749466	0.651186	0.650020	0.857131	1.046610	1.099189
VNG0020H	0.2705	0.68990435706695	24.3590099399114	11.310187579496	0.808030562306702	0.0218327776213379	0	0.568813	0.565297	0.981100	2.398336	2.092868	1.494258	0.781223	0.685142	2.293859	1.253201	0.706203	1.232317	1.040731	1.842513	1.157677	0.803059	1.341163	1.399294	0.618349
VNG0021H	0.251	0.673072625698324	25.0080503348753	21.0403594275761	0.904280633798782	0.0252572954519245	0	1.548830	0.561925	0.582151	0.777674	1.670015	0.594580	0.985047	0.857868	2.256772	0.536562	0.371737	0.488316	0.288774	0.495944	0.196290	2.377354	1.301725	1.186657	1.005460
VNG0022H	0.5767	0.898094620868438	24.1411339583436	14.5132361783779	0.573093587455209	0.00356727727615843	0	0.918143	1.215703	0.812564	1.464226	1.950339	1.494258	1.483640	0.727154	1.664733	1.306145	1.224082	0.714286	0.830010	1.661808	0.408478	0.673333	1.104655	1.561823	0.861999
VNG0023H	0.549	0.87686170212766	24.57991115105	14.1995395545732	0.497744927256177	0.00404982843318315	0	0.709140	1.118033	0.529795	1.644493	1.198813	1.343135	1.321258	0.813666	0.740883	1.076782	0.506977	0.699074	0.569278	0.894546	0.322541	0.486898	1.217178	0.469993	0.608410
VNG0024H	0.5464	0.87686170212766	23.4227256816741	13.2100579465554	0.734250917325187	0.00411116107364013	0	1.181280	1.201245	0.766781	2.398336	1.556284	2.089096	1.140834	0.654151	1.845775	0.998117	0.757801	1.241192	2.065770	0.632562	1.116363	1.079684	0.883099	1.729600	0.775821
VNG0025H	0.5319	0.869308005427408	21.3800187008087	7.57660044414735	1.0883673163339	0.00435957347683333	0	0.794293	0.266024	0.577946	1.009837	0.596345	0.666537	0.751614	1.081265	1.806093	2.347348	1.250254	2.471824	0.738698	0.675962	0.655142	2.937072	1.991737	0.562980	0.570224
VNG0026C	0.3621	0.766349206349206	22.355828432554	18.1333073416717	0.779576924521543	0.01133650964725	0	0.923946	0.880101	0.692779	0.620113	0.716375	1.127317	1.640428	1.417995	1.234699	1.409087	1.717173	2.350729	2.065770	2.119585	2.559542	1.514292	1.138122	1.466769	1.379114
VNG0027H	0.3311	0.752377358490566	24.7616293518263	20.250310734989	0.925542314055047	0.0140757835222279	0	2.122300	0.776200	0.873656	1.414103	1.754538	0.975444	2.528698	1.706412	2.184386	1.744966	0.891240	2.894539	0.813113	0.921321	0.886854	1.251904	0.680126	1.784763	1.345995
VNG0028C	0.9304	1	22.4359431706066	15.2561489127847	1.36796828881719	0.000324341178513961	0	1.314819	1.629792	1.981977	1.663698	2.586050	2.237312	2.451730	4.221975	2.585116	3.029685	4.417729	4.817782	2.793116	3.823142	2.409122	2.815467	2.312296	3.477965	2.373357
VNG0029H	0.3806	0.786770025839793	21.9705507382597	9.42944511556412	0.737182603863859	0.0101696283641483	0	0.482872	0.197251	1.047245	2.185601	0.706340	0.917787	0.701117	0.667258	1.325065	1.806186	0.551746	1.171945	0.907381	0.749466	0.193926	1.937911	0.903090	0.695872	1.182339
VNG0030H	0.9865	1	24.9736227427447	11.9965719767748	0.549416414103484	9.11316737581961e-05	0	0.377681	0.680481	0.553347	1.140766	0.472512	0.599126	0.947713	0.654151	1.175774	1.270606	0.736724	1.138784	1.047891	1.940105	1.019413	0.438054	0.493452	1.132068	0.405746
VNG0031H	0.8241	1	26.2170225318073	18.6430097569343	0.406939013369587	0.000867199907333004	0	1.021935	0.472427	0.800868	1.188078	0.872788	1.292951	0.933178	0.802977	1.437582	1.177781	0.472458	0.745712	0.593183	0.495944	0.995013	0.627514	0.749405	0.782818	0.500892
VNG0032H	0.9512	1	24.7330290647113	10.4972535148071	0.442958923543636	0.000231848447138527	0	0.867533	0.611014	0.861081	1.430617	1.063353	0.603706	0.701117	0.756584	1.568151	0.811573	0.437194	1.122557	1.084434	1.075612	1.548260	0.808739	0.813510	0.901610	0.687035
VNG0033H	0.8869	1	24.1990505653052	16.725389436277	1.07703364607799	0.000515997158746489	0	1.116165	1.535153	0.697820	1.804560	0.923452	2.508072	1.123337	1.132491	2.448404	1.428658	0.339173	0.543810	1.728497	2.199183	0.478143	0.678096	0.766370	3.067503	0.608410
VNG0034H	0.377	0.783376623376623	23.3232348921634	6.66575632708427	0.898927284205836	0.0103765492481235	0	0.637116	1.689354	1.101758	2.725062	1.567299	0.724782	0.605376	1.025553	2.670781	1.106900	0.897547	1.964678	1.012579	0.450615	1.001058	0.743156	0.777892	1.114436	1.038581
VNG0035C	0.2361	0.653364055299539	27.2298296576748	21.9634794581166	0.334184937344678	0.0290665769760066	0	1.356895	1.028211	0.795084	1.273794	1.117171	1.144619	1.300994	1.217935	1.453289	1.253201	1.206939	0.543810	0.882836	0.984533	0.616640	1.118407	1.056290	1.022254	1.201655
VNG0037H	0.1126	0.518326996197719	27.2171582921401	7.84656433062732	0.427352250337417	0.120496389793506	0	0.299151	1.403398	0.824431	0.712819	0.540273	0.863537	0.586950	0.565587	0.498301	0.669058	0.936338	1.130642	1.161388	0.999159	1.363348	0.636421	0.489783	0.658670	0.715440
VNG0038H	0.9847	1	22.9875988301801	21.8007787472879	0.203595543839141	0.000102033039709784	0	0.520792	0.618369	0.382327	0.466586	0.382400	0.612972	0.469110	0.428435	0.514813	0.461027	0.592059	0.454503	0.796560	0.722339	0.930883	0.507928	0.508402	0.623458	0.739007
