ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	AVG_REPS_PERIODICITY	REPS_SCATTER	TP_0_REP_1	TP_3_REP_1	TP_6_REP_1	TP_9_REP_1	TP_12_REP_1	TP_15_REP_1	TP_18_REP_1	TP_21_REP_1	TP_24_REP_1
VNG0001H	0.9497	0.99063829787234	24.7276005633218	6.77036769567903	0.163926603038725	0.00246501865237458	0	0.806469	0.751502	0.840283	0.701894	0.785669	0.812440	0.483187	0.799088	0.601196
VNG0002G	0.2669	0.778840579710145	25.065853824318	13.6133813907829	0.177760764006489	0.197535680963499	0	0.318060	0.566539	0.490022	0.510381	0.621227	0.829435	0.484401	0.588286	0.566556
VNG0003C	0.0558	0.631079136690647	24.5688473804972	22.757607505127	0.138807244429192	0.791556866452658	0	0.743705	0.537660	0.565701	0.536346	0.476668	0.662797	0.513190	0.714445	0.751045
VNG0005H	0.6256	0.94935	25.5711134187426	7.05686998843379	0.143781710264261	0.0241482110537592	0	0.975992	0.885373	1.065441	0.918540	0.903070	0.962094	0.891474	0.686763	0.823407
VNG0006G	0.173	0.722871794871795	23.5775766262783	1.104922022316	0.268473611854292	0.374874199768156	0	0.988830	1.021490	0.835372	0.650697	0.661495	0.952187	0.561724	0.879163	1.214589
VNG0008G	0.9291	0.989477351916376	23.9145959551627	21.1934154247272	0.217206482752297	0.00327161854161351	0	1.031057	0.983040	0.740784	0.885561	0.888394	1.246248	0.686648	0.896707	0.924427
VNG0009G	0.574	0.935234215885947	25.3379482714052	3.11918312981903	0.245121769312075	0.0310987541879519	0	1.436925	1.254898	1.251808	1.140880	1.309201	1.135390	0.780425	1.118078	1.243766
VNG0011C	0.7486	0.975511022044088	24.2031512982655	21.5836984407127	0.186279766400135	0.0128175642481011	0	1.325097	1.091480	1.004781	1.117290	1.294978	1.041556	0.961198	0.905610	1.104567
VNG0013C	0.7781	0.975511022044088	23.587376824932	7.63847999369868	0.0882076366330905	0.0107865831093588	0	0.379920	0.282996	0.504597	0.415231	0.340681	0.423230	0.364770	0.440285	0.398008
VNG0014C	0.7773	0.975511022044088	23.0755180000903	12.8352086347091	0.592829949883424	0.0108359782206154	0	2.910037	1.940711	2.911574	2.906012	3.180019	3.436854	2.325631	3.154831	2.603849
VNG0015H	0.0189	0.533647058823529	25.8667967865212	25.6206118084768	0.220259097607534	0.928201597093175	0	1.474975	1.228908	1.146440	0.957736	1.055161	1.006231	1.123055	1.107087	1.367653
VNG0016H	0.5935	0.944741721854305	25.1921286852688	7.79431148700757	0.25221672632784	0.0283063234971946	0	1.120996	1.635817	1.505668	1.402312	1.452349	1.285556	1.383192	1.464691	1.053352
VNG0017H	0.1795	0.726378737541528	24.7235876002274	10.8548087543341	1.23043045739655	0.36047220793801	0	3.239184	2.342939	4.680958	4.723520	3.849852	3.864647	4.366820	2.924705	2.218339
VNG0018H	0.6657	0.959013505578391	23.492152007779	10.9182286414005	0.530546641543691	0.0199202971635113	0	3.342383	2.384158	3.481558	3.077872	3.518104	3.252260	2.488711	2.839295	2.880251
VNG0019H	0.4582	0.882568218298555	23.7418795257636	8.5863893117268	0.1006946115917	0.0604708068568912	0	0.333380	0.189486	0.405022	0.391023	0.300467	0.245366	0.316142	0.213352	0.276304
VNG0020H	0.4912	0.906646706586826	25.155621497888	18.9652967502896	0.665278933582026	0.0499622711123347	0	3.058190	2.970084	3.331811	3.061837	3.605637	3.343283	2.146132	3.781251	3.534664
VNG0021H	0.0617	0.631079136690647	23.5286315430342	3.33377114414132	0.508891505919846	0.764987153237492	0	1.637521	1.574243	1.587235	1.602105	1.209524	1.349180	1.046833	1.353387	2.375020
VNG0022H	0.2982	0.804927211646137	24.645048006808	15.6374260559498	0.925749382728427	0.164551459336536	0	2.607512	2.637940	3.420868	3.302745	3.019237	2.774947	3.414537	4.808814	2.796042
VNG0023H	0.9349	0.989477351916376	24.2902756675814	22.5932121253453	0.728818752423444	0.00304091697984114	0	2.507266	3.206969	3.491777	2.478043	3.331120	3.436854	2.396749	3.599009	3.956556
