ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
VNG0001H	cosine	24.0	16.0	12.0	0.6449049437894737	0.24084896503974926	39.0	9.0	1.099669035	0.259591711	0.840077324	4.23614849166	1.6085539059099998	0.20555160419783666	0.10940114398807373	1.6410171598211056	0.7092907092907093	0.7092907092907093	0.889292525656162
VNG0002G	cosine	24.0	20.0	0.0	0.7425307872631579	0.2929068350964377	42.0	9.0	1.4930068319999998	0.27351529199999997	1.21949154	5.4585863228400004	1.75605668583	0.18455323681201574	0.13477580292082825	2.021637043812424	0.7862137862137862	0.7862137862137862	0.9213442807192807
VNG0003C	cosine	24.0	20.0	8.0	0.5831780999473685	0.2374682891026751	42.0	9.0	1.157677054	0.21309342899999997	0.944583625	5.43272056503	2.1161784363	0.2455794369592239	0.07089104087567609	1.0633656131351414	0.5474525474525475	0.5474525474525475	0.8236359241970878
VNG0005H	cosine	24.0	20.0	16.0	0.9613464684210524	0.23836637838848626	45.0	15.0	1.579697001	0.713825588	0.8658714129999999	2.2130013655400003	1.31797526704	0.32051005640809305	0.02758964180010836	0.4138446270016254	0.2917082917082917	0.27423618248791926	0.6796116947911579
VNG0006G	cosine	24.0	0.0	8.0	0.9800900966315788	0.24087827030534126	21.0	9.0	1.399365234	0.445412419	0.953952815	3.14172927001	1.49563785637	0.4584064269201682	0.003049309611559118	0.045739644173386766	0.04395604395604396	0.04302974553715869	0.4198136493856338
VNG0008G	cosine	24.0	20.0	0.0	1.0693074820526316	0.22411095197401093	42.0	12.0	1.5296186269999998	0.701375628	0.8282429990000001	2.18088363202	1.31701167225	0.16073991593304598	0.16811730092093874	2.521759513814081	0.8541458541458542	0.8541458541458542	0.9351961906706433
VNG0009G	cosine	24.0	0.0	4.0	0.6076191631052633	0.10917995488707784	0.0	45.0	0.9356611020000001	0.43805442	0.497606682	2.13594717752	1.2023449391299998	0.2815178911483786	0.046072482583140784	0.6910872387471118	0.4225774225774226	0.4060303160607085	0.7403618460709086
VNG0011C	cosine	24.0	20.0	16.0	1.0699671984210526	0.2661237992750273	0.0	15.0	1.4913762990000001	0.559435605	0.931940694	2.66585874347	1.55767944208	0.33238079923802244	0.023379372290055697	0.35069058435083544	0.25274725274725274	0.24024096319759955	0.6500319184602469
VNG0013C	cosine	24.0	12.0	20.0	0.7918325038947368	0.23108474720928104	3.0	45.0	1.378436393	0.408245268	0.970191125	3.37649080356	1.3985916943	0.3004100391310417	0.03615091853600635	0.5422637780400952	0.35664335664335667	0.3385295520774363	0.7200166235389601
VNG0014C	cosine	24.0	8.0	12.0	1.7867923305789468	0.8701767501208223	6.0	42.0	3.917767782	0.717447946	3.2003198360000003	5.46069969793	2.33094117513	0.3385555833846721	0.02141213804669496	0.3211820707004244	0.24375624375624375	0.22375315926704897	0.6325177647125059
VNG0015H	cosine	24.0	0.0	20.0	0.7082708909473684	0.21800498122919496	54.0	18.0	1.117146185	0.424273687	0.692872498	2.6330791166900003	1.83534818792	0.5655663708755322	0.0003578159844409264	0.005367239766613897	0.001998001998001998	0.001998001998001998	0.13320013320013321
VNG0016H	cosine	24.0	4.0	0.0	1.154215611	0.1942005358051052	9.0	0.0	1.524953131	0.6914926229999999	0.8334605079999999	2.20530643463	1.25134419276	0.2934973758780968	0.039556362636785435	0.5933454395517815	0.3756243756243756	0.36248932299793696	0.7243538695581834
VNG0017H	cosine	24.0	8.0	4.0	1.1284563220526314	0.6160155989355789	33.0	3.0	3.27008489	0.356636929	2.913447961	9.169226807689999	1.72791119993	0.1856820133106327	0.13331674229176693	1.9997511343765042	0.7772227772227772	0.7772227772227772	0.9184316422130308
VNG0018H	cosine	24.0	8.0	0.0	1.4502908822105265	0.595065467793162	24.0	0.0	3.301159123	0.722669943	2.57848918	4.56800390687	1.89366556648	0.24408653900944025	0.07210991080946927	1.0816486621420391	0.5584415584415584	0.5542383406576237	0.8236359241970878
VNG0019H	cosine	24.0	8.0	12.0	1.0561078919999998	0.3512326248093682	3.0	36.0	2.095321055	0.648478651	1.446842404	3.23113344097	1.6385125681200001	0.350646854219839	0.017963342840009555	0.2694501426001433	0.2177822177822178	0.19382830534534223	0.6104828514813928
VNG0020H	cosine	24.0	8.0	4.0	1.2239686319473682	0.5637399862644256	9.0	3.0	2.398335924	0.565296821	1.8330391030000002	4.2426134995	2.11590494813	0.3294358300672515	0.02436991267843977	0.3655486901765966	0.25874125874125875	0.2483931382214649	0.6591392283122688
