"","data...1.","fdr.out.pval","fdr"
"1","VNG0001H",0.970348873900739,0.99999011199382
"2","VNG0002G",0.048009775274522,0.314430546661037
"3","VNG0003C",0.000462617272986926,0.0369957223220291
"4","VNG0005H",0.733277353309256,0.953448562140981
"5","VNG0006G",0.111047228390421,0.454026146741074
"6","VNG0008G",0.961337044621748,0.99999011199382
"7","VNG0009G",0.977452187581298,0.99999011199382
"8","VNG0011C",0.909402528740386,0.996879933252226
"9","VNG0013C",0.533697736040101,0.878617336662718
"10","VNG0014C",0.56666540847384,0.894828152219426
"11","VNG0015H",0.849088935066476,0.984964980402406
"12","VNG0016H",0.103337057188498,0.440955820085976
"13","VNG0017H",0.869663690881993,0.993352968511821
"14","VNG0018H",0.931837424519604,0.999705669669196
"15","VNG0019H",0.122746006596132,0.473852278935383
"16","VNG0020H",0.607468874937568,0.905241877593952
"17","VNG0021H",0.914450258754507,0.996879933252226
"18","VNG0022H",0.134469876263751,0.496504158512313
"19","VNG0023H",0.564839083836717,0.894656662371608
"20","VNG0024H",0.802218995618134,0.973099348040099
"21","VNG0025H",0.966948373232983,0.99999011199382
"22","VNG0026C",0.0109926424971676,0.152346826265829
"23","VNG0027H",0.122856801691221,0.473852278935383
"24","VNG0028C",0.0618174403442051,0.349521262971174
"25","VNG0029H",0.0913387418368712,0.411281389134129
"26","VNG0030H",0.155068366418668,0.529394138555909
"27","VNG0031H",0.286362862967868,0.687353386466406
"28","VNG0032H",0.335160046814355,0.736194501223749
"29","VNG0033H",0.680538170781439,0.937057722246388
"30","VNG0034H",0.808962587394198,0.973099348040099
"31","VNG0035C",0.0411549221364242,0.295413049201619
"32","VNG0037H",0.705677109545163,0.943846350766277
"33","VNG0038H",0.0130305541833351,0.166393614364143
"34","VNG0039H",0.355935751085284,0.758508638001256
"35","VNG0040C",0.655968282656625,0.920349946938915
"36","VNG0041C",0.311275333834559,0.709110041691984
"37","VNG0042G",0.00918057942194106,0.13462321774332
"38","VNG0043H",0.161778568638481,0.538764216729564
"39","VNG0045C",0.501587823374801,0.858638214051015
"40","VNG0046G",0.290298416801173,0.690875236010606
"41","VNG0047G",0.0838494078965882,0.395360665917115
"42","VNG0049H",0.193162859436162,0.581669840209272
"43","VNG0050C",0.45382201817104,0.828708385513096
"44","VNG0051G",0.60169598575116,0.902543978626739
"45","VNG0053H",0.0495627600113003,0.316472548574743
"46","VNG0054H",0.721610751217582,0.950401435087565
"47","VNG0055H",0.960837654323315,0.99999011199382
"48","VNG0057H",0.966407626673385,0.99999011199382
"49","VNG0058H",0.0123812662130381,0.16356303255562
"50","VNG0060G",0.0308477325339303,0.266405023865311
"51","VNG0061C",0.385843204475445,0.781286745711048
"52","VNG0062G",0.668425810109707,0.92998373580481
"53","VNG0063G",0.471549123222832,0.837689041994668
"54","VNG0064G",0.550905980625498,0.887326186479748
"55","VNG0065G",0.630122608551771,0.910219692568449
"56","VNG0066H",0.461234145654423,0.833555684917633
"57","VNG0067H",0.00184428923548253,0.0602160673415322
"58","VNG0068H",0.0724428549305558,0.371617527893028
"59","VNG0069H",0.204818583648417,0.601960317276751
"60","VNG0070H",0.299107925223275,0.698360489352761
"61","VNG0072H",0.35941684532098,0.759945855317917
"62","VNG0073C",0.841663591906992,0.98364832322805
"63","VNG0075H",0.476852507551883,0.838627084180434
"64","VNG0076H",0.554216628489162,0.888671737232695
"65","VNG0077H",0.766626262147764,0.963952001509988
"66","VNG0079H",0.993802177040652,0.99999011199382
"67","VNG0080H",0.70022695953722,0.943730840518997
"68","VNG0081G",0.630494218411968,0.910219692568449
"69","VNG0084G",0.944016173574378,0.99999011199382
"70","VNG0085G",0.389847657915199,0.78148078255716
"71","VNG0086G",0.0790241485987817,0.385971785191289
"72","VNG0089G",0.73752031080335,0.953448562140981
"73","VNG0090G",0.919045012836461,0.996879933252226
"74","VNG0091C",0.16415591552229,0.541574727592889
"75","VNG0094C",0.73650604989741,0.953448562140981
"76","VNG0095G",0.227653805445099,0.631436080381481
"77","VNG0096C",0.733730245278186,0.953448562140981
"78","VNG0097G",0.382276436535141,0.780714056267982
"79","VNG0098G",0.972111761332964,0.99999011199382
"80","VNG0099G",0.584932377162044,0.897571613019043
"81","VNG0101G",0.203473206878061,0.599921003080277
"82","VNG0102C",0.291401013239218,0.691069596614745
"83","VNG0104G",0.818760841359039,0.974806683334952
"84","VNG0105H",0.224336738123199,0.626784832940253
"85","VNG0106G",0.174456520533825,0.56054166676791
"86","VNG0107G",0.0329711056852035,0.274711783456605
"87","VNG0108G",0.540549237768267,0.878773211849799
"88","VNG0110C",0.62792416568399,0.910219692568449
"89","VNG0112H",0.513750277745516,0.86543889780225
"90","VNG0113H",0.860418401565006,0.990409670866194
"91","VNG0115G",0.972260027656773,0.99999011199382
"92","VNG0116H",0.336245237690496,0.736194501223749
"93","VNG0117H",0.387377749669477,0.78148078255716
"94","VNG0118H",0.920037105064033,0.996879933252226
"95","VNG0119H",0.470391880724971,0.836872137687124
"96","VNG0120H",0.756817152807413,0.960015703104128
"97","VNG0121H",0.764282156700554,0.962369976957676
"98","VNG0123G",0.541189446326888,0.878773211849799
"99","VNG0124C",0.810730461905495,0.973099348040099
"100","VNG0125H",0.0899595916438101,0.408353647682836
"101","VNG0127C",0.267814970669406,0.670701911006756
"102","VNG0128C",0.62593549679388,0.910219692568449
"103","VNG0129G",0.737312216205702,0.953448562140981
"104","VNG0130H",0.523961439425556,0.872057874217291
"105","VNG0132C",0.538153118705915,0.878617336662718
"106","VNG0133G",0.23944751764971,0.646347990518552
"107","VNG0134G",0.179405797658073,0.565800150301413
"108","VNG0136G",0.0173990811883257,0.199798061492736
"109","VNG0137G",0.386085866838876,0.781286745711048
"110","VNG0138H",0.270232177049577,0.671581738957471
"111","VNG0139H",0.911286013700546,0.996879933252226
"112","VNG0140H",0.913220710955807,0.996879933252226
"113","VNG0141H",0.00108691879083135,0.0461507682677881
"114","VNG0142C",0.0775889884913581,0.38553534654091
"115","VNG0143H",0.424473611737311,0.803420085307213
"116","VNG0144H",0.336502236601022,0.736194501223749
"117","VNG0146H",0.800441943362905,0.973099348040099
"118","VNG0147C",0.198219984058459,0.591701444950622
"119","VNG0148H",0.13612243482031,0.498008907879183
"120","VNG0149G",0.213862998360284,0.614696043191236
"121","VNG0150H",0.210689124220094,0.609147232539687
"122","VNG0151C",0.189395531712129,0.580068196671897
"123","VNG0152G",0.0573055490954878,0.343833294572927
"124","VNG0153C",0.681464587990355,0.937795304573883
"125","VNG0154G",0.0175230439704058,0.200263359661781
"126","VNG0156C",0.000981157470800411,0.0455058873931925
"127","VNG0157G",0.143743728966055,0.509322673976732
"128","VNG0158G",0.338875032761556,0.739603095570811
"129","VNG0159G",0.149239054309176,0.517790137590102
"130","VNG0160G",0.298081009229035,0.697945777707009
"131","VNG0161G",0.575160816800222,0.896798596392907
"132","VNG0162G",0.89507730137623,0.99645572197111
"133","VNG0163G",0.27383467662939,0.674433555548722
"134","VNG0164G",0.948647364269128,0.99999011199382
"135","VNG0166G",0.334790550638866,0.736194501223749
"136","VNG0167H",0.257702864945421,0.662642596902968
"137","VNG0168H",0.793794974274655,0.972190745339491
"138","VNG0170C",0.699724614605621,0.943730840518997
"139","VNG0171C",0.645034295047941,0.912400643513897
"140","VNG0172G",0.312466098332664,0.709110041691984
"141","VNG0174G",0.881196156707445,0.995467793455688
"142","VNG0175G",0.891718424005721,0.99645572197111
"143","VNG0176H",0.345106532381743,0.746849123278794
"144","VNG0177G",0.180571002148619,0.568727565822422
"145","VNG0178H",0.113283027309954,0.457746502021858
"146","VNG0179C",0.611435100005858,0.905829777786457
"147","VNG0180G",2.61376158703854e-05,0.0207861830164558
"148","VNG0181G",0.171000996210886,0.555322214113117
"149","VNG0183G",0.12394371257497,0.476706586826806
"150","VNG0184H",0.358690139184893,0.759945855317917
