"CycID","BH.Q","ADJ.P","PER","LAG","AMP","0","3","6","9","12","15","18","21","24","27","30","33","36","39","42","45","48","51","54"
"VNG0001H","1","0.989052348566882","21","19.5","0.200612445353676","0.769663023","0.614680325","0.288171304","0.259591711","0.276447294","0.576740373","0.543300552","0.600268135","0.552491923","0.464217807","0.662775384","0.596982061","0.9262372","1.099669035","1.083062856","0.873928225","0.543715883","0.608948554","0.912302287"
"VNG0002G","1","1","21","16.5","0.174265169389588","0.755252955","0.62581141","0.382326523","0.273515292","0.521551941","0.599126002","0.600715694","0.508804789","0.390216189","0.529211513","0.866451438","1.106561747","1.019544737","0.9145532","1.493006832","1.057095971","0.727368366","0.915874773","0.821095586"
"VNG0003C","1","1","24","21","0.139032202229813","0.524083853","0.358776812","0.249278449","0.213093429","0.318328649","0.35423897","0.427565015","0.515578404","0.586519705","0.563099915","0.514178205","0.636809152","0.759235753","0.824858172","1.157677054","0.937740502","0.727368366","0.623457541","0.788495953"
"VNG0005H","1","1","27","22.5","0.0831204304127498","1.539102529","0.766968179","0.905903867","0.843517709","0.910516729","0.713825588","0.728736593","0.922592562","0.744919432","0.991256846","0.83643337","1.067562775","0.895024766","0.800886177","0.860400513","1.579697001","1.208129383","0.894560708","1.055548173"
"VNG0006G","1","0.307776451856377","27","22.5","0.179358301849662","0.918143124","1.370214868","0.880012648","0.445412419","0.990936805","1.118763569","1.213586681","1.399365234","1.208154273","1.244587748","0.87258311","0.751082354","0.759235753","0.941927459","0.643345456","1.072101242","1.072171507","0.807785299","0.912302287"
"VNG0008G","1","1","21","19.5","0.116907277937971","0.856670265","1.282951005","0.766780776","0.777673714","0.701375628","1.42751383","0.918866668","1.067059795","1.009839541","1.005024067","1.439625862","1.044826269","1.210158127","1.044352594","1.529618627","1.06457217","0.944440282","1.071547153","1.153945786"
"VNG0009G","1","1","21","3","0.0729028180347774","0.935661102","0.709582067","0.594950344","0.612954536","0.635427934","0.72478173","0.451330424","0.667257576","0.653847639","0.607479886","0.536400427","0.543810364","0.469846844","0.578998554","0.624155105","0.43805442","0.640714643","0.562980055","0.556530449"
"VNG0011C","1","1","24","0","0.167487994247867","1.491376299","1.078615055","0.692779484","1.045631277","1.24184494","0.559435605","0.763320563","1.258875717","0.808173802","0.977678215","0.96312544","1.098649612","1.084434155","0.738494845","1.405265466","1.461861386","1.43432197","1.071547153","1.153945786"
"VNG0013C","1","0.989052348566882","27","7.5","0.138333612549805","0.824892424","1.378436393","0.677875782","0.612954536","0.686690696","0.806330553","0.634105363","0.813666495","0.675514609","0.741977439","0.83643337","1.197447718","1.137745748","0.907834855","0.886854494","0.408245268","0.539673938","0.585513356","0.692624537"
"VNG0014C","1","0.157582563228834","24","6","0.750169898116219","1.306561672","1.629792328","3.917767782","2.185600744","1.843337442","0.794141681","2.183391749","1.545281268","3.392071102","2.585290808","2.715697585","1.572829028","0.939024852","1.351827823","0.717447946","0.873928225","1.351207534","2.188811692","0.85504302"
"VNG0015H","0.884718612645889","0.0339142134847591","24","4.5","0.140344897178718","0.86208434","0.507588243","0.522169285","0.721143733","0.696446085","0.458937421","0.424273687","0.667257576","0.940971137","0.931601162","0.757801217","0.641395255","0.492944866","0.485094754","0.566509312","0.556661973","1.010042548","1.097078149","1.117146185"
"VNG0016H","1","0.826343045806599","21","9","0.180481659058409","0.691492623","1.353918635","1.282922755","1.524953131","1.370729439","0.883494539","0.918866668","1.194012146","1.095589437","1.261873393","1.286022115","1.082994657","0.998789543","1.265034276","1.298864736","1.027712537","1.138122094","1.224503971","1.030199914"
"VNG0017H","1","1","21","9","0.29341950752027","0.745796442","0.356636929","0.653745359","1.288670025","1.215844024","1.005616607","1.22300115","1.353855334","1.453289428","1.219102238","1.842636931","3.27008489","0.759235753","0.800886177","0.785679693","0.497302339","1.181385741","1.054857434","0.733043625"
"VNG0018H","1","1","21","13.5","0.370442532824325","0.722669943","0.809393738","0.939341723","1.794114128","1.523699333","0.938997361","2.166584345","1.117612124","3.301159123","1.448499675","1.778799076","2.065886563","1.602938613","1.283827088","0.870886072","1.461861386","1.263446601","1.443923375","1.021886495"
"VNG0019H","1","1","21","6","0.280524110046215","0.840631198","2.095321055","1.665479548","1.237352199","1.012128063","1.244641262","1.047865605","1.088438885","1.228008823","1.054732622","1.124759082","0.724611676","0.648478651","0.749465611","0.651185801","0.650020049","0.857130677","1.046610309","1.099188832"
"VNG0020H","1","0.989052348566882","27","13.5","0.272250928886528","0.568813111","0.565296821","0.981100309","2.398335924","2.092868249","1.494258384","0.781223239","0.685141966","2.293858987","1.253200768","0.706202982","1.232316733","1.04073123","1.842512565","1.157677054","0.803059042","1.341162754","1.399294442","0.618349447"
"VNG0021H","1","0.37965399806912","27","22.5","0.50002660334652","1.548829511","0.561925173","0.582151232","0.777673714","1.670015402","0.594580422","0.985047274","0.857868152","2.256771681","0.536561547","0.3717365","0.488315812","0.288774302","0.495944342","0.19628955","2.377354028","1.301724826","1.186656876","1.005460376"
"VNG0022H","1","1","21","13.5","0.196968226307048","0.918143124","1.215703247","0.812564071","1.464225963","1.950339416","1.494258384","1.483639766","0.72715408","1.664732872","1.306145137","1.224081715","0.714286489","0.830009924","1.661807695","0.408477912","0.673333475","1.104654733","1.56182274","0.861999106"
"VNG0023H","1","1","27","15","0.183014840817739","0.709139706","1.118033476","0.529795082","1.6444932","1.198813228","1.343135482","1.321257621","0.813666495","0.740882959","1.076781961","0.506977299","0.699073914","0.569278063","0.894545862","0.322541227","0.486898492","1.217177795","0.469993163","0.608409908"
"VNG0024H","1","1","21","12","0.463519462293958","1.181280149","1.201244651","0.766780776","2.398335924","1.556283758","2.089096317","1.140833563","0.654151319","1.845775218","0.99811672","0.757801217","1.241191497","2.06576981","0.632561753","1.116362841","1.079683564","0.883098883","1.729599756","0.775821426"
"VNG0025H","1","1","27","22.5","0.445397691521943","0.794293369","0.26602449","0.577946344","1.009837216","0.596345272","0.666536669","0.751613953","1.081265347","1.806092628","2.347348482","1.250253665","2.471824461","0.73869799","0.675961588","0.655141732","2.937071942","1.99173663","0.562980055","0.570223984"
"VNG0026C","1","1","21","15","0.406663031879676","0.923945701","0.880101192","0.692779484","0.620112751","0.716374599","1.127316538","1.640428467","1.417994702","1.234699251","1.409087228","1.717172874","2.350728661","2.06576981","2.119584598","2.55954191","1.514292072","1.138122094","1.466768809","1.379113784"
"VNG0027H","1","1","27","22.5","0.555143270357691","2.122299955","0.776199673","0.873656302","1.414102564","1.754537523","0.97544365","2.528697508","1.706412406","2.184386268","1.744965874","0.891239708","2.894539242","0.813113151","0.921321264","0.886854494","1.251903913","0.680125788","1.784763408","1.345995321"
"VNG0028C","1","1","21","13.5","0.4295811935084","1.314819017","1.629792328","1.981976502","1.663697944","2.586050276","2.237311878","2.451729906","4.221975085","2.585116173","3.029684562","4.417729227","4.817781738","2.793116147","3.823141973","2.409122167","2.815466989","2.312295811","3.477965018","2.373356786"
"VNG0029H","1","1","21","10.5","0.278937320002826","0.48287193","0.197250845","1.047244556","2.185600744","0.706340063","0.917786539","0.701116613","0.667257576","1.325065218","1.806186503","0.551746282","1.171944978","0.907381498","0.749465611","0.193926203","1.937910996","0.90309005","0.695872245","1.182338835"
"VNG0030H","1","1","24","15","0.24934968655531","0.377681318","0.680481381","0.553347206","1.140765949","0.472512387","0.599126002","0.947712816","0.654151319","1.175774145","1.270606036","0.736724305","1.138784212","1.047890783","1.94010531","1.019413171","0.43805442","0.493451594","1.132068231","0.405745575"
"VNG0031H","1","1","27","21","0.201411331059527","1.021935432","0.4724272","0.800868137","1.188077967","0.872788297","1.292950827","0.933178288","0.802976629","1.437582306","1.177780809","0.472457515","0.745711967","0.593183482","0.495944342","0.995013268","0.627513825","0.749405205","0.782818187","0.500891757"
