"CycID","PhaseShift","PhaseShiftHeight","PeakIndex","PeakSPD","Period","p","N","Nindependent","Nyquist","BH.Q","0","3","6","9","12","15","18","21","24"
"VNG0001H","4.77262471214414e-05","0.795613954007351","1","0.859484701746752","28","0.889450132840803","9","4","0.1875","0.99999995435067","0.806468696","0.751501767","0.84028344","0.701893813","0.78566864","0.81244018","0.483186821","0.799087986","0.601196339"
"VNG0002G","14.5897545621393","0.702602462094407","1","1.59195730816052","28","0.597575378355932","9","4","0.1875","0.99999995435067","0.318059737","0.566538804","0.490021899","0.510380741","0.62122715","0.82943498","0.484401208","0.5882862","0.566556295"
"VNG0003C","23.9999526313781","0.763658163937486","1","2.32950109541007","28","0.336121636450364","9","4","0.1875","0.99999995435067","0.743705298","0.537659564","0.565700698","0.536345715","0.476668368","0.662796725","0.513190217","0.714444954","0.751045148"
"VNG0005H","5.71128431668335","0.983979858600469","1","1.85992116826101","28","0.491819238290558","9","4","0.1875","0.99999995435067","0.975992259","0.885373467","1.065440641","0.918539871","0.903069682","0.962094012","0.891473661","0.686762727","0.823407076"
"VNG0006G","15.0976764155979","0.770666649707821","1","2.06227002673641","28","0.419598317514493","9","4","0.1875","0.99999995435067","0.988830008","1.021489918","0.835372242","0.650696526","0.661494981","0.952186533","0.561724417","0.879163343","1.214589254"
"VNG0008G","13.0437634582339","1.03521638314237","36","0.430627618197669","20","0.985011055688045","9","4","0.1875","0.99999995435067","1.031056544","0.98303974","0.740784475","0.885561381","0.888394275","1.246247864","0.686648167","0.896707083","0.92442663"
"VNG0009G","11.4666634651385","1.25477810135151","1","1.77998806474004","28","0.522298983021658","9","4","0.1875","0.99999995435067","1.436925316","1.25489795","1.251808156","1.140879653","1.309200547","1.13539019","0.780425144","1.118077954","1.243766164"
"VNG0011C","11.8197610574867","1.21049675891337","1","0.672711427773265","28","0.94250384051077","9","4","0.1875","0.99999995435067","1.325096655","1.09147966","1.004781466","1.117290032","1.294978339","1.041556497","0.961197488","0.905609802","1.104567401"
"VNG0013C","7.13474011748719","0.434144894165461","36","0.257466945061878","20","0.997345097970799","9","4","0.1875","0.99999995435067","0.379920117","0.282996241","0.504596589","0.415230658","0.340681348","0.423229925","0.36477052","0.440284683","0.398008351"
"VNG0014C","12.0479605007376","3.26166491203148","36","1.18057634918319","20","0.769496242743748","9","4","0.1875","0.99999995435067","2.910036718","1.94071067","2.911574023","2.906011526","3.180018824","3.436854409","2.325631291","3.154830832","2.603849026"
"VNG0015H","23.9999526313781","1.34781132731922","1","3.19456037163073","28","0.154132313463671","9","4","0.1875","0.99999995435067","1.474975223","1.228908351","1.146439952","0.957736047","1.055160723","1.006231504","1.123055251","1.107086539","1.367653088"
"VNG0016H","6.02774115675169","1.54785590223431","1","1.05674287273377","28","0.818827273850333","9","4","0.1875","0.99999995435067","1.120996289","1.635816781","1.505668457","1.402312165","1.452349305","1.285555577","1.38319209","1.464691426","1.053352221"
"VNG0017H","9.05492352503163","4.69124612420184","1","2.28810899878184","28","0.348141608480926","9","4","0.1875","0.99999995435067","3.239184131","2.342939226","4.680957998","4.723519941","3.84985157","3.864647344","4.366819661","2.924705449","2.218339453"
"VNG0018H","10.4874206645272","3.41270105296328","36","1.16431403053416","20","0.776123482180979","9","4","0.1875","0.99999995435067","3.342383437","2.384158471","3.481558101","3.077872225","3.518104013","3.252260015","2.488711542","2.839295484","2.880251015"
"VNG0019H","8.8561223793735","0.394472430059755","20","1.13062652399884","23.0046948356808","0.78972460921327","9","4","0.1875","0.99999995435067","0.333380081","0.189485714","0.405021567","0.391022653","0.300466534","0.245366122","0.3161418","0.213351582","0.276303666"
"VNG0020H","11.7134725576545","3.49612555239428","36","0.484762947190061","20","0.978221184769662","9","4","0.1875","0.99999995435067","3.058190066","2.970083919","3.331811439","3.061837296","3.605636502","3.343283442","2.146132232","3.781250973","3.534663525"
"VNG0021H","3.9957060491295","1.62765745299399","30","1.92396519143415","21.0300429184549","0.468164908283003","9","4","0.1875","0.99999995435067","1.637520854","1.57424256","1.587234998","1.602104652","1.209524143","1.349179543","1.046832714","1.353387079","2.375019883"
"VNG0022H","8.62592864037849","3.34732882863302","1","0.665992781883932","28","0.944102648835041","9","4","0.1875","0.99999995435067","2.607511597","2.637939749","3.420868297","3.302744931","3.019237238","2.774946525","3.414537038","4.808814409","2.79604212"
"VNG0023H","12.4534895993638","3.16121943989911","36","0.480052786688912","20","0.978873084900746","9","4","0.1875","0.99999995435067","2.507266256","3.206968838","3.491777236","2.478042579","3.331120209","3.436854409","2.396748733","3.599009","3.956555559"
"VNG0024H","6.9059862968099","3.16501362228116","36","0.434037524446937","20","0.984628240406321","9","4","0.1875","0.99999995435067","2.306103337","2.731574581","3.322060465","3.022114501","3.119810829","3.320291495","2.098192082","3.806237174","2.627131359"
"VNG0025H","23.9999526313781","2.06288468021094","2","1.48530719794875","27.683615819209","0.641909949366074","9","4","0.1875","0.99999995435067","1.603638287","1.552431238","1.170203755","0.779185688","1.253232019","0.705266432","2.623417671","1.166982417","2.291940269"
"VNG0026C","4.04872994717481","1.28098671083277","1","2.01396326568342","28","0.436158445626135","9","4","0.1875","0.99999995435067","1.120996289","1.41290271","1.208546016","1.195793349","1.280910631","1.155147915","1.026020858","1.118077954","1.098031745"
"VNG0027H","17.8121211537488","4.27624431600541","1","2.48370940594947","28","0.29424078422053","9","4","0.1875","0.99999995435067","2.917652209","3.274791499","3.926104142","4.070184915","3.695346851","4.375781112","4.009595833","4.257176678","3.360785611"
"VNG0028C","17.9758152933051","3.99748711053616","26","1.14829165083497","21.7777777777778","0.78261497695978","9","4","0.1875","0.99999995435067","1.241284225","1.190929694","0.872917645","0.977956965","1.049413821","0.962094012","6.707778133","0.834039903","0.932692397"
"VNG0029H","6.38006741813471","4.2197263140429","1","0.392802870010824","28","0.988865563943467","9","4","0.1875","0.99999995435067","3.681740936","2.980461659","4.934539423","3.88327227","3.527723952","4.886606179","3.143093539","6.299586902","4.003795805"
"VNG0030H","11.9353919850644","2.62364733590206","1","3.08491337448124","28","0.170764645607044","9","4","0.1875","0.99999995435067","2.044872962","2.231277348","2.427778957","2.376626544","2.766609394","2.476306375","2.234079737","2.232585394","1.67839312"
"VNG0031H","12.0465854878811","2.0153973671532","1","1.40283679071156","28","0.67661533398298","9","4","0.1875","0.99999995435067","2.429851997","1.913821889","1.707903328","1.898525369","1.882492864","2.149642279","1.472773368","2.232585394","2.439300001"
"VNG0032H","9.45168317176035","2.65651857270564","26","1.82341443505737","21.7777777777778","0.505612780494513","9","4","0.1875","0.99999995435067","1.925573573","1.488793775","2.289557209","2.701087453","2.487121637","2.112874658","1.782322693","2.345636172","1.658589986"
"VNG0033H","20.7758721178489","4.67286881983591","1","1.71195106586389","28","0.549009148437111","9","4","0.1875","0.99999995435067","2.761832982","3.032896814","3.226106582","3.534803237","3.615495791","4.672259343","3.296627746","5.95660988","3.991933126"
"VNG0034H","9.0334089692852","3.50005039726711","36","0.324090500241121","20","0.994128354989121","9","4","0.1875","0.99999995435067","2.834966558","3.032896814","3.087347246","3.954918272","2.945940512","3.252260015","2.779333047","4.44338457","3.534663525"
"VNG0035C","11.5624294762602","1.84591939242367","36","0.311580159580362","20","0.994863521659998","9","4","0.1875","0.99999995435067","1.900574301","1.422793578","1.510087924","1.477506765","2.235868226","1.263567351","1.166146675","1.513728032","1.586386829"
"VNG0037H","16.6387405397058","0.64539941910906","1","1.34054121430976","28","0.702886708904718","9","4","0.1875","0.99999995435067","0.552083604","0.698423439","0.670523308","0.580058747","0.619533092","0.601758969","0.686648167","0.519089384","0.401567145"
"VNG0038H","17.9328323732645","0.549927059636985","36","0.365070939749559","20","0.991249181626406","9","4","0.1875","0.99999995435067","0.536437671","0.464392262","0.54775331","0.489492968","0.411317071","0.451905596","0.636839736","0.426021839","0.403957335"
"VNG0039H","15.5904058770403","1.15778759351366","12","1.46722850366731","24.8730964467005","0.64949768075172","9","4","0.1875","0.99999995435067","1.001836618","1.146101587","0.904165347","0.904258458","1.012814334","1.155147915","1.18980085","0.999646055","1.179078732"
"VNG0040C","14.3851833717009","0.661411363455494","1","0.601062107845409","28","0.958344417563196","9","4","0.1875","0.99999995435067","0.60181304","0.605356519","0.668560936","0.556319341","0.617843654","0.779488096","0.483186821","0.702777609","0.905423594"
"VNG0041C","15.1168632624895","0.782324794650787","1","0.378380152535516","28","0.990150655395178","9","4","0.1875","0.99999995435067","0.510450065","0.907256809","0.639805199","0.543395465","0.79864712","0.77680318","0.709424277","0.760574972","0.881563989"
"VNG0042G","8.16144318157544","1.32890908161949","1","0.502266198439528","28","0.975695051527762","9","4","0.1875","0.99999995435067","1.381682966","1.224629385","1.315760285","1.380509084","1.129708975","1.045156497","1.521625241","1.121765956","0.744389187"
"VNG0043H","17.8956687356535","0.525270237191583","13","0.759599377985395","24.6231155778894","0.919809339772455","9","4","0.1875","0.99999995435067","0.480670034","0.457958051","0.478665836","0.499827754","0.484542465","0.563574352","0.448137172","0.586352106","0.429929672"
"VNG0045C","8.99052368509887","1.43448212089582","1","1.62925880094617","28","0.582301938534111","9","4","0.1875","0.99999995435067","2.240748853","1.33621134","1.505668457","1.296634393","1.538067409","1.27671474","1.260513283","1.455076399","1.688383178"
"VNG0046G","13.7203224605935","0.993480499299949","1","1.13429058056474","28","0.78825423145952","9","4","0.1875","0.99999995435067","0.843108393","1.017933168","0.91751309","0.950261463","1.040852103","0.929464035","1.013224085","0.896707083","0.916234117"
"VNG0047G","4.77262471214414e-05","0.708146202117538","7","2.2540461016085","26.2032085561497","0.358283326074311","9","4","0.1875","0.99999995435067","0.71886144","0.62248627","0.61588595","0.645618211","0.549394231","0.506404973","0.496714214","0.558092155","0.820967438"
"VNG0049H","12.0193368802345","1.89573244153902","1","1.27602446445424","28","0.729982428083771","9","4","0.1875","0.99999995435067","1.162772936","1.723681202","1.311909543","1.618929127","2.048787011","1.625505064","1.352294443","1.704252831","1.351516334"
"VNG0050C","6.16243937791882","2.63018633419345","32","1.35615109581037","20.6751054852321","0.696307840161436","9","4","0.1875","0.99999995435067","2.398305797","2.177458181","2.778188579","2.617747658","2.037628354","2.598862284","1.379724447","2.361135946","2.557901534"
"VNG0051G","3.53609784869256","0.850812877280376","1","2.00606685500667","28","0.438907129148371","9","4","0.1875","0.99999995435067","0.609729009","1.122365218","0.678430568","0.640579528","0.79864712","0.397743881","0.532881232","0.444655933","0.458931644"
"VNG0053H","18.2194947987528","2.10750945195675","31","1.23062516087017","20.8510638297872","0.748890384744586","9","4","0.1875","0.99999995435067","1.039172491","0.837316014","0.488587787","0.43294949","0.741882506","0.347666072","3.572352404","0.638767697","0.73560624"
"VNG0054H","11.6092779241728","3.2876616780849","1","1.20059139291811","28","0.761291111960434","9","4","0.1875","0.99999995435067","2.805483565","2.451622912","2.620016815","3.23445508","3.358520942","2.882292374","2.66322747","4.487499537","3.761923842"
"VNG0055H","6.63951934226871","4.40602026823831","36","0.54698592981861","20","0.968493417840176","9","4","0.1875","0.99999995435067","3.213886072","2.574311747","5.564610759","3.59063018","3.3220364","3.218768801","2.76541502","5.558601727","3.340900052"
"VNG0057H","18.0571424543803","3.29361923473655","27","0.684940592425559","21.5859030837004","0.939534764429275","9","4","0.1875","0.99999995435067","2.246612835","2.750696664","2.090702089","1.943679052","2.420125238","1.992504756","4.708356818","1.790550586","2.754865466"
"VNG0058H","14.6713789884038","0.744247952804273","36","0.220270418945807","20","0.998472396080876","9","4","0.1875","0.99999995435067","0.798081609","0.592819266","0.636065735","0.583096531","0.663303779","0.77680318","0.61330725","0.317794669","0.762270933"
"VNG0060G","11.4814080130745","1.37901899851133","9","2.64194945079293","25.6544502617801","0.255872873242237","9","4","0.1875","0.99999995435067","1.118070327","1.313109846","1.266570316","1.276474384","1.500728407","1.167167202","1.123055251","0.973654522","1.124408705"
"VNG0061C","8.79384055972085","1.70604282235479","1","0.996647944215621","28","0.841583017902432","9","4","0.1875","0.99999995435067","2.143370673","1.383640749","1.897959943","1.589601138","1.58930186","1.538198741","1.60398603","1.140389245","1.210990599"
"VNG0062G","13.1110032248794","4.23654094920213","36","2.53297573338127","20","0.281806041522068","9","4","0.1875","0.99999995435067","3.672131064","2.088199532","2.456408951","3.571923913","4.829200326","3.320291495","4.344951999","2.521880021","1.144606418"
"VNG0063G","12.0164102619284","1.07251165647279","1","1.83349233345069","28","0.501783186750349","9","4","0.1875","0.99999995435067","1.827507044","1.31769797","0.790124047","0.977956965","1.029545039","1.074408071","0.686648167","0.954605334","1.323733801"
"VNG0064G","7.41179444452252","2.54517384865936","15","3.38489779298162","24.1379310344828","0.128791099251567","9","4","0.1875","0.99999995435067","2.34868154","2.574311747","2.492671694","2.536979242","2.52820646","2.295289908","2.119365166","2.203369805","2.382077641"
"VNG0065G","11.6336728499013","1.25444995390763","1","1.28330655666132","28","0.726934958420691","9","4","0.1875","0.99999995435067","1.554124412","1.250528491","1.13640377","1.102794852","1.413226903","1.013199332","0.937370446","0.899664889","1.434149933"
"VNG0066H","17.0615224216368","0.718665409749603","1","1.03278973032675","28","0.828007292621049","9","4","0.1875","0.99999995435067","0.505141503","0.676839092","0.628652246","0.615969875","0.772901068","0.508155293","0.90727611","0.502273694","0.376190297"
"VNG0067H","9.0985455765629","0.995062529635153","36","0.387286392154786","20","0.989368870229468","9","4","0.1875","0.99999995435067","1.150680367","0.852046885","0.975759513","0.985649397","0.974825722","0.916724041","1.084274401","0.820419496","0.927173714"
"VNG0068H","18.0104049513414","1.84992067661441","11","1.78673368408724","25.1282051282051","0.519687818266917","9","4","0.1875","0.99999995435067","1.147676927","1.51498607","1.354894859","1.102794852","1.593647663","1.480911267","2.010540909","1.732546426","1.273643962"
"VNG0069H","17.6303296872015","0.957622634368149","1","0.525780499924936","28","0.97204273834817","9","4","0.1875","0.99999995435067","0.973444779","0.910426846","0.953146675","0.892527047","0.743911117","0.894847801","1.01832353","0.753098037","0.564877669"
"VNG0070H","17.8389684147025","0.77243928198125","36","0.721459036551029","20","0.930223602039811","9","4","0.1875","0.99999995435067","0.620986599","0.754127582","0.612286286","0.559232801","0.71796638","0.561633142","0.956384112","0.605982668","0.595868378"
"VNG0072H","14.3458415810014","1.21060673198285","1","0.493365008640241","28","0.977000155010461","9","4","0.1875","0.99999995435067","1.582818626","1.122365218","1.034666617","1.071563971","1.126628312","1.303421336","1.005622759","0.902632451","1.193156625"
"VNG0073C","8.72418321988103","3.24716976013308","36","0.681947951517835","20","0.940268336180139","9","4","0.1875","0.99999995435067","2.872256392","2.073682946","3.801544789","3.045885905","2.774174438","3.354839051","2.146132232","3.113546749","3.065436041"
"VNG0075H","12.1953563432399","1.18291630281806","1","1.45631830344727","28","0.654083647815707","9","4","0.1875","0.99999995435067","1.221971056","1.2161161","1.197966144","0.947782921","1.219473303","1.281127532","0.880354991","1.44552449","2.153482635"
"VNG0076H","8.65403590727733","3.75928506704883","36","0.977421541639783","20","0.848658344091827","9","4","0.1875","0.99999995435067","3.197130561","2.26262631","4.102561003","3.685641294","2.945940512","2.952755438","2.427019086","4.105724355","3.598156558"
"VNG0077H","8.06628682155514e-05","0.876369666972486","8","2.06785897037755","25.9259259259259","0.417710892974894","9","4","0.1875","0.99999995435067","0.893006409","0.783624192","0.783207131","0.860482499","0.663303779","0.70283717","0.662937134","0.686762727","0.943828502"
"VNG0079H","8.88093783381064","3.14034262994773","1","2.36225098942377","28","0.326846559681191","9","4","0.1875","0.99999995435067","2.704686845","2.185066416","3.245073034","3.006370056","2.843197524","2.408887056","2.250966754","2.392443436","1.78630499"
"VNG0080H","7.94729837871237e-05","1.43756741198329","1","1.72411927284886","28","0.544183929776876","9","4","0.1875","0.99999995435067","1.440685713","1.29491655","1.190964401","1.259914023","1.170532616","1.119827604","1.229266528","1.026331428","1.46424988"
"VNG0081G","9.06024929457855","2.63920962539408","1","2.16973311452467","28","0.384359997064789","9","4","0.1875","0.99999995435067","2.513827707","2.426102885","2.581901488","2.617747658","2.626729767","2.425567821","2.656550798","2.160261696","2.053632685"
"VNG0084G","5.0121597559755e-05","1.6224479747804","6","2.46579911124188","26.4864864864865","0.298873301456526","9","4","0.1875","0.99999995435067","1.659060043","1.442783519","1.550451458","1.465975666","1.280910631","1.272317147","1.302324491","1.2839239","1.754783872"
"VNG0085G","12.3165229316992","1.32599634644842","1","0.851597350345316","28","0.891998810000517","9","4","0.1875","0.99999995435067","1.455825965","1.51498607","1.184003581","1.137903926","1.273934189","1.465661097","0.930338183","1.258804407","1.379881967"
"VNG0086G","23.9999526313781","2.73315420226867","1","1.62861245017984","28","0.582565349971635","9","4","0.1875","0.99999995435067","1.414568163","1.45796007","1.4324859","1.276474384","1.049413821","1.470726957","1.238558338","1.508751386","2.821042948"
"VNG0089G","15.7041624920781","1.24063583344228","36","1.43505042299877","20","0.663035431032432","9","4","0.1875","0.99999995435067","1.274153539","1.463054314","1.103580059","0.972862059","1.219473303","1.1432524","1.325409768","1.15551024","1.277428802"
"VNG0090G","18.2376839308424","1.715877998516","27","1.05971063291388","21.5859030837004","0.817680428437454","9","4","0.1875","0.99999995435067","1.247789544","1.483609909","1.266570316","1.131975737","1.206225827","1.312447107","2.114051948","1.234176368","1.455586005"
"VNG0091C","8.99792012743052","1.6592099034077","1","0.458439641814729","28","0.981713993144149","9","4","0.1875","0.99999995435067","1.930612749","1.437759857","1.758701388","1.443182748","1.80694345","1.372657568","1.556391811","1.513728032","1.308115245"
"VNG0094C","17.9141736048503","0.626097461122048","32","1.4244145374684","20.6751054852321","0.667516911229825","9","4","0.1875","0.99999995435067","0.5696728","0.419715706","0.570696699","0.490773038","0.458789504","0.571406516","0.656314196","0.54179423","0.448165788"
"VNG0095G","17.0653358523642","0.512387623915374","1","1.97274013486644","28","0.450635267916143","9","4","0.1875","0.99999995435067","0.26977417","0.365058495","0.437092229","0.422891623","0.518775917","0.380297183","0.63206209","0.342799792","0.223816233"
"VNG0096C","11.8755475236976","0.749846117077153","1","0.675802595949233","28","0.941760512256099","9","4","0.1875","0.99999995435067","0.895343384","0.772766984","0.785506015","0.689178535","0.706299009","0.835178549","0.514480011","0.809683495","0.647489753"
"VNG0097G","17.4928776211711","0.610982574642889","1","1.1915341120178","28","0.76501043568325","9","4","0.1875","0.99999995435067","0.483189128","0.578520264","0.498715403","0.556319341","0.614478587","0.508155293","0.683209648","0.524243026","0.382947789"
"VNG0098G","15.0047753014117","1.22420092627911","1","0.962589736906209","28","0.854042057856491","9","4","0.1875","0.99999995435067","1.132776905","1.057748152","0.998908828","0.785314621","1.126628312","1.496320114","0.753475846","1.275495529","1.663518756"
"VNG0099G","9.00321453199737","0.464211963073493","1","2.19380576725869","28","0.376773236257871","9","4","0.1875","0.99999995435067","0.332509911","0.35874707","0.412207076","0.458554","0.458789504","0.300763852","0.439227854","0.318842921","0.1544574"
