"","pVal","phase","peak.shape","period"
"1",0.695576066529989,20,16,24
"2",0.917158257087376,4,12,24
"3",0.768936779516432,12,20,24
"4",0.789209331588722,12,8,24
"5",0.694224940013252,20,4,24
"6",0.736791873097217,8,12,24
"7",0.881408206739772,12,8,24
"8",0.718428559124073,12,20,24
"9",0.837337796402783,4,20,24
"10",0.357457782143165,12,8,24
"11",0.62747807483986,20,4,24
"12",0.669570751309777,8,16,24
"13",0.817184029667098,12,8,24
"14",0.749531849977902,8,12,24
"15",0.786917954494242,12,4,24
"16",0.047904889866171,4,8,24
"17",0.654045546098157,20,4,24
"18",0.813295433680796,4,8,24
"19",0.00100451304717132,4,12,24
"20",0.640636586874949,4,12,24
"21",0.835311994493307,12,8,24
"22",0.732762877918774,24,20,24
"23",0.813295433680796,4,8,24
"24",0.901170678246062,20,16,24
"25",0.876793786450485,24,8,24
"26",0.713361649075924,12,8,24
"27",0.671657259334201,4,20,24
"28",0.287659305906537,4,8,24
"29",0.855558896370943,12,8,24
"30",0.876899257320802,24,20,24
"31",0.693655160533588,20,12,24
"32",0.197779269611424,4,8,24
"33",0.430131495631137,12,12,24
"34",0.276430568651198,4,8,24
"35",0.837599049018908,12,20,24
"36",0.71739723354619,12,20,24
"37",0.833928495504763,12,8,24
"38",0.795451840879067,12,8,24
"39",0.746741250005628,24,16,24
"40",0.757201539268856,12,20,24
"41",0.564564823484384,20,16,24
"42",0.778510994593313,8,8,24
"43",0.690674555451419,4,16,24
"44",0.746741250005628,16,12,24
"45",0.410811571224354,4,8,24
"46",0.714125079346571,12,20,24
"47",0.703115715035367,12,12,24
"48",0.82142646841093,8,8,24
"49",0.860870736280492,4,12,24
"50",0.835311994493307,24,12,24
"51",0.854374199462702,24,12,24
"52",0.654851050207943,4,12,24
"53",0.863470203416209,24,16,24
"54",0.805356201303428,12,8,24
"55",0.864886134754606,24,16,24
"56",0.838441926095992,24,20,24
"57",0.660032554192655,12,8,24
"58",0.692659397906666,20,12,24
"59",0.923065130636381,8,8,24
"60",0.787769183040806,24,16,24
"61",0.865768432630317,24,20,24
"62",0.768936779516432,20,20,24
