"","data...1.","pval","bhq","rainresult.phase"
"1","VNG0001H",0.938807509799876,0.996551724137931,9
"2","VNG0002G",0.465116279069767,0.996551724137931,18
"3","VNG0003C",0.173317210802096,0.723410966826139,3
"4","VNG0005H",0.465116279069767,0.996551724137931,9
"5","VNG0006G",0.370010905125409,0.996551724137931,6
"6","VNG0008G",0.983118865866958,0.996551724137931,3
"7","VNG0009G",0.252998909487459,0.862496282343611,3
"8","VNG0011C",0.887997861534349,0.996551724137931,15
"9","VNG0013C",0.931034482758621,0.996551724137931,9
"10","VNG0014C",0.584441757355905,0.996551724137931,18
"11","VNG0015H",0.11701199563795,0.671109661182831,3
"12","VNG0016H",0.775896815800081,0.996551724137931,6
"13","VNG0017H",0.675245365321701,0.996551724137931,12
"14","VNG0018H",0.919540229885057,0.996551724137931,15
"15","VNG0019H",0.887997861534349,0.996551724137931,9
"16","VNG0020H",0.969045709703288,0.996551724137931,15
"17","VNG0021H",0.294840790004031,0.958831837411481,3
"18","VNG0022H",0.931034482758621,0.996551724137931,9
"19","VNG0023H",0.90102508178844,0.996551724137931,9
"20","VNG0024H",0.964885496183206,0.996551724137931,18
"21","VNG0025H",0.819729947601773,0.996551724137931,3
"22","VNG0026C",0.11701199563795,0.671109661182831,6
"23","VNG0027H",0.465116279069767,0.996551724137931,18
"24","VNG0028C",0.954907161803713,0.996551724137931,21
"25","VNG0029H",0.9275258194881,0.996551724137931,24
"26","VNG0030H",0.0299274486094317,0.341024969491639,15
"27","VNG0031H",0.597077426390403,0.996551724137931,3
"28","VNG0032H",0.252998909487459,0.862496282343611,12
"29","VNG0033H",0.131034482758621,0.671109661182831,18
"30","VNG0034H",0.964885496183206,0.996551724137931,12
"31","VNG0035C",0.983118865866958,0.996551724137931,3
"32","VNG0037H",0.980036297640653,0.996551724137931,6
"33","VNG0038H",0.983118865866958,0.996551724137931,9
"34","VNG0039H",0.370010905125409,0.996551724137931,21
"35","VNG0040C",0.9275258194881,0.996551724137931,18
"36","VNG0041C",0.954907161803713,0.996551724137931,15
"37","VNG0042G",0.954907161803713,0.996551724137931,3
"38","VNG0043H",0.985388956066102,0.996551724137931,24
"39","VNG0045C",0.675245365321701,0.996551724137931,3
"40","VNG0046G",0.584441757355905,0.996551724137931,15
"41","VNG0047G",0.0675245365321701,0.570012321375462,3
"42","VNG0049H",0.993893035593116,0.996551724137931,15
"43","VNG0050C",0.584441757355905,0.996551724137931,9
"44","VNG0051G",0.288418756815703,0.958831837411481,6
"45","VNG0053H",0.596167234619472,0.996551724137931,3
"46","VNG0054H",0.505997818974918,0.996551724137931,15
"47","VNG0055H",0.995129043984006,0.996551724137931,9
"48","VNG0057H",0.949092637642256,0.996551724137931,21
"49","VNG0058H",0.962050163576881,0.996551724137931,18
"50","VNG0060G",0.118167938931298,0.671109661182831,15
"51","VNG0061C",0.988267590444132,0.996551724137931,9
"52","VNG0062G",0.337622682660851,0.982175076831565,15
"53","VNG0063G",0.980036297640653,0.996551724137931,3
"54","VNG0064G",0.0586206896551724,0.570012321375462,6
"55","VNG0065G",0.337622682660851,0.982175076831565,3
"56","VNG0066H",0.980036297640653,0.996551724137931,15
"57","VNG0067H",0.938807509799876,0.996551724137931,12
"58","VNG0068H",0.465116279069767,0.996551724137931,21
"59","VNG0069H",0.761141024172299,0.996551724137931,21
"60","VNG0070H",0.988372093023256,0.996551724137931,21
"61","VNG0072H",0.954907161803713,0.996551724137931,18
"62","VNG0073C",0.961205159209996,0.996551724137931,9
"63","VNG0075H",0.584441757355905,0.996551724137931,24
"64","VNG0076H",0.938807509799876,0.996551724137931,9
"65","VNG0077H",0.252998909487459,0.862496282343611,3
"66","VNG0079H",0.239234851538358,0.862496282343611,9
"67","VNG0080H",0.38794840790004,0.996551724137931,3
"68","VNG0081G",0.465116279069767,0.996551724137931,15
"69","VNG0084G",0.199516324062878,0.818528508975909,3
"70","VNG0085G",0.988372093023256,0.996551724137931,6
"71","VNG0086G",0.465116279069767,0.996551724137931,24
"72","VNG0089G",0.675245365321701,0.996551724137931,6
"73","VNG0090G",0.887997861534349,0.996551724137931,6
"74","VNG0091C",0.9275258194881,0.996551724137931,3
"75","VNG0094C",0.761141024172299,0.996551724137931,21
"76","VNG0095G",0.337622682660851,0.982175076831565,15
"77","VNG0096C",0.988372093023256,0.996551724137931,3
"78","VNG0097G",0.993675027262814,0.996551724137931,21
"79","VNG0098G",0.775896815800081,0.996551724137931,18
"80","VNG0099G",0.131034482758621,0.671109661182831,15
"81","VNG0101G",0.986718116489109,0.996551724137931,21
"82","VNG0102C",0.0149182115594329,0.341024969491639,18
