Orthogroup	fly	yeast
OG0000001	FBpp0074936	YGL171W_mRNA
OG0000001	FBpp0080997	YHR065C_mRNA
OG0000001	FBpp0087645	YHR169W_mRNA
OG0000001	FBpp0311849, FBpp0087865	YLL008W_mRNA
OG0000001	FBpp0072475	YDL031W_mRNA
OG0000001	FBpp0080622	YDR243C_mRNA
OG0000001	FBpp0301224, FBpp0301225	YGL078C_mRNA
OG0000001	FBpp0306433, FBpp0081374	YOR204W_mRNA, YPL119C_mRNA
OG0000001	FBpp0312062, FBpp0083573, FBpp0083572	YMR290C_mRNA
OG0000001	FBpp0074227	YJL033W_mRNA
OG0000001	FBpp0074214, FBpp0074213, FBpp0309483	YKR024C_mRNA
OG0000002	FBpp0110466, FBpp0110579, FBpp0088134, FBpp0088138, FBpp0088136, FBpp0305826, FBpp0088132	YGL158W_mRNA, YFR014C_mRNA, YOL016C_mRNA
OG0000002	FBpp0099496, FBpp0289607, FBpp0289608, FBpp0305830, FBpp0305831, FBpp0099498, FBpp0099497, FBpp0088283, FBpp0289606, FBpp0088282, FBpp0088281, FBpp0305829	YPL153C_mRNA
OG0000003	FBpp0088685, FBpp0088686, FBpp0088684	YOR326W_mRNA, YAL029C_mRNA
OG0000003	FBpp0298831, FBpp0080458, FBpp0298827, FBpp0298829, FBpp0312323, FBpp0080452, FBpp0291042, FBpp0080456, FBpp0080455, FBpp0298828, FBpp0291041, FBpp0080453, FBpp0080459, FBpp0080464, FBpp0291043, FBpp0080454, FBpp0080462, FBpp0080463, FBpp0298830, FBpp0080457, FBpp0080460, FBpp0291728, FBpp0291729, FBpp0291731, FBpp0072306, FBpp0072305, FBpp0099896, FBpp0297531, FBpp0291730, FBpp0099894	YHR023W_mRNA
OG0000004	FBpp0304044, FBpp0077358, FBpp0297122	YER164W_mRNA
OG0000004	FBpp0079496	YAL019W_mRNA
OG0000004	FBpp0086956, FBpp0086955, FBpp0086954	YOR304W_mRNA, YBR245C_mRNA
OG0000004	FBpp0303193, FBpp0075281, FBpp0075280, FBpp0075279, FBpp0075278, FBpp0305757	YIL126W_mRNA, YOR290C_mRNA
OG0000007	FBpp0309803, FBpp0110508, FBpp0110515, FBpp0352248, FBpp0110528, FBpp0071206, FBpp0297622, FBpp0291423, FBpp0073324	YIL124W_mRNA, YMR226C_mRNA
OG0000012	FBpp0073473	YDR402C_mRNA
OG0000015	FBpp0305296, FBpp0076649, FBpp0078301, FBpp0310551, FBpp0071084	YBR237W_mRNA
OG0000015	FBpp0079565, FBpp0079566	YDL160C_mRNA
OG0000015	FBpp0081324	YDR021W_mRNA
OG0000015	FBpp0303628, FBpp0078809, FBpp0297911, FBpp0078807, FBpp0078808, FBpp0078806	YKR059W_mRNA, YJL138C_mRNA
OG0000015	FBpp0112438, FBpp0304168, FBpp0304166, FBpp0304167	YOR046C_mRNA
OG0000016	FBpp0099736, FBpp0082718, FBpp0303074, FBpp0082715, FBpp0082716, FBpp0306673, FBpp0293609, FBpp0293608, FBpp0290519, FBpp0099738, FBpp0099737, FBpp0082719, FBpp0082717	YNL154C_mRNA, YHR135C_mRNA
OG0000016	FBpp0085106, FBpp0085105, FBpp0422974, FBpp0306615, FBpp0085104, FBpp0311373, FBpp0309354, FBpp0073515, FBpp0073513, FBpp0289609, FBpp0311372	YPL204W_mRNA
OG0000021	FBpp0076820, FBpp0305462, FBpp0082682, FBpp0082681, FBpp0082680, FBpp0310841, FBpp0311050	YMR104C_mRNA, YKL126W_mRNA
OG0000022	FBpp0312051, FBpp0083009, FBpp0087997, FBpp0087996, FBpp0307930, FBpp0087994, FBpp0307928, FBpp0087993, FBpp0307927, FBpp0087995, FBpp0307929, FBpp0303811, FBpp0303812, FBpp0070869, FBpp0070868, FBpp0310903, FBpp0083003, FBpp0310904, FBpp0083004, FBpp0083002, FBpp0310039, FBpp0079172	YOR246C_mRNA
OG0000023	FBpp0086694, FBpp0308990	YEL030W_mRNA, YJR045C_mRNA
OG0000023	FBpp0311376, FBpp0073448, FBpp0073445, FBpp0073446, FBpp0073447	YJL034W_mRNA
OG0000023	FBpp0081956, FBpp0081986, FBpp0082147, FBpp0082105, FBpp0082106, FBpp0082107, FBpp0083974, FBpp0082175, FBpp0075504, FBpp0075503, FBpp0075505, FBpp0307982, FBpp0082518, FBpp0082519, FBpp0082517, FBpp0082516, FBpp0082515, FBpp0082514	YLL024C_mRNA, YAL005C_mRNA, YER103W_mRNA, YBL075C_mRNA
OG0000024	FBpp0070468, FBpp0308632, FBpp0088917, FBpp0308631	YCR011C_mRNA
OG0000024	FBpp0084089, FBpp0294026, FBpp0077292, FBpp0077294, FBpp0077293, FBpp0099714, FBpp0099715, FBpp0303496, FBpp0077817, FBpp0099713, FBpp0099712, FBpp0077816, FBpp0077815, FBpp0077814, FBpp0077554, FBpp0077553, FBpp0077291, FBpp0111812, FBpp0077116, FBpp0077117, FBpp0111811, FBpp0077390, FBpp0077392, FBpp0306277, FBpp0306276, FBpp0306275, FBpp0306278, FBpp0077391, FBpp0077389, FBpp0099791, FBpp0077813, FBpp0089109, FBpp0077812, FBpp0079489, FBpp0311684, FBpp0304025	YOL075C_mRNA
OG0000026	FBpp0289039, FBpp0289032, FBpp0289038, FBpp0289036, FBpp0289037, FBpp0289042, FBpp0289034, FBpp0289041, FBpp0289040, FBpp0289043, FBpp0289035, FBpp0289033, FBpp0297637, FBpp0292219	YAL026C_mRNA
OG0000026	FBpp0088795, FBpp0290286, FBpp0290287, FBpp0088794	YDR093W_mRNA, YER166W_mRNA
