Orthogroup	arabidopsis	neurospora
OG0000000	AT4G02750.1, AT4G16835.1, AT1G62260.1, AT1G26900.1, AT5G50990.1, AT1G32415.1, AT1G10330.1, AT5G19020.1, AT4G35130.1, AT5G42450.1, AT1G56690.1, AT1G09410.1, AT5G02830.1, AT4G15720.1, AT5G40410.1, AT2G44880.2, AT5G08510.1, AT2G36240.1, AT5G44230.1, AT1G09190.1, AT5G56310.1, AT2G20540.1, AT5G59200.1, AT1G33350.1, AT3G26782.1, AT3G04750.1, AT2G22410.1, AT1G50270.1, AT2G34400.1, AT4G38010.1, AT3G05240.1, AT2G29760.1, AT3G22690.1, AT4G14820.1, AT1G08070.1, AT3G08820.1, AT3G11460.1, AT4G30700.1, AT3G25060.1, AT3G21470.1, AT3G49142.1, AT3G15930.1, AT1G31430.1, AT1G14470.1, AT2G01510.1, AT1G74400.1, AT2G45350.1, AT3G29230.1, AT5G15300.1, AT5G37570.1, AT1G13410.1, AT4G22760.1, AT2G27229.1, AT1G06143.1, AT5G48910.1, AT5G66520.1, AT4G37380.1, AT5G06540.1, AT3G47530.1, AT1G31920.1, AT1G34160.1, AT3G56550.1, AT1G59720.1, AT5G40405.1, AT3G62890.1, AT1G74630.2, AT2G02980.1, AT2G36730.1, AT4G21065.1, AT5G08305.1, AT1G09220.1, AT3G18970.1, AT3G26630.1, AT4G18840.1, AT2G42920.1, AT5G61800.1, AT5G43790.1, AT3G28640.1, AT3G28660.1, AT2G02750.1, AT5G27110.1, AT1G23450.1, AT5G66500.1, AT4G31070.1, AT2G36980.1, AT5G46440.1, AT1G16830.1, AT2G35030.1, AT1G04840.1, AT4G32430.1, AT3G49740.1, AT2G46050.1, AT2G37310.1, AT3G05340.1, AT3G61170.1, AT3G26540.1, AT2G04860.1, AT1G15510.1, AT1G11290.1, AT3G02330.1, AT4G08210.1, AT3G09040.2, AT3G25970.1, AT3G13880.1, AT3G47840.1, AT3G53360.1, AT2G33680.5, AT3G49170.1, AT4G18750.1, AT4G33990.1, AT3G46790.1, AT5G16860.1, AT3G03580.1, AT3G63370.1, AT4G33170.1, AT3G15130.1, AT1G16480.1, AT5G13230.1, AT2G27610.1, AT4G13650.1, AT5G09950.1, AT1G18485.1, AT3G57430.1, AT2G03880.1, AT5G52630.1, AT5G04780.1, AT3G23330.1, AT3G02010.1, AT3G24000.1, AT3G13770.1, AT4G14850.1, AT5G65570.1, AT1G71420.1, AT5G39680.1, AT5G03800.1, AT5G15340.1, AT5G55740.1, AT1G31790.1, AT5G50390.1, AT3G12770.1, AT1G20230.1, AT1G17630.1, AT1G71490.1, AT1G22830.1, AT3G16610.1, AT5G59600.1, AT1G19720.1, AT4G01030.1, AT2G41080.1, AT3G50420.1, AT3G58590.1, AT5G47460.1, AT1G03540.1, AT4G20770.1, AT1G43980.1, AT1G71460.1, AT3G22150.1, AT3G01580.1, AT3G14730.1, AT1G64310.1, AT2G37320.1, AT1G77170.1, AT1G77150.1, AT4G14170.1, AT3G49710.1, AT1G56570.1, AT1G53600.1, AT2G13600.1, AT4G16470.1, AT4G19191.1, AT5G39350.1, AT3G20730.1, AT2G03380.1, AT1G06140.1, AT5G08490.1, AT2G40720.1, AT1G77010.1, AT2G17210.1, AT4G18520.1, AT4G21300.1, AT4G39530.1, AT4G39952.1, AT1G69350.1, AT5G52850.1, AT1G05750.1, AT1G74600.1, AT4G04370.1, AT4G19220.1, AT2G39620.1, AT2G33760.1, AT1G28690.1, AT4G25270.1, AT3G14330.1, AT1G03510.1, AT3G51320.1, AT1G68930.1, AT3G18840.2, AT4G14050.1, AT5G13270.1, AT5G03560.2, AT5G46460.1, AT4G37170.1, AT2G22070.1, AT1G25360.1, AT2G21090.1, AT4G32450.1, AT2G25580.1, AT2G34370.1, AT1G29710.1, AT2G15690.1, AT1G47580.1	EAA32535
OG0000001	AT3G09720.1	EAA35509
OG0000001	AT5G60990.1	EAA27679
OG0000001	AT4G16630.1	EDO65410
OG0000001	AT1G77030.1	EAA33062
OG0000001	AT2G33730.1, AT1G28180.1	EAA35223
OG0000001	AT1G31970.1	EAA30806
OG0000001	AT2G42520.1, AT3G58510.1, AT3G58570.1	EAA31690
OG0000001	AT3G18600.1, AT5G65900.1	EAA29692
OG0000001	AT5G54910.1	EAA28280
OG0000001	AT2G40700.1	EAA32541
OG0000003	AT4G33200.4, AT2G31900.2, AT1G08730.1, AT1G54560.1, AT5G20490.2, AT1G17580.1, AT5G43900.3, AT1G04160.1, AT4G28710.1, AT2G20290.1, AT1G04600.1, AT2G33240.1, AT3G58160.1	ESA42634
OG0000003	AT3G19960.2, AT1G50360.1, AT4G27370.2, AT5G54280.2	EAA35476
OG0000004	AT2G13370.1	ESA44011
OG0000004	AT5G44800.1, AT4G31900.1	EAA31593
OG0000004	AT2G02090.1	EAA29079
OG0000004	AT5G66750.1	EAA33332
OG0000004	AT3G06400.3, AT5G18620.2	EAA27312
OG0000004	AT2G46020.2, AT2G28290.5, AT3G06010.1, AT5G19310.1	EAA27892
OG0000007	AT5G10050.1, AT5G65205.1	EAA36368, EAA33184
OG0000007	AT3G04000.1, AT3G03980.1, AT5G18210.2, AT4G13180.1	EAA33992, EAA31574, EAA30016, ESA41875
OG0000007	AT1G24360.1	EAA32861
OG0000007	AT3G12800.1, AT2G07640.1	EAA32855
OG0000007	AT1G36580.1	EAA35647
OG0000012	AT4G27710.1, AT2G46950.1, AT2G46960.2, AT5G52400.1, AT5G38450.1, AT1G67110.1, AT1G75130.1, AT2G26710.1, AT3G14630.2, AT3G14690.2, AT3G14660.1, AT3G14650.1, AT3G14680.1, AT3G14640.2, AT3G14610.1, AT3G14620.1, AT1G17060.1, AT1G31800.1, AT3G53130.1, AT4G15110.1	EAA28923
OG0000012	AT2G45510.1	EAA35417
OG0000015	AT5G26742.2, AT3G22310.1, AT3G22330.1, AT5G14610.1, AT3G06480.1	EAA28073, EAA32480, EAA33076
OG0000015	AT2G45810.1, AT3G61240.1, AT4G00660.1	EAA30775
OG0000015	AT3G19760.1, AT1G51380.1	EAA32364
OG0000015	AT3G13920.5, AT1G54270.1, AT1G72730.1	EAA29185
OG0000015	AT3G53110.1	EAA32290
