Orthogroup	fly	human
OG0000001	FBpp0074936	ENSP00000479504, ENSP00000480030
OG0000001	FBpp0080997	ENSP00000319578, ENSP00000350698
OG0000001	FBpp0087645	ENSP00000247003
OG0000001	FBpp0311849, FBpp0087865	ENSP00000483119, ENSP00000360828, ENSP00000483495, ENSP00000482680
OG0000001	FBpp0072475	ENSP00000448477, ENSP00000447098, ENSP00000323858, ENSP00000304072
OG0000001	FBpp0080622	ENSP00000310723
OG0000001	FBpp0076003	ENSP00000352308, ENSP00000390121, ENSP00000374574, ENSP00000463561, ENSP00000464050
OG0000001	FBpp0306433, FBpp0081374	ENSP00000496356, ENSP00000496052, ENSP00000494887, ENSP00000493795, ENSP00000336725, ENSP00000353284, ENSP00000493819, ENSP00000495377, ENSP00000496663, ENSP00000494952, ENSP00000382840, ENSP00000392494, ENSP00000486720, ENSP00000487224, ENSP00000494040, ENSP00000486516, ENSP00000478443, ENSP00000496222, ENSP00000487062, ENSP00000486514, ENSP00000486443, ENSP00000486306, ENSP00000493475, ENSP00000496524, ENSP00000494518
OG0000001	FBpp0401447, FBpp0401446, FBpp0401445	ENSP00000424838, ENSP00000423102, ENSP00000427167, ENSP00000425359, ENSP00000347087, ENSP00000334167, ENSP00000423123
OG0000001	FBpp0081355	ENSP00000346244
OG0000001	FBpp0312062, FBpp0083573, FBpp0083572	ENSP00000263239, ENSP00000415604
OG0000001	FBpp0074227	ENSP00000497432, ENSP00000314348, ENSP00000432032
OG0000001	FBpp0074214, FBpp0074213, FBpp0309483	ENSP00000361226, ENSP00000310539, ENSP00000479697, ENSP00000361232, ENSP00000387730
OG0000002	FBpp0110466, FBpp0110579	ENSP00000369223, ENSP00000484452, ENSP00000255448, ENSP00000353846, ENSP00000401916, ENSP00000303887, ENSP00000427235, ENSP00000296550, ENSP00000489372
OG0000002	FBpp0088134, FBpp0088138, FBpp0088136, FBpp0305826, FBpp0088132	ENSP00000422634, ENSP00000282356, ENSP00000482880, ENSP00000291041, ENSP00000391772, ENSP00000415770, ENSP00000359164, ENSP00000359169, ENSP00000340586, ENSP00000359161, ENSP00000405950, ENSP00000354861, ENSP00000009105, ENSP00000392173, ENSP00000368122, ENSP00000478861, ENSP00000478874, ENSP00000393238, ENSP00000256460, ENSP00000419195, ENSP00000417614, ENSP00000420053
OG0000002	FBpp0099496, FBpp0289607, FBpp0289608, FBpp0305830, FBpp0305831, FBpp0099498, FBpp0099497, FBpp0088283, FBpp0289606, FBpp0088282, FBpp0088281, FBpp0305829	ENSP00000296402, ENSP00000369098, ENSP00000422566, ENSP00000381412, ENSP00000261793, ENSP00000423482, ENSP00000423677, ENSP00000339740, ENSP00000378032, ENSP00000424245, ENSP00000425824, ENSP00000277853, ENSP00000315599, ENSP00000361851, ENSP00000378243, ENSP00000307082, ENSP00000410298, ENSP00000319060, ENSP00000258682, ENSP00000379098, ENSP00000326375, ENSP00000397937, ENSP00000326544, ENSP00000351542, ENSP00000326518, ENSP00000326427, ENSP00000390292, ENSP00000379096, ENSP00000378030
OG0000003	FBpp0079098, FBpp0079100	ENSP00000421309
OG0000003	FBpp0088685, FBpp0088686, FBpp0088684	ENSP00000481420, ENSP00000382177, ENSP00000382179, ENSP00000350945, ENSP00000348693, ENSP00000451109, ENSP00000285039, ENSP00000261839
OG0000003	FBpp0298831, FBpp0080458, FBpp0298827, FBpp0298829, FBpp0312323, FBpp0080452, FBpp0291042, FBpp0080456, FBpp0080455, FBpp0298828, FBpp0291041, FBpp0080453, FBpp0080459, FBpp0080464, FBpp0291043, FBpp0080454, FBpp0080462, FBpp0080463, FBpp0298830, FBpp0080457, FBpp0080460	ENSP00000386041, ENSP00000348634, ENSP00000347507, ENSP00000273353, ENSP00000262873, ENSP00000483640, ENSP00000482463, ENSP00000433944
