Ddx52	NCU00919
Ddx47	NCU04504
Ddx47	NCU04504
Ddx47	NCU04504
Ddx47	NCU04504
Ddx27	NCU11175
Ddx54	NCU07712
Ddx23	NCU02803
Ddx3x	NCU01369
D1Pas1	NCU01369
Ddx3y	NCU01369
Ddx4	NCU09093
Ddx4	NCU09093
Ddx18	NCU09349
Ddx18	NCU09349
Ddx10	NCU04439
Ddx31	NCU06520
Dclk1	NCU02283
Dclk1	NCU02283
Dclk1	NCU02283
Dclk1	NCU02283
Dclk1	NCU02283
Dclk1	NCU02283
Dclk1	NCU02283
Dclk1	NCU02283
Dclk2	NCU02283
Dclk2	NCU02283
Dclk2	NCU02283
Dclk2	NCU02283
Dclk2	NCU02283
Dclk2	NCU02283
Camk4	NCU09123
Camk4	NCU09123
Camk4	NCU09123
Pskh1	NCU09123
Pnck	NCU09123
Pnck	NCU09123
Pnck	NCU09123
Pnck	NCU09123
Camk1g	NCU09123
Camk1g	NCU09123
Camk1g	NCU09123
Camk1d	NCU09123
Camk1d	NCU09123
Camk1	NCU09123
Myo5a	NCU01440
Myo5a	NCU01440
Myo5a	NCU01440
Myo5b	NCU01440
Myo5b	NCU01440
Myo5c	NCU01440
Myh6	NCU00551
Myh6	NCU00551
Myh7	NCU00551
Myh7	NCU00551
Myh15	NCU00551
Myh7b	NCU00551
Myh3	NCU00551
Myh3	NCU00551
Myh3	NCU00551
Myh13	NCU00551
Myh13	NCU00551
Myh13	NCU00551
Myh4	NCU00551
Myh4	NCU00551
Myh1	NCU00551
Myh1	NCU00551
Myh1	NCU00551
Myh8	NCU00551
Myh2	NCU00551
Myh2	NCU00551
Myh14	NCU00551
Myh14	NCU00551
Myh14	NCU00551
Myh14	NCU00551
Myh10	NCU00551
Myh10	NCU00551
Myh10	NCU00551
Myh9	NCU00551
Myh11	NCU00551
Myh11	NCU00551
Myh11	NCU00551
Chd2	NCU03060
Chd1	NCU03060
Chd1	NCU03060
Smarcad1	NCU10337
Smarcad1	NCU09106
Hells	NCU06306
Smarca1	NCU03875
Smarca1	NCU03875
Smarca1	NCU03875
Smarca1	NCU03875
Smarca1	NCU03875
Smarca5	NCU03875
Smarca4	NCU06488
Smarca4	NCU06488
Smarca2	NCU06488
Smarca2	NCU06488
Smarca2	NCU06488
Smarca2	NCU06488
Smarca4	NCU06488
Smarca4	NCU06488
Rdh8	NCU16596
Rdh8	NCU04592
Bdh2	NCU02920
Bdh2	NCU02480
Bdh2	NCU02920
Bdh2	NCU02480
Cbr4	NCU07964
H2-Ke6	NCU07964
H2-Ke6	NCU07964
Pecr	NCU07958
Decr2	NCU07958
Hsd17b14	NCU02018
Hsd17b14	NCU02018
Hsd17b14	NCU02018
Gm45753	NCU09419
Cyp4v3	NCU09419
Cyp4f40	NCU09419
Cyp4f40	NCU09419
Cyp4f15	NCU09419
Cyp4f15	NCU09419
Cyp4f14	NCU09419
Cyp4f14	NCU09419
Cyp4f14	NCU09419
Cyp4f14	NCU09419
Cyp4f16	NCU09419
Cyp4f16	NCU09419
Cyp4f37	NCU09419
Cyp4f13	NCU09419
Cyp4f13	NCU09419
Cyp4f13	NCU09419
Cyp4f17	NCU09419
Cyp4f39	NCU09419
Cyp4f18	NCU09419
Cyp4f18	NCU09419
Cyp4x1	NCU09419
Cyp4x1	NCU09419
Cyp4a29	NCU09419
Cyp4a12b	NCU09419
Cyp4a12a	NCU09419
Cyp4a30b	NCU09419
Cyp4a14	NCU09419
Cyp4b1	NCU09419
Ddx6	NCU06149
Ddx6	NCU06149
Eif4a3	NCU01234
Gm8994	NCU01234
Gm8994	NCU01234
Gm8994	NCU01234
Gm5580	NCU01234
Eif4a3	NCU01234
Eif4a2	NCU07420
Eif4a2	NCU07420
Eif4a2	NCU07420
Eif4a2	NCU07420
