ENSMUSP00000048802 YGL171W_mRNA
ENSMUSP00000119231 YHR065C_mRNA
ENSMUSP00000145232 YHR065C_mRNA
ENSMUSP00000145463 YHR065C_mRNA
ENSMUSP00000032326 YHR065C_mRNA
ENSMUSP00000008004 YHR169W_mRNA
ENSMUSP00000018143 YLL008W_mRNA
ENSMUSP00000031598 YDL031W_mRNA
ENSMUSP00000003450 YDR243C_mRNA
ENSMUSP00000000804 YOR204W_mRNA
ENSMUSP00000000804 YPL119C_mRNA
ENSMUSP00000035261 YOR204W_mRNA
ENSMUSP00000035261 YPL119C_mRNA
ENSMUSP00000088729 YOR204W_mRNA
ENSMUSP00000088729 YPL119C_mRNA
ENSMUSP00000001724 YMR290C_mRNA
ENSMUSP00000114149 YMR290C_mRNA
ENSMUSP00000065198 YJL033W_mRNA
ENSMUSP00000109484 YKR024C_mRNA
ENSMUSP00000142637 YGL158W_mRNA
ENSMUSP00000142637 YFR014C_mRNA
ENSMUSP00000142637 YOL016C_mRNA
ENSMUSP00000143016 YGL158W_mRNA
ENSMUSP00000143016 YFR014C_mRNA
ENSMUSP00000143016 YOL016C_mRNA
ENSMUSP00000143563 YGL158W_mRNA
ENSMUSP00000143563 YFR014C_mRNA
ENSMUSP00000143563 YOL016C_mRNA
ENSMUSP00000142840 YGL158W_mRNA
ENSMUSP00000142840 YFR014C_mRNA
ENSMUSP00000142840 YOL016C_mRNA
ENSMUSP00000070292 YGL158W_mRNA
ENSMUSP00000070292 YFR014C_mRNA
ENSMUSP00000070292 YOL016C_mRNA
ENSMUSP00000143507 YGL158W_mRNA
ENSMUSP00000143507 YFR014C_mRNA
ENSMUSP00000143507 YOL016C_mRNA
ENSMUSP00000143659 YGL158W_mRNA
ENSMUSP00000143659 YFR014C_mRNA
ENSMUSP00000143659 YOL016C_mRNA
ENSMUSP00000050034 YGL158W_mRNA
ENSMUSP00000050034 YFR014C_mRNA
ENSMUSP00000050034 YOL016C_mRNA
ENSMUSP00000141866 YGL158W_mRNA
ENSMUSP00000141866 YFR014C_mRNA
ENSMUSP00000141866 YOL016C_mRNA
ENSMUSP00000029719 YGL158W_mRNA
ENSMUSP00000029719 YFR014C_mRNA
ENSMUSP00000029719 YOL016C_mRNA
ENSMUSP00000142267 YGL158W_mRNA
ENSMUSP00000142267 YFR014C_mRNA
ENSMUSP00000142267 YOL016C_mRNA
ENSMUSP00000141567 YGL158W_mRNA
ENSMUSP00000141567 YFR014C_mRNA
ENSMUSP00000141567 YOL016C_mRNA
ENSMUSP00000141816 YGL158W_mRNA
ENSMUSP00000141816 YFR014C_mRNA
ENSMUSP00000141816 YOL016C_mRNA
ENSMUSP00000141707 YGL158W_mRNA
ENSMUSP00000141707 YFR014C_mRNA
ENSMUSP00000141707 YOL016C_mRNA
ENSMUSP00000046539 YGL158W_mRNA
ENSMUSP00000046539 YFR014C_mRNA
ENSMUSP00000046539 YOL016C_mRNA
ENSMUSP00000157012 YGL158W_mRNA
ENSMUSP00000157012 YFR014C_mRNA
ENSMUSP00000157012 YOL016C_mRNA
ENSMUSP00000157216 YGL158W_mRNA
ENSMUSP00000157216 YFR014C_mRNA
ENSMUSP00000157216 YOL016C_mRNA
ENSMUSP00000061700 YGL158W_mRNA
ENSMUSP00000061700 YFR014C_mRNA
ENSMUSP00000061700 YOL016C_mRNA
ENSMUSP00000120453 YGL158W_mRNA
ENSMUSP00000120453 YFR014C_mRNA
ENSMUSP00000120453 YOL016C_mRNA
ENSMUSP00000110116 YGL158W_mRNA
ENSMUSP00000110116 YFR014C_mRNA
ENSMUSP00000110116 YOL016C_mRNA
ENSMUSP00000110117 YGL158W_mRNA
ENSMUSP00000110117 YFR014C_mRNA
ENSMUSP00000110117 YOL016C_mRNA
ENSMUSP00000002087 YGL158W_mRNA
ENSMUSP00000002087 YFR014C_mRNA
ENSMUSP00000002087 YOL016C_mRNA
ENSMUSP00000131451 YGL158W_mRNA
ENSMUSP00000131451 YFR014C_mRNA
ENSMUSP00000131451 YOL016C_mRNA
ENSMUSP00000016323 YGL158W_mRNA
ENSMUSP00000016323 YFR014C_mRNA
ENSMUSP00000016323 YOL016C_mRNA
ENSMUSP00000128143 YGL158W_mRNA
ENSMUSP00000128143 YFR014C_mRNA
ENSMUSP00000128143 YOL016C_mRNA
ENSMUSP00000110638 YGL158W_mRNA
ENSMUSP00000110638 YFR014C_mRNA
ENSMUSP00000110638 YOL016C_mRNA
ENSMUSP00000037028 YGL158W_mRNA
ENSMUSP00000037028 YFR014C_mRNA
ENSMUSP00000037028 YOL016C_mRNA
ENSMUSP00000032409 YGL158W_mRNA
ENSMUSP00000032409 YFR014C_mRNA
ENSMUSP00000032409 YOL016C_mRNA
ENSMUSP00000133019 YPL153C_mRNA
ENSMUSP00000102008 YPL153C_mRNA
ENSMUSP00000025519 YPL153C_mRNA
ENSMUSP00000099952 YPL153C_mRNA
ENSMUSP00000102009 YPL153C_mRNA
ENSMUSP00000143504 YPL153C_mRNA
ENSMUSP00000102007 YPL153C_mRNA
ENSMUSP00000143677 YPL153C_mRNA
ENSMUSP00000129999 YPL153C_mRNA
ENSMUSP00000102010 YPL153C_mRNA
ENSMUSP00000098398 YPL153C_mRNA
ENSMUSP00000079298 YPL153C_mRNA
ENSMUSP00000071720 YPL153C_mRNA
ENSMUSP00000154158 YPL153C_mRNA
ENSMUSP00000019133 YPL153C_mRNA
ENSMUSP00000105440 YPL153C_mRNA
ENSMUSP00000105438 YPL153C_mRNA
ENSMUSP00000099119 YPL153C_mRNA
ENSMUSP00000091046 YPL153C_mRNA
ENSMUSP00000087925 YPL153C_mRNA
ENSMUSP00000002817 YPL153C_mRNA
ENSMUSP00000065101 YPL153C_mRNA
ENSMUSP00000105437 YPL153C_mRNA
ENSMUSP00000099120 YPL153C_mRNA
ENSMUSP00000063359 YPL153C_mRNA
ENSMUSP00000116028 YOR326W_mRNA
ENSMUSP00000116028 YAL029C_mRNA
ENSMUSP00000120444 YOR326W_mRNA
ENSMUSP00000120444 YAL029C_mRNA
ENSMUSP00000117493 YOR326W_mRNA
ENSMUSP00000117493 YAL029C_mRNA
ENSMUSP00000073790 YOR326W_mRNA
ENSMUSP00000073790 YAL029C_mRNA
ENSMUSP00000112728 YOR326W_mRNA
ENSMUSP00000112728 YAL029C_mRNA
ENSMUSP00000042229 YOR326W_mRNA
ENSMUSP00000042229 YAL029C_mRNA
ENSMUSP00000154634 YHR023W_mRNA
ENSMUSP00000080538 YHR023W_mRNA
ENSMUSP00000099867 YHR023W_mRNA
ENSMUSP00000126840 YHR023W_mRNA
ENSMUSP00000127539 YHR023W_mRNA
ENSMUSP00000090672 YHR023W_mRNA
ENSMUSP00000131883 YHR023W_mRNA
ENSMUSP00000104329 YHR023W_mRNA
ENSMUSP00000007301 YHR023W_mRNA
ENSMUSP00000137731 YHR023W_mRNA
