Ddx52	YGL171W
Ddx47	YHR065C
Ddx47	YHR065C
Ddx47	YHR065C
Ddx47	YHR065C
Ddx49	YHR169W
Ddx27	YLL008W
Ddx54	YDL031W
Ddx23	YDR243C
Ddx3x	YOR204W
Ddx3x	YPL119C
D1Pas1	YOR204W
D1Pas1	YPL119C
Ddx3y	YOR204W
Ddx3y	YPL119C
Ddx18	YMR290C
Ddx18	YMR290C
Ddx10	YJL033W
Ddx31	YKR024C
Dclk1	YGL158W
Dclk1	YFR014C
Dclk1	YOL016C
Dclk1	YGL158W
Dclk1	YFR014C
Dclk1	YOL016C
Dclk1	YGL158W
Dclk1	YFR014C
Dclk1	YOL016C
Dclk1	YGL158W
Dclk1	YFR014C
Dclk1	YOL016C
Dclk1	YGL158W
Dclk1	YFR014C
Dclk1	YOL016C
Dclk1	YGL158W
Dclk1	YFR014C
Dclk1	YOL016C
Dclk1	YGL158W
Dclk1	YFR014C
Dclk1	YOL016C
Dclk1	YGL158W
Dclk1	YFR014C
Dclk1	YOL016C
Dclk2	YGL158W
Dclk2	YFR014C
Dclk2	YOL016C
Dclk2	YGL158W
Dclk2	YFR014C
Dclk2	YOL016C
Dclk2	YGL158W
Dclk2	YFR014C
Dclk2	YOL016C
Dclk2	YGL158W
Dclk2	YFR014C
Dclk2	YOL016C
Dclk2	YGL158W
Dclk2	YFR014C
Dclk2	YOL016C
Dclk2	YGL158W
Dclk2	YFR014C
Dclk2	YOL016C
Camk4	YGL158W
Camk4	YFR014C
Camk4	YOL016C
Camk4	YGL158W
Camk4	YFR014C
Camk4	YOL016C
Camk4	YGL158W
Camk4	YFR014C
Camk4	YOL016C
Pskh1	YGL158W
Pskh1	YFR014C
Pskh1	YOL016C
Pnck	YGL158W
Pnck	YFR014C
Pnck	YOL016C
Pnck	YGL158W
Pnck	YFR014C
Pnck	YOL016C
Pnck	YGL158W
Pnck	YFR014C
Pnck	YOL016C
Pnck	YGL158W
Pnck	YFR014C
Pnck	YOL016C
Camk1g	YGL158W
Camk1g	YFR014C
Camk1g	YOL016C
Camk1g	YGL158W
Camk1g	YFR014C
Camk1g	YOL016C
Camk1g	YGL158W
Camk1g	YFR014C
Camk1g	YOL016C
Camk1d	YGL158W
Camk1d	YFR014C
Camk1d	YOL016C
Camk1d	YGL158W
Camk1d	YFR014C
Camk1d	YOL016C
Camk1	YGL158W
Camk1	YFR014C
Camk1	YOL016C
Camk2d	YPL153C
Camk2d	YPL153C
Camk2a	YPL153C
Camk2a	YPL153C
Camk2d	YPL153C
Camk2d	YPL153C
Camk2d	YPL153C
Camk2d	YPL153C
Camk2d	YPL153C
Camk2d	YPL153C
Camk2g	YPL153C
Camk2g	YPL153C
Camk2g	YPL153C
Camk2g	YPL153C
Camk2b	YPL153C
Camk2b	YPL153C
Camk2b	YPL153C
Camk2b	YPL153C
Camk2b	YPL153C
Camk2b	YPL153C
Camk2b	YPL153C
Camk2b	YPL153C
Camk2b	YPL153C
Camk2b	YPL153C
Camk2d	YPL153C
Myo5a	YOR326W
Myo5a	YAL029C
Myo5a	YOR326W
Myo5a	YAL029C
Myo5a	YOR326W
Myo5a	YAL029C
Myo5b	YOR326W
Myo5b	YAL029C
Myo5b	YOR326W
Myo5b	YAL029C
Myo5c	YOR326W
Myo5c	YAL029C
Myh6	YHR023W
Myh6	YHR023W
Myh7	YHR023W
Myh7	YHR023W
Myh15	YHR023W
Myh7b	YHR023W
Myh3	YHR023W
Myh3	YHR023W
Myh3	YHR023W
Myh13	YHR023W
Myh13	YHR023W
Myh13	YHR023W
Myh4	YHR023W
Myh4	YHR023W
Myh1	YHR023W
Myh1	YHR023W
Myh1	YHR023W
Myh8	YHR023W
Myh2	YHR023W
Myh2	YHR023W
Myh14	YHR023W
Myh14	YHR023W
Myh14	YHR023W
Myh14	YHR023W
Myh10	YHR023W
Myh10	YHR023W
Myh10	YHR023W
Myh9	YHR023W
Myh11	YHR023W
Myh11	YHR023W
Myh11	YHR023W
Chd2	YER164W
Chd1	YER164W
Chd1	YER164W
Smarcad1	YAL019W
Hells	YFR038W
Smarca1	YOR304W
Smarca1	YBR245C
Smarca1	YOR304W
Smarca1	YBR245C
Smarca1	YOR304W
Smarca1	YBR245C
Smarca1	YOR304W
Smarca1	YBR245C
Smarca1	YOR304W
Smarca1	YBR245C
Smarca5	YOR304W
Smarca5	YBR245C
Smarca4	YIL126W
Smarca4	YOR290C
Smarca4	YIL126W
Smarca4	YOR290C
Smarca2	YIL126W
Smarca2	YOR290C
Smarca2	YIL126W
Smarca2	YOR290C
Smarca2	YIL126W
Smarca2	YOR290C
Smarca2	YIL126W
Smarca2	YOR290C
Smarca4	YIL126W
Smarca4	YOR290C
Smarca4	YIL126W
Smarca4	YOR290C
Pecr	YNL202W
Decr2	YNL202W
Hsd17b14	YIR035C
Hsd17b14	YIR036C
Hsd17b14	YIR035C
Hsd17b14	YIR036C
Hsd17b14	YIR035C
Hsd17b14	YIR036C
Ddx6	YDL160C
Ddx6	YDL160C
Eif4a3	YDR021W
Gm8994	YDR021W
Gm8994	YDR021W
Gm8994	YDR021W
Gm5580	YDR021W
Eif4a3	YDR021W
