Orthogroup	arabidopsis	yeast
OG0000001	AT3G09720.1	YGL171W_mRNA
OG0000001	AT5G60990.1	YHR065C_mRNA
OG0000001	AT1G16280.1	YHR169W_mRNA
OG0000001	AT4G16630.1	YLL008W_mRNA
OG0000001	AT1G77030.1	YDL031W_mRNA
OG0000001	AT2G33730.1, AT1G28180.1	YDR243C_mRNA
OG0000001	AT1G31970.1	YGL078C_mRNA
OG0000001	AT2G42520.1, AT3G58510.1, AT3G58570.1	YOR204W_mRNA, YPL119C_mRNA
OG0000001	AT3G18600.1, AT5G65900.1	YMR290C_mRNA
OG0000001	AT5G54910.1	YJL033W_mRNA
OG0000001	AT2G40700.1	YKR024C_mRNA
OG0000003	AT4G33200.4, AT2G31900.2, AT1G08730.1, AT1G54560.1, AT5G20490.2, AT1G17580.1, AT5G43900.3, AT1G04160.1, AT4G28710.1, AT2G20290.1, AT1G04600.1, AT2G33240.1, AT3G58160.1	YOR326W_mRNA, YAL029C_mRNA
OG0000003	AT3G19960.2, AT1G50360.1, AT4G27370.2, AT5G54280.2	YHR023W_mRNA
OG0000004	AT2G13370.1	YER164W_mRNA
OG0000004	AT2G02090.1	YAL019W_mRNA
OG0000004	AT5G66750.1	YFR038W_mRNA
OG0000004	AT3G06400.3, AT5G18620.2	YOR304W_mRNA, YBR245C_mRNA
OG0000004	AT2G46020.2, AT2G28290.5, AT3G06010.1, AT5G19310.1	YIL126W_mRNA, YOR290C_mRNA
OG0000007	AT5G10050.1, AT5G65205.1	YIL124W_mRNA
OG0000007	AT3G12800.1, AT2G07640.1	YNL202W_mRNA
OG0000007	AT1G36580.1	YIR035C_mRNA, YIR036C_mRNA
OG0000012	AT2G45510.1	YDR402C_mRNA
OG0000015	AT5G26742.2, AT3G22310.1, AT3G22330.1, AT5G14610.1, AT3G06480.1	YBR237W_mRNA
OG0000015	AT2G45810.1, AT3G61240.1, AT4G00660.1	YDL160C_mRNA
OG0000015	AT3G19760.1, AT1G51380.1	YDR021W_mRNA
OG0000015	AT3G13920.5, AT1G54270.1, AT1G72730.1	YKR059W_mRNA, YJL138C_mRNA
OG0000015	AT3G53110.1	YOR046C_mRNA
OG0000016	AT4G14340.1, AT3G23340.1, AT1G04440.1, AT5G43320.1, AT4G28540.1, AT5G44100.1, AT1G03930.1, AT4G28860.1, AT4G28880.1, AT2G19470.1, AT4G08800.1, AT1G72710.1, AT4G26100.1, AT5G57015.1	YNL154C_mRNA, YHR135C_mRNA, YPL204W_mRNA
OG0000021	AT3G08720.1, AT2G29700.1, AT5G05710.1	YMR104C_mRNA, YKL126W_mRNA
