AT3G09720	Ddx52
AT5G60990	Ddx47
AT5G60990	Ddx47
AT5G60990	Ddx47
AT5G60990	Ddx47
AT1G16280	Ddx49
AT4G16630	Ddx27
AT1G77030	Ddx54
AT2G33730	Ddx23
AT1G28180	Ddx23
AT2G47330	Ddx42
AT2G42520	Ddx3x
AT2G42520	D1Pas1
AT2G42520	Ddx3y
AT3G58510	Ddx3x
AT3G58510	D1Pas1
AT3G58510	Ddx3y
AT3G58570	Ddx3x
AT3G58570	D1Pas1
AT3G58570	Ddx3y
AT3G18600	Ddx18
AT3G18600	Ddx18
AT5G65900	Ddx18
AT5G65900	Ddx18
AT5G54910	Ddx10
AT2G40700	Ddx31
AT5G20450	Myo3b
AT5G20450	Myo3b
AT5G20470	Myo3b
AT5G20470	Myo3b
AT4G33200	Myo5a
AT4G33200	Myo5a
AT4G33200	Myo5a
AT4G33200	Myo5b
AT4G33200	Myo5b
AT4G33200	Myo5c
AT2G31900	Myo5a
AT2G31900	Myo5a
AT2G31900	Myo5a
AT2G31900	Myo5b
AT2G31900	Myo5b
AT2G31900	Myo5c
AT1G08730	Myo5a
AT1G08730	Myo5a
AT1G08730	Myo5a
AT1G08730	Myo5b
AT1G08730	Myo5b
AT1G08730	Myo5c
AT1G54560	Myo5a
AT1G54560	Myo5a
AT1G54560	Myo5a
AT1G54560	Myo5b
AT1G54560	Myo5b
AT1G54560	Myo5c
AT5G20490	Myo5a
AT5G20490	Myo5a
AT5G20490	Myo5a
AT5G20490	Myo5b
AT5G20490	Myo5b
AT5G20490	Myo5c
AT1G17580	Myo5a
AT1G17580	Myo5a
AT1G17580	Myo5a
AT1G17580	Myo5b
AT1G17580	Myo5b
AT1G17580	Myo5c
AT5G43900	Myo5a
AT5G43900	Myo5a
AT5G43900	Myo5a
AT5G43900	Myo5b
AT5G43900	Myo5b
AT5G43900	Myo5c
AT1G04160	Myo5a
AT1G04160	Myo5a
AT1G04160	Myo5a
AT1G04160	Myo5b
AT1G04160	Myo5b
AT1G04160	Myo5c
AT4G28710	Myo5a
AT4G28710	Myo5a
AT4G28710	Myo5a
AT4G28710	Myo5b
AT4G28710	Myo5b
AT4G28710	Myo5c
AT2G20290	Myo5a
AT2G20290	Myo5a
AT2G20290	Myo5a
AT2G20290	Myo5b
AT2G20290	Myo5b
AT2G20290	Myo5c
AT1G04600	Myo5a
AT1G04600	Myo5a
AT1G04600	Myo5a
AT1G04600	Myo5b
AT1G04600	Myo5b
AT1G04600	Myo5c
AT2G33240	Myo5a
AT2G33240	Myo5a
AT2G33240	Myo5a
AT2G33240	Myo5b
AT2G33240	Myo5b
AT2G33240	Myo5c
AT3G58160	Myo5a
AT3G58160	Myo5a
AT3G58160	Myo5a
AT3G58160	Myo5b
AT3G58160	Myo5b
AT3G58160	Myo5c
AT3G19960	Myh6
AT3G19960	Myh6
AT3G19960	Myh7
AT3G19960	Myh7
AT3G19960	Myh15
AT3G19960	Myh7b
AT3G19960	Myh3
AT3G19960	Myh3
AT3G19960	Myh3
AT3G19960	Myh13
AT3G19960	Myh13
AT3G19960	Myh13
AT3G19960	Myh4
AT3G19960	Myh4
AT3G19960	Myh1
AT3G19960	Myh1
AT3G19960	Myh1
AT3G19960	Myh8
AT3G19960	Myh2
AT3G19960	Myh2
AT3G19960	Myh14
AT3G19960	Myh14
AT3G19960	Myh14
AT3G19960	Myh14
AT3G19960	Myh10
AT3G19960	Myh10
AT3G19960	Myh10
AT3G19960	Myh9
AT3G19960	Myh11
AT3G19960	Myh11
AT3G19960	Myh11
AT1G50360	Myh6
AT1G50360	Myh6
AT1G50360	Myh7
AT1G50360	Myh7
AT1G50360	Myh15
AT1G50360	Myh7b
AT1G50360	Myh3
AT1G50360	Myh3
AT1G50360	Myh3
AT1G50360	Myh13
AT1G50360	Myh13
AT1G50360	Myh13
AT1G50360	Myh4
AT1G50360	Myh4
AT1G50360	Myh1
AT1G50360	Myh1
AT1G50360	Myh1
AT1G50360	Myh8
AT1G50360	Myh2
AT1G50360	Myh2
AT1G50360	Myh14
AT1G50360	Myh14
AT1G50360	Myh14
AT1G50360	Myh14
AT1G50360	Myh10
AT1G50360	Myh10
AT1G50360	Myh10
AT1G50360	Myh9
AT1G50360	Myh11
AT1G50360	Myh11
AT1G50360	Myh11
AT4G27370	Myh6
AT4G27370	Myh6
AT4G27370	Myh7
AT4G27370	Myh7
AT4G27370	Myh15
AT4G27370	Myh7b
AT4G27370	Myh3
AT4G27370	Myh3
AT4G27370	Myh3
AT4G27370	Myh13
AT4G27370	Myh13
AT4G27370	Myh13
AT4G27370	Myh4
AT4G27370	Myh4
AT4G27370	Myh1
AT4G27370	Myh1
AT4G27370	Myh1
AT4G27370	Myh8
AT4G27370	Myh2
AT4G27370	Myh2
AT4G27370	Myh14
AT4G27370	Myh14
AT4G27370	Myh14
AT4G27370	Myh14
AT4G27370	Myh10
AT4G27370	Myh10
AT4G27370	Myh10
AT4G27370	Myh9
AT4G27370	Myh11
AT4G27370	Myh11
AT4G27370	Myh11
AT5G54280	Myh6
AT5G54280	Myh6
AT5G54280	Myh7
AT5G54280	Myh7
AT5G54280	Myh15
AT5G54280	Myh7b
AT5G54280	Myh3
AT5G54280	Myh3
AT5G54280	Myh3
AT5G54280	Myh13
AT5G54280	Myh13
AT5G54280	Myh13
AT5G54280	Myh4
AT5G54280	Myh4
AT5G54280	Myh1
AT5G54280	Myh1
AT5G54280	Myh1
AT5G54280	Myh8
AT5G54280	Myh2
AT5G54280	Myh2
AT5G54280	Myh14
AT5G54280	Myh14
AT5G54280	Myh14
AT5G54280	Myh14
AT5G54280	Myh10
AT5G54280	Myh10
AT5G54280	Myh10
AT5G54280	Myh9
AT5G54280	Myh11
AT5G54280	Myh11
AT5G54280	Myh11
AT2G13370	Chd2
AT2G13370	Chd1
AT2G13370	Chd1
AT5G44800	Smarcad1
AT4G31900	Smarcad1
AT2G02090	Smarcad1
AT5G66750	Hells
AT3G06400	Smarca1
AT3G06400	Smarca1
AT3G06400	Smarca1
AT3G06400	Smarca1
AT3G06400	Smarca1
AT3G06400	Smarca5
AT5G18620	Smarca1
AT5G18620	Smarca1
AT5G18620	Smarca1
AT5G18620	Smarca1
AT5G18620	Smarca1
AT5G18620	Smarca5
AT2G46020	Smarca4
AT2G46020	Smarca4
AT2G46020	Smarca2
AT2G46020	Smarca2
AT2G46020	Smarca2
AT2G46020	Smarca2
AT2G46020	Smarca4
AT2G46020	Smarca4
AT2G28290	Smarca4
AT2G28290	Smarca4
AT2G28290	Smarca2
AT2G28290	Smarca2
AT2G28290	Smarca2
AT2G28290	Smarca2
AT2G28290	Smarca4
AT2G28290	Smarca4
AT3G06010	Smarca4
AT3G06010	Smarca4
AT3G06010	Smarca2
AT3G06010	Smarca2
AT3G06010	Smarca2
AT3G06010	Smarca2
AT3G06010	Smarca4
AT3G06010	Smarca4
AT5G19310	Smarca4
AT5G19310	Smarca4
AT5G19310	Smarca2
AT5G19310	Smarca2
AT5G19310	Smarca2
AT5G19310	Smarca2
AT5G19310	Smarca4
AT5G19310	Smarca4
AT1G24360	Cbr4
AT1G24360	H2-Ke6
AT1G24360	H2-Ke6
AT3G12800	Pecr
AT3G12800	Decr2
AT2G07640	Pecr
AT2G07640	Decr2
AT1G36580	Hsd17b14
AT1G36580	Hsd17b14
AT1G36580	Hsd17b14
AT4G27710	Gm45753
AT4G27710	Cyp4v3
AT4G27710	Cyp4f40
AT4G27710	Cyp4f40
AT4G27710	Cyp4f15
AT4G27710	Cyp4f15
AT4G27710	Cyp4f14
AT4G27710	Cyp4f14
AT4G27710	Cyp4f14
AT4G27710	Cyp4f14
AT4G27710	Cyp4f16
AT4G27710	Cyp4f16
AT4G27710	Cyp4f37
AT4G27710	Cyp4f13
AT4G27710	Cyp4f13
AT4G27710	Cyp4f13
AT4G27710	Cyp4f17
AT4G27710	Cyp4f39
AT4G27710	Cyp4f18
AT4G27710	Cyp4f18
AT4G27710	Cyp4x1
AT4G27710	Cyp4x1
AT4G27710	Cyp4a29
AT4G27710	Cyp4a12b
AT4G27710	Cyp4a12a
AT4G27710	Cyp4a30b
AT4G27710	Cyp4a14
AT4G27710	Cyp4b1
AT2G46950	Gm45753
AT2G46950	Cyp4v3
AT2G46950	Cyp4f40
AT2G46950	Cyp4f40
AT2G46950	Cyp4f15
AT2G46950	Cyp4f15
AT2G46950	Cyp4f14
AT2G46950	Cyp4f14
AT2G46950	Cyp4f14
AT2G46950	Cyp4f14
AT2G46950	Cyp4f16
AT2G46950	Cyp4f16
AT2G46950	Cyp4f37
AT2G46950	Cyp4f13
AT2G46950	Cyp4f13
AT2G46950	Cyp4f13
AT2G46950	Cyp4f17
AT2G46950	Cyp4f39
AT2G46950	Cyp4f18
AT2G46950	Cyp4f18
AT2G46950	Cyp4x1
AT2G46950	Cyp4x1
AT2G46950	Cyp4a29
AT2G46950	Cyp4a12b
AT2G46950	Cyp4a12a
AT2G46950	Cyp4a30b
AT2G46950	Cyp4a14
AT2G46950	Cyp4b1
AT2G46960	Gm45753
AT2G46960	Cyp4v3
AT2G46960	Cyp4f40
AT2G46960	Cyp4f40
AT2G46960	Cyp4f15
AT2G46960	Cyp4f15
AT2G46960	Cyp4f14
AT2G46960	Cyp4f14
AT2G46960	Cyp4f14
AT2G46960	Cyp4f14
AT2G46960	Cyp4f16
AT2G46960	Cyp4f16
AT2G46960	Cyp4f37
AT2G46960	Cyp4f13
AT2G46960	Cyp4f13
AT2G46960	Cyp4f13
AT2G46960	Cyp4f17
AT2G46960	Cyp4f39
AT2G46960	Cyp4f18
AT2G46960	Cyp4f18
AT2G46960	Cyp4x1
AT2G46960	Cyp4x1
AT2G46960	Cyp4a29
AT2G46960	Cyp4a12b
AT2G46960	Cyp4a12a
AT2G46960	Cyp4a30b
AT2G46960	Cyp4a14
AT2G46960	Cyp4b1
AT5G52400	Gm45753
AT5G52400	Cyp4v3
AT5G52400	Cyp4f40
AT5G52400	Cyp4f40
AT5G52400	Cyp4f15
AT5G52400	Cyp4f15
AT5G52400	Cyp4f14
AT5G52400	Cyp4f14
AT5G52400	Cyp4f14
AT5G52400	Cyp4f14
AT5G52400	Cyp4f16
AT5G52400	Cyp4f16
AT5G52400	Cyp4f37
AT5G52400	Cyp4f13
AT5G52400	Cyp4f13
AT5G52400	Cyp4f13
AT5G52400	Cyp4f17
AT5G52400	Cyp4f39
AT5G52400	Cyp4f18
AT5G52400	Cyp4f18
AT5G52400	Cyp4x1
AT5G52400	Cyp4x1
AT5G52400	Cyp4a29
AT5G52400	Cyp4a12b
AT5G52400	Cyp4a12a
AT5G52400	Cyp4a30b
AT5G52400	Cyp4a14
AT5G52400	Cyp4b1
AT5G38450	Gm45753
AT5G38450	Cyp4v3
AT5G38450	Cyp4f40
AT5G38450	Cyp4f40
AT5G38450	Cyp4f15
AT5G38450	Cyp4f15
AT5G38450	Cyp4f14
AT5G38450	Cyp4f14
AT5G38450	Cyp4f14
AT5G38450	Cyp4f14
AT5G38450	Cyp4f16
AT5G38450	Cyp4f16
AT5G38450	Cyp4f37
AT5G38450	Cyp4f13
AT5G38450	Cyp4f13
AT5G38450	Cyp4f13
AT5G38450	Cyp4f17
AT5G38450	Cyp4f39
AT5G38450	Cyp4f18
AT5G38450	Cyp4f18
AT5G38450	Cyp4x1
AT5G38450	Cyp4x1
AT5G38450	Cyp4a29
AT5G38450	Cyp4a12b
AT5G38450	Cyp4a12a
AT5G38450	Cyp4a30b
AT5G38450	Cyp4a14
AT5G38450	Cyp4b1
AT1G67110	Gm45753
AT1G67110	Cyp4v3
AT1G67110	Cyp4f40
AT1G67110	Cyp4f40
AT1G67110	Cyp4f15
AT1G67110	Cyp4f15
AT1G67110	Cyp4f14
AT1G67110	Cyp4f14
AT1G67110	Cyp4f14
AT1G67110	Cyp4f14
AT1G67110	Cyp4f16
AT1G67110	Cyp4f16
AT1G67110	Cyp4f37
AT1G67110	Cyp4f13
AT1G67110	Cyp4f13
AT1G67110	Cyp4f13
AT1G67110	Cyp4f17
AT1G67110	Cyp4f39
AT1G67110	Cyp4f18
AT1G67110	Cyp4f18
AT1G67110	Cyp4x1
AT1G67110	Cyp4x1
AT1G67110	Cyp4a29
AT1G67110	Cyp4a12b
AT1G67110	Cyp4a12a
AT1G67110	Cyp4a30b
AT1G67110	Cyp4a14
AT1G67110	Cyp4b1
AT1G75130	Gm45753
AT1G75130	Cyp4v3
AT1G75130	Cyp4f40
AT1G75130	Cyp4f40
AT1G75130	Cyp4f15
AT1G75130	Cyp4f15
AT1G75130	Cyp4f14
AT1G75130	Cyp4f14
AT1G75130	Cyp4f14
AT1G75130	Cyp4f14
AT1G75130	Cyp4f16
AT1G75130	Cyp4f16
AT1G75130	Cyp4f37
AT1G75130	Cyp4f13
AT1G75130	Cyp4f13
AT1G75130	Cyp4f13
AT1G75130	Cyp4f17
AT1G75130	Cyp4f39
AT1G75130	Cyp4f18
AT1G75130	Cyp4f18
AT1G75130	Cyp4x1
AT1G75130	Cyp4x1
AT1G75130	Cyp4a29
AT1G75130	Cyp4a12b
AT1G75130	Cyp4a12a
AT1G75130	Cyp4a30b
AT1G75130	Cyp4a14
AT1G75130	Cyp4b1
AT2G26710	Gm45753
AT2G26710	Cyp4v3
AT2G26710	Cyp4f40
AT2G26710	Cyp4f40
AT2G26710	Cyp4f15
AT2G26710	Cyp4f15
AT2G26710	Cyp4f14
AT2G26710	Cyp4f14
AT2G26710	Cyp4f14
AT2G26710	Cyp4f14
AT2G26710	Cyp4f16
AT2G26710	Cyp4f16
