Orthogroup	fly	neurospora
OG0000001	FBpp0074936	EAA35509
OG0000001	FBpp0080997	EAA27679
OG0000001	FBpp0311849, FBpp0087865	EDO65410
OG0000001	FBpp0072475	EAA33062
OG0000001	FBpp0080622	EAA35223
OG0000001	FBpp0301224, FBpp0301225	EAA30806
OG0000001	FBpp0306433, FBpp0081374	EAA31690
OG0000001	FBpp0401447, FBpp0401446, FBpp0401445	EAA35674
OG0000001	FBpp0312062, FBpp0083573, FBpp0083572	EAA29692
OG0000001	FBpp0074227	EAA28280
OG0000001	FBpp0074214, FBpp0074213, FBpp0309483	EAA32541
OG0000002	FBpp0110466, FBpp0110579	EAA30691
OG0000002	FBpp0088134, FBpp0088138, FBpp0088136, FBpp0305826, FBpp0088132	ESA44119
OG0000003	FBpp0088685, FBpp0088686, FBpp0088684	ESA42634
OG0000003	FBpp0298831, FBpp0080458, FBpp0298827, FBpp0298829, FBpp0312323, FBpp0080452, FBpp0291042, FBpp0080456, FBpp0080455, FBpp0298828, FBpp0291041, FBpp0080453, FBpp0080459, FBpp0080464, FBpp0291043, FBpp0080454, FBpp0080462, FBpp0080463, FBpp0298830, FBpp0080457, FBpp0080460, FBpp0291728, FBpp0291729, FBpp0291731, FBpp0072306, FBpp0072305, FBpp0099896, FBpp0297531, FBpp0291730, FBpp0099894	EAA35476
OG0000004	FBpp0304044, FBpp0077358, FBpp0297122	ESA44011
OG0000004	FBpp0079496	EAA29079
OG0000004	FBpp0086956, FBpp0086955, FBpp0086954	EAA27312
OG0000004	FBpp0303193, FBpp0075281, FBpp0075280, FBpp0075279, FBpp0075278, FBpp0305757	EAA27892
OG0000007	FBpp0309803, FBpp0110508, FBpp0110515, FBpp0352248, FBpp0110528, FBpp0071206, FBpp0297622, FBpp0291423, FBpp0073324	ESA43725, EAA28690, EAA36368, EAA33184, EAA33478
OG0000007	FBpp0070533, FBpp0304769	EAA32861
OG0000012	FBpp0070371, FBpp0311678, FBpp0301778, FBpp0070410, FBpp0070372, FBpp0304450, FBpp0076543, FBpp0079095, FBpp0072837, FBpp0070411, FBpp0070412, FBpp0087825, FBpp0087824, FBpp0308387, FBpp0079515, FBpp0073845, FBpp0070094, FBpp0073352, FBpp0312025, FBpp0085074, FBpp0113050, FBpp0078703, FBpp0078701, FBpp0289683, FBpp0087672, FBpp0087674, FBpp0087673	EAA28923
OG0000012	FBpp0073473	EAA35417
OG0000015	FBpp0305296, FBpp0076649, FBpp0078301, FBpp0310551, FBpp0071084	EAA28073, EAA32480, EAA33076
OG0000015	FBpp0079565, FBpp0079566	EAA30775
OG0000015	FBpp0081324	EAA32364
OG0000015	FBpp0303628, FBpp0078809, FBpp0297911, FBpp0078807, FBpp0078808, FBpp0078806	EAA29185
OG0000015	FBpp0112438, FBpp0304168, FBpp0304166, FBpp0304167	EAA32290
OG0000016	FBpp0099736, FBpp0082718, FBpp0303074, FBpp0082715, FBpp0082716, FBpp0306673, FBpp0293609, FBpp0293608, FBpp0290519, FBpp0099738, FBpp0099737, FBpp0082719, FBpp0082717	ESA42258
OG0000016	FBpp0085106, FBpp0085105, FBpp0422974, FBpp0306615, FBpp0085104, FBpp0311373, FBpp0309354, FBpp0073515, FBpp0073513, FBpp0289609, FBpp0311372	ESA44278
OG0000021	FBpp0076820, FBpp0305462, FBpp0082682, FBpp0082681, FBpp0082680, FBpp0310841, FBpp0311050	EAA32898
OG0000022	FBpp0312051, FBpp0083009, FBpp0087997, FBpp0087996, FBpp0307930, FBpp0087994, FBpp0307928, FBpp0087993, FBpp0307927, FBpp0087995, FBpp0307929, FBpp0303811, FBpp0303812, FBpp0070869, FBpp0070868, FBpp0310903, FBpp0083003, FBpp0310904, FBpp0083004, FBpp0083002, FBpp0310039, FBpp0079172	EAA35201, EAA30420, EAA29261, EAA30454
OG0000023	FBpp0086694, FBpp0308990	EAA32517
OG0000023	FBpp0311376, FBpp0073448, FBpp0073445, FBpp0073446, FBpp0073447	EAA27331
