ENSMUSP00000048802 EAA35509
ENSMUSP00000119231 EAA27679
ENSMUSP00000145232 EAA27679
ENSMUSP00000145463 EAA27679
ENSMUSP00000032326 EAA27679
ENSMUSP00000018143 EDO65410
ENSMUSP00000031598 EAA33062
ENSMUSP00000003450 EAA35223
ENSMUSP00000000804 EAA31690
ENSMUSP00000035261 EAA31690
ENSMUSP00000088729 EAA31690
ENSMUSP00000075157 EAA35674
ENSMUSP00000096769 EAA35674
ENSMUSP00000001724 EAA29692
ENSMUSP00000114149 EAA29692
ENSMUSP00000065198 EAA28280
ENSMUSP00000109484 EAA32541
ENSMUSP00000142637 EAA30691
ENSMUSP00000143016 EAA30691
ENSMUSP00000143563 EAA30691
ENSMUSP00000142840 EAA30691
ENSMUSP00000070292 EAA30691
ENSMUSP00000143507 EAA30691
ENSMUSP00000143659 EAA30691
ENSMUSP00000050034 EAA30691
ENSMUSP00000141866 EAA30691
ENSMUSP00000029719 EAA30691
ENSMUSP00000142267 EAA30691
ENSMUSP00000141567 EAA30691
ENSMUSP00000141816 EAA30691
ENSMUSP00000141707 EAA30691
ENSMUSP00000046539 ESA44119
ENSMUSP00000157012 ESA44119
ENSMUSP00000157216 ESA44119
ENSMUSP00000061700 ESA44119
ENSMUSP00000120453 ESA44119
ENSMUSP00000110116 ESA44119
ENSMUSP00000110117 ESA44119
ENSMUSP00000002087 ESA44119
ENSMUSP00000131451 ESA44119
ENSMUSP00000016323 ESA44119
ENSMUSP00000128143 ESA44119
ENSMUSP00000110638 ESA44119
ENSMUSP00000037028 ESA44119
ENSMUSP00000032409 ESA44119
ENSMUSP00000116028 ESA42634
ENSMUSP00000120444 ESA42634
ENSMUSP00000117493 ESA42634
ENSMUSP00000073790 ESA42634
ENSMUSP00000112728 ESA42634
ENSMUSP00000042229 ESA42634
ENSMUSP00000154634 EAA35476
ENSMUSP00000080538 EAA35476
ENSMUSP00000099867 EAA35476
ENSMUSP00000126840 EAA35476
ENSMUSP00000127539 EAA35476
ENSMUSP00000090672 EAA35476
ENSMUSP00000131883 EAA35476
ENSMUSP00000104329 EAA35476
ENSMUSP00000007301 EAA35476
ENSMUSP00000137731 EAA35476
ENSMUSP00000104324 EAA35476
ENSMUSP00000080584 EAA35476
ENSMUSP00000018632 EAA35476
ENSMUSP00000127514 EAA35476
ENSMUSP00000018637 EAA35476
ENSMUSP00000075147 EAA35476
ENSMUSP00000117569 EAA35476
ENSMUSP00000019625 EAA35476
ENSMUSP00000129544 EAA35476
ENSMUSP00000018641 EAA35476
ENSMUSP00000103531 EAA35476
ENSMUSP00000147115 EAA35476
ENSMUSP00000103532 EAA35476
ENSMUSP00000046059 EAA35476
ENSMUSP00000018887 EAA35476
ENSMUSP00000090661 EAA35476
ENSMUSP00000099671 EAA35476
ENSMUSP00000016771 EAA35476
ENSMUSP00000155052 EAA35476
ENSMUSP00000156021 EAA35476
ENSMUSP00000087756 EAA35476
ENSMUSP00000126352 ESA44011
ENSMUSP00000134091 ESA44011
ENSMUSP00000024627 ESA44011
ENSMUSP00000145262 EAA31593
ENSMUSP00000031984 EAA29079
ENSMUSP00000025965 EAA33332
ENSMUSP00000076769 EAA27312
ENSMUSP00000135570 EAA27312
ENSMUSP00000114296 EAA27312
ENSMUSP00000086366 EAA27312
ENSMUSP00000099138 EAA27312
ENSMUSP00000044361 EAA27312
ENSMUSP00000133535 EAA27892
ENSMUSP00000096547 EAA27892
ENSMUSP00000097135 EAA27892
ENSMUSP00000135784 EAA27892
ENSMUSP00000025862 EAA27892
ENSMUSP00000135017 EAA27892
ENSMUSP00000034707 EAA27892
ENSMUSP00000133922 EAA27892
ENSMUSP00000067662 ESA43725
ENSMUSP00000067662 EAA28690
ENSMUSP00000112683 EAA36366
ENSMUSP00000112683 ESA43892
ENSMUSP00000029817 EAA36366
ENSMUSP00000029817 ESA43892
ENSMUSP00000034058 EAA32861
ENSMUSP00000133546 EAA32861
ENSMUSP00000038069 EAA32861
ENSMUSP00000027381 EAA32855
ENSMUSP00000045621 EAA32855
ENSMUSP00000147715 EAA35647
