AT3G09720	CG5589
AT5G60990	CG9253
AT1G16280	Dbp45A
AT4G16630	Rs1
AT4G16630	Rs1
AT1G77030	CG32344
AT2G33730	CG10333
AT1G28180	CG10333
AT2G47330	CG6418
AT1G31970	Rm62
AT1G31970	Rm62
AT2G42520	bel
AT2G42520	bel
AT3G58510	bel
AT3G58510	bel
AT3G58570	bel
AT3G58570	bel
AT5G08620	CG9630
AT5G08610	CG9630
AT5G63630	CG9630
AT3G18600	pit
AT3G18600	pit
AT3G18600	pit
AT5G65900	pit
AT5G65900	pit
AT5G65900	pit
AT5G54910	CG5800
AT2G40700	CG8611
AT2G40700	CG8611
AT2G40700	CG8611
AT4G33200	didum
AT4G33200	didum
AT4G33200	didum
AT2G31900	didum
AT2G31900	didum
AT2G31900	didum
AT1G08730	didum
AT1G08730	didum
AT1G08730	didum
AT1G54560	didum
AT1G54560	didum
AT1G54560	didum
AT5G20490	didum
AT5G20490	didum
AT5G20490	didum
AT1G17580	didum
AT1G17580	didum
AT1G17580	didum
AT5G43900	didum
AT5G43900	didum
AT5G43900	didum
AT1G04160	didum
AT1G04160	didum
AT1G04160	didum
AT4G28710	didum
AT4G28710	didum
AT4G28710	didum
AT2G20290	didum
AT2G20290	didum
AT2G20290	didum
AT1G04600	didum
AT1G04600	didum
AT1G04600	didum
AT2G33240	didum
AT2G33240	didum
AT2G33240	didum
AT3G58160	didum
AT3G58160	didum
AT3G58160	didum
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	Mhc
AT3G19960	zip
AT3G19960	zip
AT3G19960	zip
AT3G19960	zip
AT3G19960	zip
AT3G19960	zip
AT3G19960	zip
AT3G19960	zip
AT3G19960	zip
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	Mhc
AT1G50360	zip
AT1G50360	zip
AT1G50360	zip
AT1G50360	zip
AT1G50360	zip
AT1G50360	zip
AT1G50360	zip
AT1G50360	zip
AT1G50360	zip
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	Mhc
AT4G27370	zip
AT4G27370	zip
AT4G27370	zip
AT4G27370	zip
AT4G27370	zip
AT4G27370	zip
AT4G27370	zip
AT4G27370	zip
AT4G27370	zip
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
AT5G54280	Mhc
