Orthogroup	arabidopsis	fly
OG0000001	AT3G09720.1	FBpp0074936
OG0000001	AT5G60990.1	FBpp0080997
OG0000001	AT1G16280.1	FBpp0087645
OG0000001	AT4G16630.1	FBpp0311849, FBpp0087865
OG0000001	AT1G77030.1	FBpp0072475
OG0000001	AT2G33730.1, AT1G28180.1	FBpp0080622
OG0000001	AT2G47330.1	FBpp0076003
OG0000001	AT1G31970.1	FBpp0301224, FBpp0301225
OG0000001	AT2G42520.1, AT3G58510.1, AT3G58570.1	FBpp0306433, FBpp0081374
OG0000001	AT5G08620.1, AT5G08610.1, AT5G63630.2	FBpp0081355
OG0000001	AT3G18600.1, AT5G65900.1	FBpp0312062, FBpp0083573, FBpp0083572
OG0000001	AT5G54910.1	FBpp0074227
OG0000001	AT2G40700.1	FBpp0074214, FBpp0074213, FBpp0309483
OG0000003	AT4G33200.4, AT2G31900.2, AT1G08730.1, AT1G54560.1, AT5G20490.2, AT1G17580.1, AT5G43900.3, AT1G04160.1, AT4G28710.1, AT2G20290.1, AT1G04600.1, AT2G33240.1, AT3G58160.1	FBpp0088685, FBpp0088686, FBpp0088684
OG0000003	AT3G19960.2, AT1G50360.1, AT4G27370.2, AT5G54280.2	FBpp0298831, FBpp0080458, FBpp0298827, FBpp0298829, FBpp0312323, FBpp0080452, FBpp0291042, FBpp0080456, FBpp0080455, FBpp0298828, FBpp0291041, FBpp0080453, FBpp0080459, FBpp0080464, FBpp0291043, FBpp0080454, FBpp0080462, FBpp0080463, FBpp0298830, FBpp0080457, FBpp0080460, FBpp0291728, FBpp0291729, FBpp0291731, FBpp0072306, FBpp0072305, FBpp0099896, FBpp0297531, FBpp0291730, FBpp0099894
OG0000004	AT2G13370.1	FBpp0304044, FBpp0077358, FBpp0297122
OG0000004	AT2G02090.1	FBpp0079496
OG0000004	AT3G06400.3, AT5G18620.2	FBpp0086956, FBpp0086955, FBpp0086954
OG0000004	AT2G46020.2, AT2G28290.5, AT3G06010.1, AT5G19310.1	FBpp0303193, FBpp0075281, FBpp0075280, FBpp0075279, FBpp0075278, FBpp0305757
OG0000007	AT5G10050.1, AT5G65205.1	FBpp0309803, FBpp0110508, FBpp0110515, FBpp0352248, FBpp0110528, FBpp0071206, FBpp0297622, FBpp0291423, FBpp0073324
OG0000007	AT1G24360.1	FBpp0070533, FBpp0304769
OG0000012	AT4G27710.1, AT2G46950.1, AT2G46960.2, AT5G52400.1, AT5G38450.1, AT1G67110.1, AT1G75130.1, AT2G26710.1, AT3G14630.2, AT3G14690.2, AT3G14660.1, AT3G14650.1, AT3G14680.1, AT3G14640.2, AT3G14610.1, AT3G14620.1, AT1G17060.1, AT1G31800.1, AT3G53130.1, AT4G15110.1	FBpp0070371, FBpp0311678, FBpp0301778, FBpp0070410, FBpp0070372, FBpp0304450, FBpp0076543, FBpp0079095, FBpp0072837, FBpp0070411, FBpp0070412, FBpp0087825, FBpp0087824, FBpp0308387, FBpp0079515, FBpp0073845, FBpp0070094, FBpp0073352, FBpp0312025, FBpp0085074, FBpp0113050, FBpp0078703, FBpp0078701, FBpp0289683, FBpp0087672, FBpp0087674, FBpp0087673
OG0000012	AT2G45510.1	FBpp0073473
OG0000015	AT5G26742.2, AT3G22310.1, AT3G22330.1, AT5G14610.1, AT3G06480.1	FBpp0305296, FBpp0076649, FBpp0078301, FBpp0310551, FBpp0071084
OG0000015	AT2G45810.1, AT3G61240.1, AT4G00660.1	FBpp0079565, FBpp0079566
OG0000015	AT3G19760.1, AT1G51380.1	FBpp0081324
OG0000015	AT3G13920.5, AT1G54270.1, AT1G72730.1	FBpp0303628, FBpp0078809, FBpp0297911, FBpp0078807, FBpp0078808, FBpp0078806
OG0000015	AT3G53110.1	FBpp0112438, FBpp0304168, FBpp0304166, FBpp0304167
OG0000016	AT4G14340.1, AT3G23340.1, AT1G04440.1, AT5G43320.1, AT4G28540.1, AT5G44100.1, AT1G03930.1, AT4G28860.1, AT4G28880.1, AT2G19470.1, AT4G08800.1, AT1G72710.1, AT4G26100.1, AT5G57015.1	FBpp0099736, FBpp0082718, FBpp0303074, FBpp0082715, FBpp0082716, FBpp0306673, FBpp0293609, FBpp0293608, FBpp0290519, FBpp0099738, FBpp0099737, FBpp0082719, FBpp0082717, FBpp0085106, FBpp0085105, FBpp0422974, FBpp0306615, FBpp0085104, FBpp0311373, FBpp0309354, FBpp0073515, FBpp0073513, FBpp0289609, FBpp0311372
OG0000021	AT3G08720.1	FBpp0076820, FBpp0305462
OG0000021	AT2G29700.1, AT5G05710.1	FBpp0082682, FBpp0082681, FBpp0082680, FBpp0310841, FBpp0311050
OG0000022	AT5G53090.1, AT4G27760.1, AT5G53100.1	FBpp0312051, FBpp0083009, FBpp0087997, FBpp0087996, FBpp0307930, FBpp0087994, FBpp0307928, FBpp0087993, FBpp0307927, FBpp0087995, FBpp0307929, FBpp0303811, FBpp0303812, FBpp0070869, FBpp0070868, FBpp0310903, FBpp0083003, FBpp0310904, FBpp0083004, FBpp0083002
OG0000022	AT1G03630.1	FBpp0310039, FBpp0079172
OG0000023	AT5G42020.3, AT5G28540.1, AT1G09080.1	FBpp0311376, FBpp0073448, FBpp0073445, FBpp0073446, FBpp0073447
OG0000023	AT5G02490.1, AT5G02500.1, AT3G09440.1, AT3G12580.1, AT1G56410.1, AT1G16030.1	FBpp0081956, FBpp0081986, FBpp0082147, FBpp0082105, FBpp0082106, FBpp0082107, FBpp0083974, FBpp0082175, FBpp0075504, FBpp0075503, FBpp0075505, FBpp0307982, FBpp0082518, FBpp0082519, FBpp0082517, FBpp0082516, FBpp0082515, FBpp0082514
OG0000024	AT3G13220.1, AT5G06530.1, AT4G27420.1, AT3G25620.2, AT1G31770.1, AT1G71960.1	FBpp0070468, FBpp0308632, FBpp0088917, FBpp0308631
OG0000024	AT3G21080.1	FBpp0084089
