CG5589	YGL171W
CG9253	YHR065C
Dbp45A	YHR169W
Rs1	YLL008W
Rs1	YLL008W
CG32344	YDL031W
CG10333	YDR243C
Rm62	YGL078C
Rm62	YGL078C
bel	YOR204W
bel	YPL119C
bel	YOR204W
bel	YPL119C
pit	YMR290C
pit	YMR290C
pit	YMR290C
CG5800	YJL033W
CG8611	YKR024C
CG8611	YKR024C
CG8611	YKR024C
CG17528	YGL158W
CG17528	YFR014C
CG17528	YOL016C
CG17528	YGL158W
CG17528	YFR014C
CG17528	YOL016C
CaMKI	YGL158W
CaMKI	YFR014C
CaMKI	YOL016C
CaMKI	YGL158W
CaMKI	YFR014C
CaMKI	YOL016C
CaMKI	YGL158W
CaMKI	YFR014C
CaMKI	YOL016C
CaMKI	YGL158W
CaMKI	YFR014C
CaMKI	YOL016C
CaMKI	YGL158W
CaMKI	YFR014C
CaMKI	YOL016C
CaMKII	YPL153C
CaMKII	YPL153C
CaMKII	YPL153C
CaMKII	YPL153C
CaMKII	YPL153C
CaMKII	YPL153C
CaMKII	YPL153C
CaMKII	YPL153C
CaMKII	YPL153C
CaMKII	YPL153C
CaMKII	YPL153C
CaMKII	YPL153C
didum	YOR326W
didum	YAL029C
didum	YOR326W
didum	YAL029C
didum	YOR326W
didum	YAL029C
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
Mhc	YHR023W
zip	YHR023W
zip	YHR023W
zip	YHR023W
zip	YHR023W
zip	YHR023W
zip	YHR023W
zip	YHR023W
zip	YHR023W
zip	YHR023W
Chd1	YER164W
Chd1	YER164W
Chd1	YER164W
Etl1	YAL019W
Iswi	YOR304W
Iswi	YBR245C
Iswi	YOR304W
Iswi	YBR245C
Iswi	YOR304W
Iswi	YBR245C
brm	YIL126W
brm	YOR290C
brm	YIL126W
brm	YOR290C
brm	YIL126W
brm	YOR290C
brm	YIL126W
brm	YOR290C
brm	YIL126W
brm	YOR290C
brm	YIL126W
brm	YOR290C
CG40486	YIL124W
CG40486	YMR226C
CG40486	YIL124W
CG40486	YMR226C
CG40485	YIL124W
CG40485	YMR226C
CG40485	YIL124W
CG40485	YMR226C
CG40485	YIL124W
CG40485	YMR226C
CG10962	YIL124W
CG10962	YMR226C
CG8757	YIL124W
CG8757	YMR226C
CG9150	YIL124W
CG9150	YMR226C
antdh	YIL124W
antdh	YMR226C
Cyp311a1	YDR402C
CG10077	YBR237W
CG10077	YBR237W
Rm62	YBR237W
mahe	YBR237W
mahe	YBR237W
me31B	YDL160C
me31B	YDL160C
CG7483	YDR021W
eIF4A	YKR059W
eIF4A	YJL138C
eIF4A	YKR059W
eIF4A	YJL138C
eIF4A	YKR059W
eIF4A	YJL138C
eIF4A	YKR059W
eIF4A	YJL138C
eIF4A	YKR059W
eIF4A	YJL138C
eIF4A	YKR059W
eIF4A	YJL138C
Dbp80	YOR046C
Dbp80	YOR046C
Dbp80	YOR046C
Dbp80	YOR046C
gish	YNL154C
gish	YHR135C
gish	YNL154C
