NCU00919	YGL171W
NCU04504	YHR065C
NCU11175	YLL008W
NCU07712	YDL031W
NCU02803	YDR243C
NCU05782	YGL078C
NCU01369	YOR204W
NCU01369	YPL119C
NCU09349	YMR290C
NCU04439	YJL033W
NCU06520	YKR024C
NCU02283	YGL158W
NCU02283	YFR014C
NCU02283	YOL016C
NCU09123	YGL158W
NCU09123	YFR014C
NCU09123	YOL016C
NCU06486	YOR351C
NCU01440	YOR326W
NCU01440	YAL029C
NCU00551	YHR023W
NCU03060	YER164W
NCU09106	YAL019W
NCU06306	YFR038W
NCU03875	YOR304W
NCU03875	YBR245C
NCU06488	YIL126W
NCU06488	YOR290C
NCU02922	YIL124W
NCU07904	YIL124W
NCU08044	YMR226C
NCU07958	YNL202W
NCU02018	YIR035C
NCU02018	YIR036C
NCU02031	YDR402C
NCU06418	YBR237W
NCU01104	YBR237W
NCU07670	YBR237W
NCU06149	YDL160C
NCU01234	YDR021W
NCU07420	YKR059W
NCU07420	YJL138C
NCU01160	YOR046C
NCU04005	YNL154C
NCU04005	YHR135C
NCU00685	YPL204W
NCU07280	YMR104C
NCU07280	YKL126W
NCU09735	YOR246C
NCU08164	YOR246C
NCU09278	YOR246C
NCU09579	YOR246C
NCU08693	YEL030W
NCU08693	YJR045C
NCU02075	YDL229W
NCU02075	YNL209W
NCU03982	YJL034W
NCU09602	YLL024C
NCU09602	YAL005C
NCU09602	YER103W
NCU09602	YBL075C
NCU02544	YCR011C
NCU00290	YOL075C
NCU00352	YAL026C
NCU07443	YDR093W
NCU07443	YER166W
NCU01635	YBR010W
NCU01635	YNL031C
NCU08501	YDR457W
NCU03947	YER125W
NCU02435	YDR224C
NCU02435	YBL002W
NCU03929	YMR246W
NCU03929	YIL009W
NCU03929	YOR317W
NCU04380	YMR246W
NCU04380	YIL009W
NCU04380	YOR317W
NCU01654	YER015W
NCU08340	YDL137W
NCU08340	YDL192W
NCU08989	YBR164C
NCU00218	YMR138W
NCU04247	YHR129C
NCU04173	YFL039C
NCU04161	YGR281W
NCU09012	YLL015W
NCU09012	YDR135C
NCU06382	YLL048C
NCU06382	YHL035C
NCU07276	YLL048C
NCU07276	YHL035C
NCU08358	YLL048C
NCU08358	YHL035C
NCU09820	YLL048C
NCU09820	YHL035C
NCU03591	YLL048C
NCU03591	YHL035C
NCU08052	YLL053C
NCU08052	YPR192W
NCU08052	YLL052C
NCU07880	YPR161C
NCU06685	YPR161C
NCU07580	YPL031C
NCU09778	YBR160W
NCU02558	YBR182C
NCU09254	YKL078W
NCU02728	YKR086W
NCU01612	YGL120C
NCU06318	YER013W
NCU08928	YNR011C
NCU01759	YDL124W
NCU01703	YDL124W
NCU04923	YBR149W
NCU01906	YOR120W
NCU01906	YDR368W
NCU04510	YOR120W
NCU04510	YDR368W
NCU08384	YHR104W
NCU05206	YER020W
NCU06493	YHR005C
NCU02167	YGR152C
NCU08823	YOR101W
NCU07024	YLR113W
NCU02393	YBL016W
NCU02393	YGR040W
NCU09842	YHR030C
NCU01728	YIL107C
NCU09347	YJL155C
NCU01178	YLR345W
NCU06251	YBR233W
NCU09237	YBR233W
NCU01634	YNL030W
NCU01634	YBR009C
NCU00212	YNL030W
NCU00212	YBR009C
NCU04338	YNL030W
NCU04338	YBR009C
NCU02437	YDR225W
NCU02437	YBL003C
NCU02319	YKL157W
NCU02319	YHR047C
NCU09228	YKL157W
NCU09228	YHR047C
NCU06067	YAL041W
NCU09197	YKR099W
NCU00108	YPL209C
NCU08423	YLR399C
NCU08423	YDL070W
NCU01166	YIL033C
NCU02115	YDR373W
NCU02464	YJR076C
NCU01998	YJR076C
NCU03795	YHR107C
NCU08297	YLR314C
NCU09456	YHR176W
NCU07821	YHR176W
NCU03755	YHR176W
NCU09071	YNR047W
NCU09071	YGR092W
NCU09071	YPR111W
NCU03197	YBR028C
