Orthogroup	arabidopsis	mouse
OG0000001	AT3G09720.1	ENSMUSP00000048802
OG0000001	AT5G60990.1	ENSMUSP00000119231, ENSMUSP00000145232, ENSMUSP00000145463, ENSMUSP00000032326
OG0000001	AT1G16280.1	ENSMUSP00000008004
OG0000001	AT4G16630.1	ENSMUSP00000018143
OG0000001	AT1G77030.1	ENSMUSP00000031598
OG0000001	AT2G33730.1, AT1G28180.1	ENSMUSP00000003450
OG0000001	AT2G47330.1	ENSMUSP00000021046
OG0000001	AT2G42520.1, AT3G58510.1, AT3G58570.1	ENSMUSP00000000804, ENSMUSP00000035261, ENSMUSP00000088729
OG0000001	AT3G18600.1, AT5G65900.1	ENSMUSP00000001724, ENSMUSP00000114149
OG0000001	AT5G54910.1	ENSMUSP00000065198
OG0000001	AT2G40700.1	ENSMUSP00000109484
OG0000003	AT5G20450.10, AT5G20470.1	ENSMUSP00000055362, ENSMUSP00000107862
OG0000003	AT4G33200.4, AT2G31900.2, AT1G08730.1, AT1G54560.1, AT5G20490.2, AT1G17580.1, AT5G43900.3, AT1G04160.1, AT4G28710.1, AT2G20290.1, AT1G04600.1, AT2G33240.1, AT3G58160.1	ENSMUSP00000116028, ENSMUSP00000120444, ENSMUSP00000117493, ENSMUSP00000073790, ENSMUSP00000112728, ENSMUSP00000042229
OG0000003	AT3G19960.2, AT1G50360.1, AT4G27370.2, AT5G54280.2	ENSMUSP00000154634, ENSMUSP00000080538, ENSMUSP00000099867, ENSMUSP00000126840, ENSMUSP00000127539, ENSMUSP00000090672, ENSMUSP00000131883, ENSMUSP00000104329, ENSMUSP00000007301, ENSMUSP00000137731, ENSMUSP00000104324, ENSMUSP00000080584, ENSMUSP00000018632, ENSMUSP00000127514, ENSMUSP00000018637, ENSMUSP00000075147, ENSMUSP00000117569, ENSMUSP00000019625, ENSMUSP00000129544, ENSMUSP00000018641, ENSMUSP00000103531, ENSMUSP00000147115, ENSMUSP00000103532, ENSMUSP00000046059, ENSMUSP00000018887, ENSMUSP00000090661, ENSMUSP00000099671, ENSMUSP00000016771, ENSMUSP00000155052, ENSMUSP00000156021, ENSMUSP00000087756
OG0000004	AT2G13370.1	ENSMUSP00000126352, ENSMUSP00000134091, ENSMUSP00000024627
OG0000004	AT5G44800.1, AT4G31900.1	ENSMUSP00000145262
OG0000004	AT2G02090.1	ENSMUSP00000031984
OG0000004	AT5G66750.1	ENSMUSP00000025965
OG0000004	AT3G06400.3, AT5G18620.2	ENSMUSP00000076769, ENSMUSP00000135570, ENSMUSP00000114296, ENSMUSP00000086366, ENSMUSP00000099138, ENSMUSP00000044361
OG0000004	AT2G46020.2, AT2G28290.5, AT3G06010.1, AT5G19310.1	ENSMUSP00000133535, ENSMUSP00000096547, ENSMUSP00000097135, ENSMUSP00000135784, ENSMUSP00000025862, ENSMUSP00000135017, ENSMUSP00000034707, ENSMUSP00000133922
OG0000007	AT1G24360.1	ENSMUSP00000034058, ENSMUSP00000133546, ENSMUSP00000038069
OG0000007	AT3G12800.1, AT2G07640.1	ENSMUSP00000027381, ENSMUSP00000045621
OG0000007	AT1G36580.1	ENSMUSP00000147715, ENSMUSP00000147851, ENSMUSP00000103381
