AT3G09720	YGL171W
AT5G60990	YHR065C
AT1G16280	YHR169W
AT4G16630	YLL008W
AT1G77030	YDL031W
AT2G33730	YDR243C
AT1G28180	YDR243C
AT1G31970	YGL078C
AT2G42520	YOR204W
AT2G42520	YPL119C
AT3G58510	YOR204W
AT3G58510	YPL119C
AT3G58570	YOR204W
AT3G58570	YPL119C
AT3G18600	YMR290C
AT5G65900	YMR290C
AT5G54910	YJL033W
AT2G40700	YKR024C
AT4G33200	YOR326W
AT4G33200	YAL029C
AT2G31900	YOR326W
AT2G31900	YAL029C
AT1G08730	YOR326W
AT1G08730	YAL029C
AT1G54560	YOR326W
AT1G54560	YAL029C
AT5G20490	YOR326W
AT5G20490	YAL029C
AT1G17580	YOR326W
AT1G17580	YAL029C
AT5G43900	YOR326W
AT5G43900	YAL029C
AT1G04160	YOR326W
AT1G04160	YAL029C
AT4G28710	YOR326W
AT4G28710	YAL029C
AT2G20290	YOR326W
AT2G20290	YAL029C
AT1G04600	YOR326W
AT1G04600	YAL029C
AT2G33240	YOR326W
AT2G33240	YAL029C
AT3G58160	YOR326W
AT3G58160	YAL029C
AT3G19960	YHR023W
AT1G50360	YHR023W
AT4G27370	YHR023W
AT5G54280	YHR023W
AT2G13370	YER164W
AT2G02090	YAL019W
AT5G66750	YFR038W
AT3G06400	YOR304W
AT3G06400	YBR245C
AT5G18620	YOR304W
AT5G18620	YBR245C
AT2G46020	YIL126W
AT2G46020	YOR290C
AT2G28290	YIL126W
AT2G28290	YOR290C
AT3G06010	YIL126W
AT3G06010	YOR290C
AT5G19310	YIL126W
AT5G19310	YOR290C
AT5G10050	YIL124W
AT5G65205	YIL124W
AT3G12800	YNL202W
AT2G07640	YNL202W
AT1G36580	YIR035C
AT1G36580	YIR036C
AT2G45510	YDR402C
AT5G26742	YBR237W
AT3G22310	YBR237W
AT3G22330	YBR237W
AT5G14610	YBR237W
AT3G06480	YBR237W
AT2G45810	YDL160C
AT3G61240	YDL160C
AT4G00660	YDL160C
AT3G19760	YDR021W
AT1G51380	YDR021W
AT3G13920	YKR059W
AT3G13920	YJL138C
AT1G54270	YKR059W
AT1G54270	YJL138C
AT1G72730	YKR059W
AT1G72730	YJL138C
AT3G53110	YOR046C
AT4G14340	YNL154C
AT4G14340	YHR135C
AT4G14340	YPL204W
AT3G23340	YNL154C
AT3G23340	YHR135C
AT3G23340	YPL204W
AT1G04440	YNL154C
AT1G04440	YHR135C
AT1G04440	YPL204W
AT5G43320	YNL154C
AT5G43320	YHR135C
AT5G43320	YPL204W
AT4G28540	YNL154C
AT4G28540	YHR135C
AT4G28540	YPL204W
AT5G44100	YNL154C
AT5G44100	YHR135C
AT5G44100	YPL204W
AT1G03930	YNL154C
AT1G03930	YHR135C
AT1G03930	YPL204W
AT4G28860	YNL154C
AT4G28860	YHR135C
AT4G28860	YPL204W
AT4G28880	YNL154C
AT4G28880	YHR135C
AT4G28880	YPL204W
AT2G19470	YNL154C
AT2G19470	YHR135C
AT2G19470	YPL204W
AT4G08800	YNL154C
AT4G08800	YHR135C
AT4G08800	YPL204W
AT1G72710	YNL154C
AT1G72710	YHR135C
AT1G72710	YPL204W
