EAA35509 YGL171W_mRNA
EAA27679 YHR065C_mRNA
EDO65410 YLL008W_mRNA
EAA33062 YDL031W_mRNA
EAA35223 YDR243C_mRNA
EAA30806 YGL078C_mRNA
EAA31690 YOR204W_mRNA
EAA31690 YPL119C_mRNA
EAA29692 YMR290C_mRNA
EAA28280 YJL033W_mRNA
EAA32541 YKR024C_mRNA
EAA30691 YGL158W_mRNA
EAA30691 YFR014C_mRNA
EAA30691 YOL016C_mRNA
ESA44119 YGL158W_mRNA
ESA44119 YFR014C_mRNA
ESA44119 YOL016C_mRNA
EAA27890 YOR351C_mRNA
ESA42634 YOR326W_mRNA
ESA42634 YAL029C_mRNA
EAA35476 YHR023W_mRNA
ESA44011 YER164W_mRNA
EAA29079 YAL019W_mRNA
EAA33332 YFR038W_mRNA
EAA27312 YOR304W_mRNA
EAA27312 YBR245C_mRNA
EAA27892 YIL126W_mRNA
EAA27892 YOR290C_mRNA
EAA36368 YIL124W_mRNA
EAA33184 YIL124W_mRNA
EAA33478 YMR226C_mRNA
EAA32855 YNL202W_mRNA
EAA35647 YIR035C_mRNA
EAA35647 YIR036C_mRNA
EAA35417 YDR402C_mRNA
EAA28073 YBR237W_mRNA
EAA32480 YBR237W_mRNA
EAA33076 YBR237W_mRNA
EAA30775 YDL160C_mRNA
EAA32364 YDR021W_mRNA
EAA29185 YKR059W_mRNA
EAA29185 YJL138C_mRNA
EAA32290 YOR046C_mRNA
ESA42258 YNL154C_mRNA
ESA42258 YHR135C_mRNA
ESA44278 YPL204W_mRNA
EAA32898 YMR104C_mRNA
EAA32898 YKL126W_mRNA
EAA35201 YOR246C_mRNA
EAA30420 YOR246C_mRNA
EAA29261 YOR246C_mRNA
EAA30454 YOR246C_mRNA
EAA32517 YEL030W_mRNA
EAA32517 YJR045C_mRNA
EAA35366 YDL229W_mRNA
EAA35366 YNL209W_mRNA
EAA27331 YJL034W_mRNA
EAA34130 YLL024C_mRNA
EAA34130 YAL005C_mRNA
EAA34130 YER103W_mRNA
EAA34130 YBL075C_mRNA
EAA36439 YCR011C_mRNA
EAA28525 YOL075C_mRNA
EAA28587 YAL026C_mRNA
EAA35394 YDR093W_mRNA
EAA35394 YER166W_mRNA
EAA26767 YBR010W_mRNA
EAA26767 YNL031C_mRNA
EAA34194 YDR457W_mRNA
EAA28350 YER125W_mRNA
EAA30204 YDR224C_mRNA
EAA30204 YBL002W_mRNA
EAA28332 YMR246W_mRNA
EAA28332 YIL009W_mRNA
EAA28332 YOR317W_mRNA
EAA28221 YMR246W_mRNA
EAA28221 YIL009W_mRNA
EAA28221 YOR317W_mRNA
EAA27040 YER015W_mRNA
ESA44151 YDL137W_mRNA
ESA44151 YDL192W_mRNA
EAA29781 YBR164C_mRNA
EAA27367 YMR138W_mRNA
EAA32002 YHR129C_mRNA
ESA42660 YFL039C_mRNA
EAA32081 YGR281W_mRNA
EAA28910 YLL015W_mRNA
EAA28910 YDR135C_mRNA
EAA32984 YLL048C_mRNA
EAA32984 YHL035C_mRNA
EAA32894 YLL048C_mRNA
EAA32894 YHL035C_mRNA
EAA36025 YLL048C_mRNA
EAA36025 YHL035C_mRNA
EAA34524 YLL048C_mRNA
EAA34524 YHL035C_mRNA
EAA31399 YLL048C_mRNA
EAA31399 YHL035C_mRNA
EAA35947 YLL053C_mRNA
EAA35947 YPR192W_mRNA
EAA35947 YLL052C_mRNA
EAA33577 YPR161C_mRNA
ESA42590 YPR161C_mRNA
EAA29038 YPL031C_mRNA
EAA30881 YBR160W_mRNA
EAA36453 YBR182C_mRNA
EAA35453 YKL078W_mRNA
EAA35877 YKR086W_mRNA
EAA27287 YGL120C_mRNA
EAA33344 YER013W_mRNA
EAA31559 YNR011C_mRNA
EAA27946 YDL124W_mRNA
EAA27673 YDL124W_mRNA
EAA30135 YBR149W_mRNA
EAA36301 YOR120W_mRNA
EAA36301 YDR368W_mRNA
EAA27685 YOR120W_mRNA
EAA27685 YDR368W_mRNA
EAA34695 YHR104W_mRNA
EAA32969 YER020W_mRNA
EAA27897 YHR005C_mRNA
EAA35290 YGR152C_mRNA
EAA32627 YOR101W_mRNA
EAA32927 YLR113W_mRNA
ESA41968 YBL016W_mRNA
ESA41968 YGR040W_mRNA
EAA28804 YHR030C_mRNA
ESA43632 YIL107C_mRNA
EAA29690 YJL155C_mRNA
ESA42513 YLR345W_mRNA
ESA43211 YBR233W_mRNA
EAA34578 YBR233W_mRNA
EAA26766 YNL030W_mRNA
EAA26766 YBR009C_mRNA
EAA27361 YNL030W_mRNA
EAA27361 YBR009C_mRNA
EAA27083 YNL030W_mRNA
EAA27083 YBR009C_mRNA
EAA30206 YDR225W_mRNA
EAA30206 YBL003C_mRNA
EAA30246 YKL157W_mRNA
EAA30246 YHR047C_mRNA
EAA29936 YKL157W_mRNA
EAA29936 YHR047C_mRNA
EAA30594 YAL041W_mRNA
EAA29905 YKR099W_mRNA
EAA27996 YPL209C_mRNA
ESA43715 YLR399C_mRNA
ESA43715 YDL070W_mRNA
ESA42511 YIL033C_mRNA
EAA34616 YDR373W_mRNA
EAA35822 YJR076C_mRNA
EAA35627 YJR076C_mRNA
EAA31948 YHR107C_mRNA
ESA42882 YLR314C_mRNA
EAA28865 YHR176W_mRNA
EAA33706 YHR176W_mRNA
EAA31866 YHR176W_mRNA
EAA35652 YNR047W_mRNA
EAA35652 YGR092W_mRNA
EAA35652 YPR111W_mRNA
ESA44058 YBR028C_mRNA
EAA31968 YHL036W_mRNA
EAA27251 YLL034C_mRNA
ESA43229 YDL126C_mRNA
EAA36040 YNL329C_mRNA
EAA34641 YKL197C_mRNA
EAA30913 YBR062C_mRNA
EAA35740 YML056C_mRNA
EAA35740 YAR073W_mRNA
EAA35740 YHR216W_mRNA
EAA35740 YLR432W_mRNA
EAA26722 YOL061W_mRNA
ESA42531 YOL061W_mRNA
EAA32555 YKL181W_mRNA
ESA43033 YER099C_mRNA
ESA43033 YBL068W_mRNA
ESA43033 YHL011C_mRNA
EAA36481 YGR241C_mRNA
EAA36481 YHR161C_mRNA
EAA31098 YDR432W_mRNA
EAA27445 YDL052C_mRNA
EAA35226 YDR099W_mRNA
EAA35226 YER177W_mRNA
ESA44100 YDR099W_mRNA
ESA44100 YER177W_mRNA
EAA27416 YGL006W_mRNA
EAA31135 YGL006W_mRNA
EAA28028 YMR169C_mRNA
EAA28028 YMR170C_mRNA
EAA27626 YOR374W_mRNA
EAA27626 YER073W_mRNA
EAA27626 YPL061W_mRNA
EAA33926 YGL073W_mRNA
EAA30305 YJR147W_mRNA
EAA33913 YOR140W_mRNA
EAA31211 YGL019W_mRNA
EDO65315 YOR039W_mRNA
ESA42137 YDR172W_mRNA
EAA35632 YPR080W_mRNA
EAA35632 YBR118W_mRNA
EAA32372 YDL155W_mRNA
EAA32372 YLR210W_mRNA
EAA34615 YPR120C_mRNA
EAA34615 YGR109C_mRNA
EAA34615 YGR108W_mRNA
EAA34615 YPR119W_mRNA
EAA31896 YOR014W_mRNA
EAA26918 YER133W_mRNA
ESA43764 YPL179W_mRNA
ESA43764 YDR436W_mRNA
ESA43764 YML016C_mRNA
EAA28009 YJR040W_mRNA
EAA28099 YJR040W_mRNA
ESA42823 YJR040W_mRNA
EAA27940 YLR299W_mRNA
EAA27468 YOR212W_mRNA
EAA34489 YPL015C_mRNA
EAA31136 YDL042C_mRNA
EAA31136 YOL068C_mRNA
EAA29880 YOR025W_mRNA
EAA30694 YPL190C_mRNA
ESA42617 YGL115W_mRNA
ESA43171 YLR229C_mRNA
EAA27119 YDR006C_mRNA
ESA42630 YHR128W_mRNA
EAA32648 YNR012W_mRNA
ESA44269 YML078W_mRNA
ESA44269 YDR155C_mRNA
EAA26627 YLR216C_mRNA
ESA42515 YHR057C_mRNA
ESA42515 YDR304C_mRNA
EAA36176 YDR371W_mRNA
EAA36073 YDR371W_mRNA
EAA28688 YDR371W_mRNA
EAA26709 YDR371W_mRNA
EDO64883 YIL015W_mRNA
EAA30681 YPL154C_mRNA
ESA43520 YPL091W_mRNA
EAA27505 YHR132C_mRNA
ESA43035 YKR054C_mRNA
EAA29678 YDR488C_mRNA
EAA31461 YDL168W_mRNA
EAA33043 YBL034C_mRNA
EAA26611 YNL167C_mRNA
ESA42557 YNL167C_mRNA
EAA26626 YKL092C_mRNA
EAA29675 YER007W_mRNA
EAA35644 YDR126W_mRNA
EAA35644 YLR246W_mRNA
EAA28591 YAL022C_mRNA
EAA29359 YKL209C_mRNA
ESA41880 YFR040W_mRNA
ESA41880 YGL229C_mRNA
ESA41880 YKR028W_mRNA
ESA41880 YJL098W_mRNA
EAA32368 YMR176W_mRNA
EAA28255 YOR117W_mRNA
EAA29624 YOR259C_mRNA
EAA32354 YDL007W_mRNA
EAA30668 YDR394W_mRNA
ESA44317 YAR042W_mRNA
ESA44317 YDL019C_mRNA
EAA30697 YDR059C_mRNA
EAA30697 YBR082C_mRNA
