Orthogroup	fly	mouse
OG0000001	FBpp0074936	ENSMUSP00000048802
OG0000001	FBpp0080997	ENSMUSP00000119231, ENSMUSP00000145232, ENSMUSP00000145463, ENSMUSP00000032326
OG0000001	FBpp0087645	ENSMUSP00000008004
OG0000001	FBpp0311849, FBpp0087865	ENSMUSP00000018143
OG0000001	FBpp0072475	ENSMUSP00000031598
OG0000001	FBpp0080622	ENSMUSP00000003450
OG0000001	FBpp0076003	ENSMUSP00000021046
OG0000001	FBpp0306433, FBpp0081374	ENSMUSP00000000804, ENSMUSP00000035261, ENSMUSP00000088729
OG0000001	FBpp0401447, FBpp0401446, FBpp0401445	ENSMUSP00000075157, ENSMUSP00000096769
OG0000001	FBpp0312062, FBpp0083573, FBpp0083572	ENSMUSP00000001724, ENSMUSP00000114149
OG0000001	FBpp0074227	ENSMUSP00000065198
OG0000001	FBpp0074214, FBpp0074213, FBpp0309483	ENSMUSP00000109484
OG0000002	FBpp0110466, FBpp0110579	ENSMUSP00000142637, ENSMUSP00000143016, ENSMUSP00000143563, ENSMUSP00000142840, ENSMUSP00000070292, ENSMUSP00000143507, ENSMUSP00000143659, ENSMUSP00000050034, ENSMUSP00000141866, ENSMUSP00000029719, ENSMUSP00000142267, ENSMUSP00000141567, ENSMUSP00000141816, ENSMUSP00000141707
OG0000002	FBpp0088134, FBpp0088138, FBpp0088136, FBpp0305826, FBpp0088132	ENSMUSP00000046539, ENSMUSP00000157012, ENSMUSP00000157216, ENSMUSP00000061700, ENSMUSP00000120453, ENSMUSP00000110116, ENSMUSP00000110117, ENSMUSP00000002087, ENSMUSP00000131451, ENSMUSP00000016323, ENSMUSP00000128143, ENSMUSP00000110638, ENSMUSP00000037028, ENSMUSP00000032409
OG0000002	FBpp0099496, FBpp0289607, FBpp0289608, FBpp0305830, FBpp0305831, FBpp0099498, FBpp0099497, FBpp0088283, FBpp0289606, FBpp0088282, FBpp0088281, FBpp0305829	ENSMUSP00000133019, ENSMUSP00000102008, ENSMUSP00000025519, ENSMUSP00000099952, ENSMUSP00000102009, ENSMUSP00000143504, ENSMUSP00000102007, ENSMUSP00000143677, ENSMUSP00000129999, ENSMUSP00000102010, ENSMUSP00000098398, ENSMUSP00000079298, ENSMUSP00000071720, ENSMUSP00000154158, ENSMUSP00000019133, ENSMUSP00000105440, ENSMUSP00000105438, ENSMUSP00000099119, ENSMUSP00000091046, ENSMUSP00000087925, ENSMUSP00000002817, ENSMUSP00000065101, ENSMUSP00000105437, ENSMUSP00000099120, ENSMUSP00000063359
OG0000003	FBpp0079098, FBpp0079100	ENSMUSP00000118280
OG0000003	FBpp0088685, FBpp0088686, FBpp0088684	ENSMUSP00000116028, ENSMUSP00000120444, ENSMUSP00000117493, ENSMUSP00000073790, ENSMUSP00000112728, ENSMUSP00000042229
OG0000003	FBpp0298831, FBpp0080458, FBpp0298827, FBpp0298829, FBpp0312323, FBpp0080452, FBpp0291042, FBpp0080456, FBpp0080455, FBpp0298828, FBpp0291041, FBpp0080453, FBpp0080459, FBpp0080464, FBpp0291043, FBpp0080454, FBpp0080462, FBpp0080463, FBpp0298830, FBpp0080457, FBpp0080460	ENSMUSP00000154634, ENSMUSP00000080538, ENSMUSP00000099867, ENSMUSP00000126840, ENSMUSP00000127539, ENSMUSP00000090672, ENSMUSP00000131883, ENSMUSP00000104329, ENSMUSP00000007301, ENSMUSP00000137731, ENSMUSP00000104324, ENSMUSP00000080584, ENSMUSP00000018632, ENSMUSP00000127514, ENSMUSP00000018637, ENSMUSP00000075147, ENSMUSP00000117569, ENSMUSP00000019625, ENSMUSP00000129544, ENSMUSP00000018641
OG0000003	FBpp0291728, FBpp0291729, FBpp0291731, FBpp0072306, FBpp0072305, FBpp0099896, FBpp0297531, FBpp0291730, FBpp0099894	ENSMUSP00000103531, ENSMUSP00000147115, ENSMUSP00000103532, ENSMUSP00000046059, ENSMUSP00000018887, ENSMUSP00000090661, ENSMUSP00000099671, ENSMUSP00000016771, ENSMUSP00000155052, ENSMUSP00000156021, ENSMUSP00000087756
OG0000004	FBpp0289115, FBpp0300573, FBpp0300575, FBpp0077804, FBpp0300574, FBpp0077803	ENSMUSP00000147741, ENSMUSP00000123240
OG0000004	FBpp0304044, FBpp0077358, FBpp0297122	ENSMUSP00000126352, ENSMUSP00000134091, ENSMUSP00000024627
OG0000004	FBpp0079496	ENSMUSP00000031984
OG0000004	FBpp0086956, FBpp0086955, FBpp0086954	ENSMUSP00000076769, ENSMUSP00000135570, ENSMUSP00000114296, ENSMUSP00000086366, ENSMUSP00000099138, ENSMUSP00000044361
OG0000004	FBpp0303193, FBpp0075281, FBpp0075280, FBpp0075279, FBpp0075278, FBpp0305757	ENSMUSP00000133535, ENSMUSP00000096547, ENSMUSP00000097135, ENSMUSP00000135784, ENSMUSP00000025862, ENSMUSP00000135017, ENSMUSP00000034707, ENSMUSP00000133922
OG0000007	FBpp0309803, FBpp0110508, FBpp0110515, FBpp0352248, FBpp0110528, FBpp0071206, FBpp0297622, FBpp0291423, FBpp0073324	ENSMUSP00000067662, ENSMUSP00000043467
OG0000007	FBpp0078385, FBpp0307202, FBpp0078356, FBpp0078357, FBpp0078386, FBpp0070179	ENSMUSP00000129115, ENSMUSP00000022820
OG0000007	FBpp0070533, FBpp0304769	ENSMUSP00000034058, ENSMUSP00000133546, ENSMUSP00000038069
