Orthogroup	mouse	neurospora
OG0000001	ENSMUSP00000048802	EAA35509
OG0000001	ENSMUSP00000119231, ENSMUSP00000145232, ENSMUSP00000145463, ENSMUSP00000032326	EAA27679
OG0000001	ENSMUSP00000018143	EDO65410
OG0000001	ENSMUSP00000031598	EAA33062
OG0000001	ENSMUSP00000003450	EAA35223
OG0000001	ENSMUSP00000000804, ENSMUSP00000035261, ENSMUSP00000088729	EAA31690
OG0000001	ENSMUSP00000075157, ENSMUSP00000096769	EAA35674
OG0000001	ENSMUSP00000001724, ENSMUSP00000114149	EAA29692
OG0000001	ENSMUSP00000065198	EAA28280
OG0000001	ENSMUSP00000109484	EAA32541
OG0000002	ENSMUSP00000142637, ENSMUSP00000143016, ENSMUSP00000143563, ENSMUSP00000142840, ENSMUSP00000070292, ENSMUSP00000143507, ENSMUSP00000143659, ENSMUSP00000050034, ENSMUSP00000141866, ENSMUSP00000029719, ENSMUSP00000142267, ENSMUSP00000141567, ENSMUSP00000141816, ENSMUSP00000141707	EAA30691
OG0000002	ENSMUSP00000046539, ENSMUSP00000157012, ENSMUSP00000157216, ENSMUSP00000061700, ENSMUSP00000120453, ENSMUSP00000110116, ENSMUSP00000110117, ENSMUSP00000002087, ENSMUSP00000131451, ENSMUSP00000016323, ENSMUSP00000128143, ENSMUSP00000110638, ENSMUSP00000037028, ENSMUSP00000032409	ESA44119
OG0000003	ENSMUSP00000116028, ENSMUSP00000120444, ENSMUSP00000117493, ENSMUSP00000073790, ENSMUSP00000112728, ENSMUSP00000042229	ESA42634
OG0000003	ENSMUSP00000154634, ENSMUSP00000080538, ENSMUSP00000099867, ENSMUSP00000126840, ENSMUSP00000127539, ENSMUSP00000090672, ENSMUSP00000131883, ENSMUSP00000104329, ENSMUSP00000007301, ENSMUSP00000137731, ENSMUSP00000104324, ENSMUSP00000080584, ENSMUSP00000018632, ENSMUSP00000127514, ENSMUSP00000018637, ENSMUSP00000075147, ENSMUSP00000117569, ENSMUSP00000019625, ENSMUSP00000129544, ENSMUSP00000018641, ENSMUSP00000103531, ENSMUSP00000147115, ENSMUSP00000103532, ENSMUSP00000046059, ENSMUSP00000018887, ENSMUSP00000090661, ENSMUSP00000099671, ENSMUSP00000016771, ENSMUSP00000155052, ENSMUSP00000156021, ENSMUSP00000087756	EAA35476
OG0000004	ENSMUSP00000126352, ENSMUSP00000134091, ENSMUSP00000024627	ESA44011
OG0000004	ENSMUSP00000145262	EAA31593
OG0000004	ENSMUSP00000031984	EAA29079
OG0000004	ENSMUSP00000025965	EAA33332
OG0000004	ENSMUSP00000076769, ENSMUSP00000135570, ENSMUSP00000114296, ENSMUSP00000086366, ENSMUSP00000099138, ENSMUSP00000044361	EAA27312
OG0000004	ENSMUSP00000133535, ENSMUSP00000096547, ENSMUSP00000097135, ENSMUSP00000135784, ENSMUSP00000025862, ENSMUSP00000135017, ENSMUSP00000034707, ENSMUSP00000133922	EAA27892
OG0000007	ENSMUSP00000067662	ESA43725, EAA28690
OG0000007	ENSMUSP00000112683, ENSMUSP00000029817	EAA36366, ESA43892
OG0000007	ENSMUSP00000034058, ENSMUSP00000133546, ENSMUSP00000038069	EAA32861
OG0000007	ENSMUSP00000027381, ENSMUSP00000045621	EAA32855
OG0000007	ENSMUSP00000147715, ENSMUSP00000147851, ENSMUSP00000103381	EAA35647
