Orthogroup	mouse	yeast
OG0000001	ENSMUSP00000048802	YGL171W_mRNA
OG0000001	ENSMUSP00000119231, ENSMUSP00000145232, ENSMUSP00000145463, ENSMUSP00000032326	YHR065C_mRNA
OG0000001	ENSMUSP00000008004	YHR169W_mRNA
OG0000001	ENSMUSP00000018143	YLL008W_mRNA
OG0000001	ENSMUSP00000031598	YDL031W_mRNA
OG0000001	ENSMUSP00000003450	YDR243C_mRNA
OG0000001	ENSMUSP00000000804, ENSMUSP00000035261, ENSMUSP00000088729	YOR204W_mRNA, YPL119C_mRNA
OG0000001	ENSMUSP00000001724, ENSMUSP00000114149	YMR290C_mRNA
OG0000001	ENSMUSP00000065198	YJL033W_mRNA
OG0000001	ENSMUSP00000109484	YKR024C_mRNA
OG0000002	ENSMUSP00000142637, ENSMUSP00000143016, ENSMUSP00000143563, ENSMUSP00000142840, ENSMUSP00000070292, ENSMUSP00000143507, ENSMUSP00000143659, ENSMUSP00000050034, ENSMUSP00000141866, ENSMUSP00000029719, ENSMUSP00000142267, ENSMUSP00000141567, ENSMUSP00000141816, ENSMUSP00000141707, ENSMUSP00000046539, ENSMUSP00000157012, ENSMUSP00000157216, ENSMUSP00000061700, ENSMUSP00000120453, ENSMUSP00000110116, ENSMUSP00000110117, ENSMUSP00000002087, ENSMUSP00000131451, ENSMUSP00000016323, ENSMUSP00000128143, ENSMUSP00000110638, ENSMUSP00000037028, ENSMUSP00000032409	YGL158W_mRNA, YFR014C_mRNA, YOL016C_mRNA
OG0000002	ENSMUSP00000133019, ENSMUSP00000102008, ENSMUSP00000025519, ENSMUSP00000099952, ENSMUSP00000102009, ENSMUSP00000143504, ENSMUSP00000102007, ENSMUSP00000143677, ENSMUSP00000129999, ENSMUSP00000102010, ENSMUSP00000098398, ENSMUSP00000079298, ENSMUSP00000071720, ENSMUSP00000154158, ENSMUSP00000019133, ENSMUSP00000105440, ENSMUSP00000105438, ENSMUSP00000099119, ENSMUSP00000091046, ENSMUSP00000087925, ENSMUSP00000002817, ENSMUSP00000065101, ENSMUSP00000105437, ENSMUSP00000099120, ENSMUSP00000063359	YPL153C_mRNA
OG0000003	ENSMUSP00000116028, ENSMUSP00000120444, ENSMUSP00000117493, ENSMUSP00000073790, ENSMUSP00000112728, ENSMUSP00000042229	YOR326W_mRNA, YAL029C_mRNA
OG0000003	ENSMUSP00000154634, ENSMUSP00000080538, ENSMUSP00000099867, ENSMUSP00000126840, ENSMUSP00000127539, ENSMUSP00000090672, ENSMUSP00000131883, ENSMUSP00000104329, ENSMUSP00000007301, ENSMUSP00000137731, ENSMUSP00000104324, ENSMUSP00000080584, ENSMUSP00000018632, ENSMUSP00000127514, ENSMUSP00000018637, ENSMUSP00000075147, ENSMUSP00000117569, ENSMUSP00000019625, ENSMUSP00000129544, ENSMUSP00000018641, ENSMUSP00000103531, ENSMUSP00000147115, ENSMUSP00000103532, ENSMUSP00000046059, ENSMUSP00000018887, ENSMUSP00000090661, ENSMUSP00000099671, ENSMUSP00000016771, ENSMUSP00000155052, ENSMUSP00000156021, ENSMUSP00000087756	YHR023W_mRNA
OG0000004	ENSMUSP00000126352, ENSMUSP00000134091, ENSMUSP00000024627	YER164W_mRNA
OG0000004	ENSMUSP00000031984	YAL019W_mRNA
OG0000004	ENSMUSP00000025965	YFR038W_mRNA
OG0000004	ENSMUSP00000076769, ENSMUSP00000135570, ENSMUSP00000114296, ENSMUSP00000086366, ENSMUSP00000099138, ENSMUSP00000044361	YOR304W_mRNA, YBR245C_mRNA
OG0000004	ENSMUSP00000133535, ENSMUSP00000096547, ENSMUSP00000097135, ENSMUSP00000135784, ENSMUSP00000025862, ENSMUSP00000135017, ENSMUSP00000034707, ENSMUSP00000133922	YIL126W_mRNA, YOR290C_mRNA
OG0000007	ENSMUSP00000027381, ENSMUSP00000045621	YNL202W_mRNA
OG0000007	ENSMUSP00000147715, ENSMUSP00000147851, ENSMUSP00000103381	YIR035C_mRNA, YIR036C_mRNA
OG0000015	ENSMUSP00000149620, ENSMUSP00000128421	YDL160C_mRNA
OG0000015	ENSMUSP00000101860, ENSMUSP00000145166, ENSMUSP00000144809, ENSMUSP00000133154, ENSMUSP00000145194, ENSMUSP00000026667	YDR021W_mRNA
OG0000015	ENSMUSP00000110998, ENSMUSP00000156170, ENSMUSP00000090876, ENSMUSP00000115649, ENSMUSP00000140809, ENSMUSP00000023599, ENSMUSP00000127030, ENSMUSP00000127034	YKR059W_mRNA, YJL138C_mRNA
OG0000015	ENSMUSP00000038551, ENSMUSP00000066806, ENSMUSP00000047898, ENSMUSP00000034612	YOR046C_mRNA
OG0000016	ENSMUSP00000070259, ENSMUSP00000082560, ENSMUSP00000078706, ENSMUSP00000145938, ENSMUSP00000145724, ENSMUSP00000113160, ENSMUSP00000146047, ENSMUSP00000145947, ENSMUSP00000034949, ENSMUSP00000145887	YNL154C_mRNA, YHR135C_mRNA
OG0000016	ENSMUSP00000113341, ENSMUSP00000113975, ENSMUSP00000070721, ENSMUSP00000018274, ENSMUSP00000113096, ENSMUSP00000117472, ENSMUSP00000155317, ENSMUSP00000110901, ENSMUSP00000127463, ENSMUSP00000127265, ENSMUSP00000131687, ENSMUSP00000127144, ENSMUSP00000132083, ENSMUSP00000128871	YPL204W_mRNA
OG0000021	ENSMUSP00000137802, ENSMUSP00000025749, ENSMUSP00000119715, ENSMUSP00000120882, ENSMUSP00000115073, ENSMUSP00000130078, ENSMUSP00000126861, ENSMUSP00000095437, ENSMUSP00000127462, ENSMUSP00000018012, ENSMUSP00000112468, ENSMUSP00000020145, ENSMUSP00000090343, ENSMUSP00000114074, ENSMUSP00000128873, ENSMUSP00000097614, ENSMUSP00000114691, ENSMUSP00000117119, ENSMUSP00000118190, ENSMUSP00000123689, ENSMUSP00000103979, ENSMUSP00000132141, ENSMUSP00000052103, ENSMUSP00000103981, ENSMUSP00000103980, ENSMUSP00000122222, ENSMUSP00000001780, ENSMUSP00000106789, ENSMUSP00000106790, ENSMUSP00000019843, ENSMUSP00000083081, ENSMUSP00000120978	YMR104C_mRNA, YKL126W_mRNA
OG0000022	ENSMUSP00000118851, ENSMUSP00000124066, ENSMUSP00000082352, ENSMUSP00000021548, ENSMUSP00000112543, ENSMUSP00000008579, ENSMUSP00000113433, ENSMUSP00000114390, ENSMUSP00000021187, ENSMUSP00000112553, ENSMUSP00000020947, ENSMUSP00000104736, ENSMUSP00000125626, ENSMUSP00000004756	YOR246C_mRNA
OG0000023	ENSMUSP00000025217	YEL030W_mRNA, YJR045C_mRNA
OG0000023	ENSMUSP00000028222, ENSMUSP00000097747	YJL034W_mRNA
OG0000023	ENSMUSP00000151408, ENSMUSP00000079306, ENSMUSP00000113722, ENSMUSP00000015800, ENSMUSP00000007248, ENSMUSP00000084586, ENSMUSP00000133815	YLL024C_mRNA, YAL005C_mRNA, YER103W_mRNA, YBL075C_mRNA
OG0000024	ENSMUSP00000031822, ENSMUSP00000109933, ENSMUSP00000138703, ENSMUSP00000138608	YCR011C_mRNA
OG0000024	ENSMUSP00000124583, ENSMUSP00000124154, ENSMUSP00000130783, ENSMUSP00000069495, ENSMUSP00000124647, ENSMUSP00000034648, ENSMUSP00000024829	YOL075C_mRNA
OG0000026	ENSMUSP00000029257, ENSMUSP00000033818, ENSMUSP00000088779, ENSMUSP00000146015, ENSMUSP00000099066, ENSMUSP00000145853, ENSMUSP00000119320, ENSMUSP00000118379, ENSMUSP00000072738, ENSMUSP00000042215, ENSMUSP00000079238	YAL026C_mRNA
OG0000026	ENSMUSP00000129811, ENSMUSP00000076844, ENSMUSP00000143594, ENSMUSP00000142749	YDR093W_mRNA, YER166W_mRNA
OG0000030	ENSMUSP00000079670, ENSMUSP00000089293, ENSMUSP00000140394, ENSMUSP00000139663, ENSMUSP00000151536, ENSMUSP00000089295, ENSMUSP00000134751, ENSMUSP00000135215, ENSMUSP00000089346, ENSMUSP00000100739, ENSMUSP00000096442, ENSMUSP00000100737, ENSMUSP00000074994, ENSMUSP00000016703, ENSMUSP00000102062, ENSMUSP00000079816, ENSMUSP00000125104, ENSMUSP00000124509, ENSMUSP00000125754	YBR010W_mRNA, YNL031C_mRNA
OG0000033	ENSMUSP00000113283, ENSMUSP00000084942, ENSMUSP00000152215, ENSMUSP00000106145, ENSMUSP00000098029, ENSMUSP00000106305, ENSMUSP00000082827, ENSMUSP00000090177, ENSMUSP00000129269, ENSMUSP00000099356, ENSMUSP00000148679, ENSMUSP00000132224, ENSMUSP00000148813, ENSMUSP00000103881, ENSMUSP00000041627, ENSMUSP00000029126, ENSMUSP00000105307, ENSMUSP00000153537, ENSMUSP00000132838, ENSMUSP00000079280, ENSMUSP00000153526, ENSMUSP00000153052, ENSMUSP00000034740	YER125W_mRNA
OG0000035	ENSMUSP00000076397, ENSMUSP00000056604, ENSMUSP00000135427, ENSMUSP00000106099, ENSMUSP00000100047, ENSMUSP00000153457, ENSMUSP00000018246, ENSMUSP00000089296, ENSMUSP00000136792, ENSMUSP00000089343, ENSMUSP00000097294, ENSMUSP00000106082, ENSMUSP00000089350, ENSMUSP00000106095, ENSMUSP00000089301, ENSMUSP00000100738, ENSMUSP00000106093, ENSMUSP00000077290, ENSMUSP00000106102, ENSMUSP00000088287, ENSMUSP00000106085, ENSMUSP00000153277, ENSMUSP00000061247, ENSMUSP00000078239	YDR224C_mRNA, YBL002W_mRNA
OG0000036	ENSMUSP00000108528, ENSMUSP00000033634, ENSMUSP00000108524, ENSMUSP00000108525, ENSMUSP00000117952, ENSMUSP00000121695, ENSMUSP00000045291	YMR246W_mRNA, YIL009W_mRNA, YOR317W_mRNA
OG0000036	ENSMUSP00000046585, ENSMUSP00000072040, ENSMUSP00000090795, ENSMUSP00000091746, ENSMUSP00000104533, ENSMUSP00000104532, ENSMUSP00000098773, ENSMUSP00000098771, ENSMUSP00000069844, ENSMUSP00000104527, ENSMUSP00000119714, ENSMUSP00000000145, ENSMUSP00000106000, ENSMUSP00000106001, ENSMUSP00000034046	YER015W_mRNA
OG0000038	ENSMUSP00000154967, ENSMUSP00000107937, ENSMUSP00000155713, ENSMUSP00000022429, ENSMUSP00000020717, ENSMUSP00000127281, ENSMUSP00000102622, ENSMUSP00000051814, ENSMUSP00000050689, ENSMUSP00000079905, ENSMUSP00000126120	YDL137W_mRNA, YDL192W_mRNA
OG0000038	ENSMUSP00000111942, ENSMUSP00000079246	YBR164C_mRNA
OG0000038	ENSMUSP00000025893	YMR138W_mRNA
OG0000038	ENSMUSP00000070767, ENSMUSP00000069371, ENSMUSP00000035918, ENSMUSP00000099013, ENSMUSP00000114458, ENSMUSP00000057085, ENSMUSP00000124344, ENSMUSP00000139499	YOR094W_mRNA
OG0000041	ENSMUSP00000092692, ENSMUSP00000092693, ENSMUSP00000134564, ENSMUSP00000050377, ENSMUSP00000048360, ENSMUSP00000047326, ENSMUSP00000039844	YHR129C_mRNA
OG0000041	ENSMUSP00000052086, ENSMUSP00000098066, ENSMUSP00000071486, ENSMUSP00000101822, ENSMUSP00000146302, ENSMUSP00000130611, ENSMUSP00000101823, ENSMUSP00000148594, ENSMUSP00000120936, ENSMUSP00000048218, ENSMUSP00000034453, ENSMUSP00000087736, ENSMUSP00000074658, ENSMUSP00000113552	YFL039C_mRNA
OG0000046	ENSMUSP00000122402, ENSMUSP00000079014, ENSMUSP00000078158, ENSMUSP00000111209, ENSMUSP00000042186, ENSMUSP00000129677	YGR281W_mRNA
OG0000046	ENSMUSP00000026208, ENSMUSP00000021231, ENSMUSP00000136343, ENSMUSP00000002850, ENSMUSP00000097743	YLL015W_mRNA, YDR135C_mRNA
OG0000046	ENSMUSP00000132561, ENSMUSP00000038041, ENSMUSP00000131843, ENSMUSP00000092895	YLL048C_mRNA, YHL035C_mRNA
OG0000047	ENSMUSP00000026455, ENSMUSP00000155212, ENSMUSP00000127611, ENSMUSP00000085530, ENSMUSP00000154934, ENSMUSP00000023754, ENSMUSP00000155623, ENSMUSP00000023752, ENSMUSP00000157337, ENSMUSP00000157324, ENSMUSP00000157060, ENSMUSP00000157152, ENSMUSP00000157000, ENSMUSP00000157347, ENSMUSP00000157239, ENSMUSP00000078088, ENSMUSP00000004774	YLL053C_mRNA, YPR192W_mRNA, YLL052C_mRNA
