Orthogroup	human	yeast
OG0000001	ENSP00000479504, ENSP00000480030	YGL171W_mRNA
OG0000001	ENSP00000319578, ENSP00000350698	YHR065C_mRNA
OG0000001	ENSP00000247003	YHR169W_mRNA
OG0000001	ENSP00000483119, ENSP00000360828, ENSP00000483495, ENSP00000482680	YLL008W_mRNA
OG0000001	ENSP00000448477, ENSP00000447098, ENSP00000323858, ENSP00000304072	YDL031W_mRNA
OG0000001	ENSP00000310723	YDR243C_mRNA
OG0000001	ENSP00000496356, ENSP00000496052, ENSP00000494887, ENSP00000493795, ENSP00000336725, ENSP00000353284, ENSP00000493819, ENSP00000495377, ENSP00000496663, ENSP00000494952, ENSP00000382840, ENSP00000392494, ENSP00000486720, ENSP00000487224, ENSP00000494040, ENSP00000486516, ENSP00000478443, ENSP00000496222, ENSP00000487062, ENSP00000486514, ENSP00000486443, ENSP00000486306, ENSP00000493475, ENSP00000496524, ENSP00000494518	YOR204W_mRNA, YPL119C_mRNA
OG0000001	ENSP00000263239, ENSP00000415604	YMR290C_mRNA
OG0000001	ENSP00000497432, ENSP00000314348, ENSP00000432032	YJL033W_mRNA
OG0000001	ENSP00000361226, ENSP00000310539, ENSP00000479697, ENSP00000361232, ENSP00000387730	YKR024C_mRNA
OG0000002	ENSP00000369223, ENSP00000484452, ENSP00000255448, ENSP00000353846, ENSP00000401916, ENSP00000303887, ENSP00000427235, ENSP00000296550, ENSP00000489372, ENSP00000422634, ENSP00000282356, ENSP00000482880, ENSP00000291041, ENSP00000391772, ENSP00000415770, ENSP00000359164, ENSP00000359169, ENSP00000340586, ENSP00000359161, ENSP00000405950, ENSP00000354861, ENSP00000009105, ENSP00000392173, ENSP00000368122, ENSP00000478861, ENSP00000478874, ENSP00000393238, ENSP00000256460, ENSP00000419195, ENSP00000417614, ENSP00000420053	YGL158W_mRNA, YFR014C_mRNA, YOL016C_mRNA
OG0000002	ENSP00000296402, ENSP00000369098, ENSP00000422566, ENSP00000381412, ENSP00000261793, ENSP00000423482, ENSP00000423677, ENSP00000339740, ENSP00000378032, ENSP00000424245, ENSP00000425824, ENSP00000277853, ENSP00000315599, ENSP00000361851, ENSP00000378243, ENSP00000307082, ENSP00000410298, ENSP00000319060, ENSP00000258682, ENSP00000379098, ENSP00000326375, ENSP00000397937, ENSP00000326544, ENSP00000351542, ENSP00000326518, ENSP00000326427, ENSP00000390292, ENSP00000379096, ENSP00000378030	YPL153C_mRNA
OG0000003	ENSP00000481420, ENSP00000382177, ENSP00000382179, ENSP00000350945, ENSP00000348693, ENSP00000451109, ENSP00000285039, ENSP00000261839	YOR326W_mRNA, YAL029C_mRNA
