Orthogroup	arabidopsis	human
OG0000001	AT3G09720.1	ENSP00000479504, ENSP00000480030
OG0000001	AT5G60990.1	ENSP00000319578, ENSP00000350698
OG0000001	AT1G16280.1	ENSP00000247003
OG0000001	AT4G16630.1	ENSP00000483119, ENSP00000360828, ENSP00000483495, ENSP00000482680
OG0000001	AT1G77030.1	ENSP00000448477, ENSP00000447098, ENSP00000323858, ENSP00000304072
OG0000001	AT2G33730.1, AT1G28180.1	ENSP00000310723
OG0000001	AT2G47330.1	ENSP00000352308, ENSP00000390121, ENSP00000374574, ENSP00000463561, ENSP00000464050
OG0000001	AT2G42520.1, AT3G58510.1, AT3G58570.1	ENSP00000496356, ENSP00000496052, ENSP00000494887, ENSP00000493795, ENSP00000336725, ENSP00000353284, ENSP00000493819, ENSP00000495377, ENSP00000496663, ENSP00000494952, ENSP00000382840, ENSP00000392494, ENSP00000486720, ENSP00000487224, ENSP00000494040, ENSP00000486516, ENSP00000478443, ENSP00000496222, ENSP00000487062, ENSP00000486514, ENSP00000486443, ENSP00000486306, ENSP00000493475, ENSP00000496524, ENSP00000494518
OG0000001	AT5G08620.1, AT5G08610.1, AT5G63630.2	ENSP00000346244
OG0000001	AT3G18600.1, AT5G65900.1	ENSP00000263239, ENSP00000415604
OG0000001	AT5G54910.1	ENSP00000497432, ENSP00000314348, ENSP00000432032
OG0000001	AT2G40700.1	ENSP00000361226, ENSP00000310539, ENSP00000479697, ENSP00000361232, ENSP00000387730
OG0000003	AT5G20450.10, AT5G20470.1	ENSP00000386213, ENSP00000386497, ENSP00000314650, ENSP00000446237
OG0000003	AT4G33200.4, AT2G31900.2, AT1G08730.1, AT1G54560.1, AT5G20490.2, AT1G17580.1, AT5G43900.3, AT1G04160.1, AT4G28710.1, AT2G20290.1, AT1G04600.1, AT2G33240.1, AT3G58160.1	ENSP00000481420, ENSP00000382177, ENSP00000382179, ENSP00000350945, ENSP00000348693, ENSP00000451109, ENSP00000285039, ENSP00000261839
OG0000003	AT3G19960.2, AT1G50360.1, AT4G27370.2, AT5G54280.2	ENSP00000386041, ENSP00000348634, ENSP00000347507, ENSP00000273353, ENSP00000262873, ENSP00000483640, ENSP00000482463, ENSP00000433944, ENSP00000469573, ENSP00000493594, ENSP00000406273, ENSP00000470298, ENSP00000407879, ENSP00000472543, ENSP00000472819, ENSP00000366169, ENSP00000269243, ENSP00000353590, ENSP00000369315, ENSP00000216181, ENSP00000300036, ENSP00000458731, ENSP00000478816, ENSP00000488461, ENSP00000379616, ENSP00000407821, ENSP00000478092, ENSP00000478109
OG0000004	AT2G13370.1	ENSP00000489846, ENSP00000486629, ENSP00000377747, ENSP00000284049, ENSP00000483667
OG0000004	AT5G44800.1, AT4G31900.1	ENSP00000494126, ENSP00000496233, ENSP00000496291, ENSP00000494981, ENSP00000495023
OG0000004	AT2G02090.1	ENSP00000423286, ENSP00000415576, ENSP00000351947, ENSP00000346217
OG0000004	AT5G66750.1	ENSP00000360383, ENSP00000239026, ENSP00000377609, ENSP00000360378, ENSP00000377601, ENSP00000239027
OG0000004	AT3G06400.3, AT5G18620.2	ENSP00000360163, ENSP00000360162, ENSP00000360164, ENSP00000283131
