FBpp0074936 ENSMUSP00000048802
FBpp0080997 ENSMUSP00000119231
FBpp0080997 ENSMUSP00000145232
FBpp0080997 ENSMUSP00000145463
FBpp0080997 ENSMUSP00000032326
FBpp0087645 ENSMUSP00000008004
FBpp0311849 ENSMUSP00000018143
FBpp0087865 ENSMUSP00000018143
FBpp0072475 ENSMUSP00000031598
FBpp0080622 ENSMUSP00000003450
FBpp0076003 ENSMUSP00000021046
FBpp0306433 ENSMUSP00000000804
FBpp0306433 ENSMUSP00000035261
FBpp0306433 ENSMUSP00000088729
FBpp0081374 ENSMUSP00000000804
FBpp0081374 ENSMUSP00000035261
FBpp0081374 ENSMUSP00000088729
FBpp0401447 ENSMUSP00000075157
FBpp0401447 ENSMUSP00000096769
FBpp0401446 ENSMUSP00000075157
FBpp0401446 ENSMUSP00000096769
FBpp0401445 ENSMUSP00000075157
FBpp0401445 ENSMUSP00000096769
FBpp0312062 ENSMUSP00000001724
FBpp0312062 ENSMUSP00000114149
FBpp0083573 ENSMUSP00000001724
FBpp0083573 ENSMUSP00000114149
FBpp0083572 ENSMUSP00000001724
FBpp0083572 ENSMUSP00000114149
FBpp0074227 ENSMUSP00000065198
FBpp0074214 ENSMUSP00000109484
FBpp0074213 ENSMUSP00000109484
FBpp0309483 ENSMUSP00000109484
FBpp0110466 ENSMUSP00000142637
FBpp0110466 ENSMUSP00000143016
FBpp0110466 ENSMUSP00000143563
FBpp0110466 ENSMUSP00000142840
FBpp0110466 ENSMUSP00000070292
FBpp0110466 ENSMUSP00000143507
FBpp0110466 ENSMUSP00000143659
FBpp0110466 ENSMUSP00000050034
FBpp0110466 ENSMUSP00000141866
FBpp0110466 ENSMUSP00000029719
FBpp0110466 ENSMUSP00000142267
FBpp0110466 ENSMUSP00000141567
FBpp0110466 ENSMUSP00000141816
FBpp0110466 ENSMUSP00000141707
FBpp0110579 ENSMUSP00000142637
FBpp0110579 ENSMUSP00000143016
FBpp0110579 ENSMUSP00000143563
FBpp0110579 ENSMUSP00000142840
FBpp0110579 ENSMUSP00000070292
FBpp0110579 ENSMUSP00000143507
FBpp0110579 ENSMUSP00000143659
FBpp0110579 ENSMUSP00000050034
FBpp0110579 ENSMUSP00000141866
FBpp0110579 ENSMUSP00000029719
FBpp0110579 ENSMUSP00000142267
FBpp0110579 ENSMUSP00000141567
FBpp0110579 ENSMUSP00000141816
FBpp0110579 ENSMUSP00000141707
FBpp0088134 ENSMUSP00000046539
FBpp0088134 ENSMUSP00000157012
FBpp0088134 ENSMUSP00000157216
FBpp0088134 ENSMUSP00000061700
FBpp0088134 ENSMUSP00000120453
FBpp0088134 ENSMUSP00000110116
FBpp0088134 ENSMUSP00000110117
FBpp0088134 ENSMUSP00000002087
FBpp0088134 ENSMUSP00000131451
FBpp0088134 ENSMUSP00000016323
FBpp0088134 ENSMUSP00000128143
FBpp0088134 ENSMUSP00000110638
FBpp0088134 ENSMUSP00000037028
FBpp0088134 ENSMUSP00000032409
FBpp0088138 ENSMUSP00000046539
