CG5589	NCU00919
CG9253	NCU04504
Rs1	NCU11175
Rs1	NCU11175
CG32344	NCU07712
CG10333	NCU02803
Rm62	NCU05782
Rm62	NCU05782
bel	NCU01369
bel	NCU01369
vas	NCU09093
vas	NCU09093
vas	NCU09093
pit	NCU09349
pit	NCU09349
pit	NCU09349
CG5800	NCU04439
CG8611	NCU06520
CG8611	NCU06520
CG8611	NCU06520
CG17528	NCU02283
CG17528	NCU02283
CaMKI	NCU09123
CaMKI	NCU09123
CaMKI	NCU09123
CaMKI	NCU09123
CaMKI	NCU09123
didum	NCU01440
didum	NCU01440
didum	NCU01440
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
Mhc	NCU00551
zip	NCU00551
zip	NCU00551
zip	NCU00551
zip	NCU00551
zip	NCU00551
zip	NCU00551
zip	NCU00551
zip	NCU00551
zip	NCU00551
Chd1	NCU03060
Chd1	NCU03060
Chd1	NCU03060
Etl1	NCU09106
Iswi	NCU03875
Iswi	NCU03875
Iswi	NCU03875
brm	NCU06488
brm	NCU06488
brm	NCU06488
brm	NCU06488
brm	NCU06488
brm	NCU06488
CG40486	NCU16596
CG40486	NCU04592
CG40486	NCU02922
CG40486	NCU07904
CG40486	NCU08044
CG40486	NCU16596
CG40486	NCU04592
CG40486	NCU02922
CG40486	NCU07904
CG40486	NCU08044
CG40485	NCU16596
CG40485	NCU04592
CG40485	NCU02922
CG40485	NCU07904
CG40485	NCU08044
CG40485	NCU16596
CG40485	NCU04592
CG40485	NCU02922
CG40485	NCU07904
CG40485	NCU08044
CG40485	NCU16596
CG40485	NCU04592
CG40485	NCU02922
CG40485	NCU07904
CG40485	NCU08044
CG10962	NCU16596
CG10962	NCU04592
CG10962	NCU02922
CG10962	NCU07904
CG10962	NCU08044
CG8757	NCU16596
CG8757	NCU04592
CG8757	NCU02922
CG8757	NCU07904
CG8757	NCU08044
CG9150	NCU16596
CG9150	NCU04592
CG9150	NCU02922
CG9150	NCU07904
CG9150	NCU08044
antdh	NCU16596
antdh	NCU04592
antdh	NCU02922
antdh	NCU07904
antdh	NCU08044
CG3603	NCU07964
CG3603	NCU07964
Cyp4d2	NCU09419
Cyp4d2	NCU09419
Cyp4d14	NCU09419
Cyp4d14	NCU09419
Cyp4ae1	NCU09419
Cyp316a1	NCU09419
Cyp4d8	NCU09419
Cyp4d21	NCU09419
Cyp4d20	NCU09419
Cyp4d1	NCU09419
Cyp4d1	NCU09419
Cyp4e1	NCU09419
Cyp4e2	NCU09419
Cyp4e2	NCU09419
Cyp4e3	NCU09419
Cyp4s3	NCU09419
Cyp4g1	NCU09419
Cyp4g15	NCU09419
Cyp4g15	NCU09419
Cyp4c3	NCU09419
Cyp4aa1	NCU09419
Cyp4ac3	NCU09419
Cyp4ac1	NCU09419
Cyp4ac2	NCU09419
Cyp4p2	NCU09419
Cyp4p3	NCU09419
Cyp4p1	NCU09419
Cyp311a1	NCU02031
CG10077	NCU06418
CG10077	NCU01104
CG10077	NCU07670
CG10077	NCU06418
CG10077	NCU01104
CG10077	NCU07670
Rm62	NCU06418
Rm62	NCU01104
Rm62	NCU07670
mahe	NCU06418
mahe	NCU01104
mahe	NCU07670
mahe	NCU06418
mahe	NCU01104
mahe	NCU07670
me31B	NCU06149
me31B	NCU06149
CG7483	NCU01234
eIF4A	NCU07420
eIF4A	NCU07420
eIF4A	NCU07420
eIF4A	NCU07420
eIF4A	NCU07420
eIF4A	NCU07420
Dbp80	NCU01160
Dbp80	NCU01160
Dbp80	NCU01160
Dbp80	NCU01160
gish	NCU04005
gish	NCU04005
gish	NCU04005
gish	NCU04005
gish	NCU04005
gish	NCU04005
gish	NCU04005
gish	NCU04005
gish	NCU04005
gish	NCU04005
gish	NCU04005
gish	NCU04005
gish	NCU04005
dco	NCU00685
dco	NCU00685
dco	NCU00685
dco	NCU00685
dco	NCU00685
CkIalpha	NCU00685
CkIalpha	NCU00685
CkIalpha	NCU00685
CkIalpha	NCU00685
CkIalpha	NCU00685
CkIalpha	NCU00685
S6k	NCU07280
S6k	NCU07280
Akt1	NCU07280
Akt1	NCU07280
Akt1	NCU07280
Akt1	NCU07280
Akt1	NCU07280
CG31235	NCU09735
CG31235	NCU08164
CG31235	NCU09278
CG31235	NCU09579
CG31235	NCU09735
CG31235	NCU08164
CG31235	NCU09278
CG31235	NCU09579
CG2064	NCU09735
CG2064	NCU08164
CG2064	NCU09278
CG2064	NCU09579
CG2065	NCU09735
CG2065	NCU08164
CG2065	NCU09278
CG2065	NCU09579
CG2065	NCU09735
CG2065	NCU08164
CG2065	NCU09278
CG2065	NCU09579
CG30495	NCU09735
CG30495	NCU08164
CG30495	NCU09278
CG30495	NCU09579
CG30495	NCU09735
CG30495	NCU08164
CG30495	NCU09278
CG30495	NCU09579
CG30491	NCU09735
CG30491	NCU08164
CG30491	NCU09278
CG30491	NCU09579
CG30491	NCU09735
CG30491	NCU08164
CG30491	NCU09278
CG30491	NCU09579
CG2070	NCU09735
CG2070	NCU08164
CG2070	NCU09278
CG2070	NCU09579
CG2070	NCU09735
CG2070	NCU08164
CG2070	NCU09278
CG2070	NCU09579
CG3842	NCU09735
CG3842	NCU08164
CG3842	NCU09278
CG3842	NCU09579
CG3842	NCU09735
CG3842	NCU08164
CG3842	NCU09278
CG3842	NCU09579
CG3842	NCU09735
CG3842	NCU08164
CG3842	NCU09278
CG3842	NCU09579
CG3842	NCU09735
CG3842	NCU08164
CG3842	NCU09278
CG3842	NCU09579
CG7675	NCU09735
CG7675	NCU08164
CG7675	NCU09278
CG7675	NCU09579
CG7675	NCU09735
CG7675	NCU08164
CG7675	NCU09278
CG7675	NCU09579
CG7675	NCU09735
CG7675	NCU08164
CG7675	NCU09278
CG7675	NCU09579
CG7675	NCU09735
CG7675	NCU08164
CG7675	NCU09278
CG7675	NCU09579
CG7675	NCU09735
CG7675	NCU08164
CG7675	NCU09278
CG7675	NCU09579
Wwox	NCU09735
Wwox	NCU08164
Wwox	NCU09278
Wwox	NCU09579
Wwox	NCU09735
Wwox	NCU08164
Wwox	NCU09278
Wwox	NCU09579
Hsc70-5	NCU08693
Hsc70-5	NCU08693
Hsc70-3	NCU03982
Hsc70-3	NCU03982
Hsc70-3	NCU03982
Hsc70-3	NCU03982
Hsc70-3	NCU03982
Hsp70Ab	NCU09602
Hsp70Aa	NCU09602
Hsp70Ba	NCU09602
Hsp70Bbb	NCU09602
Hsp70Bb	NCU09602
Hsp70Bc	NCU09602
Hsp68	NCU09602
Hsc70-2	NCU09602
Hsc70-1	NCU09602
Hsc70-1	NCU09602
Hsc70-1	NCU09602
Hsc70-4	NCU09602
Hsc70-4	NCU09602
Hsc70-4	NCU09602
Hsc70-4	NCU09602
Hsc70-4	NCU09602
Hsc70-4	NCU09602
Hsc70-4	NCU09602
w	NCU02544
E23	NCU02544
E23	NCU02544
E23	NCU02544
CG9664	NCU00290
CG9664	NCU00290
CG9664	NCU00290
CG9664	NCU00290
CG4822	NCU00290
CG4822	NCU00290
CG4822	NCU00290
CG4822	NCU00290
CG4822	NCU00290
CG4822	NCU00290
CG4822	NCU00290
CG4822	NCU00290
CG4822	NCU00290
CG17646	NCU00290
CG17646	NCU00290
CG9663	NCU00290
Atet	NCU00290
Atet	NCU00290
Atet	NCU00290
Atet	NCU00290
CG31689	NCU00290
CG31689	NCU00290
CG31689	NCU00290
CG31689	NCU00290
CG31689	NCU00290
CG31689	NCU00290
CG31689	NCU00290
CG31689	NCU00290
CG3164	NCU00290
CG3164	NCU00290
CG3164	NCU00290
CG3164	NCU00290
CG5853	NCU00290
CG5853	NCU00290
CG5853	NCU00290
CG42321	NCU00352
CG42321	NCU00352
CG42321	NCU00352
CG42321	NCU00352
CG42321	NCU00352
CG42321	NCU00352
CG42321	NCU00352
CG42321	NCU00352
CG42321	NCU00352
CG42321	NCU00352
CG42321	NCU00352
CG42321	NCU00352
CG42321	NCU00352
CG42321	NCU00352
CG33298	NCU07443
CG33298	NCU07443
CG33298	NCU07443
CG33298	NCU07443
His3:CG33827	NCU01635
His3:CG33824	NCU01635
His3:CG33812	NCU01635
His3:CG33809	NCU01635
His3:CG31613	NCU01635
His3:CG33821	NCU01635
His3:CG33815	NCU01635
His3:CG33848	NCU01635
His3:CG33842	NCU01635
His3:CG33839	NCU01635
His3:CG33836	NCU01635
His3:CG33857	NCU01635
His3:CG33860	NCU01635
His3:CG33854	NCU01635
His3:CG33866	NCU01635
His3:CG33863	NCU01635
His3:CG33851	NCU01635
His3:CG33833	NCU01635
His3:CG33845	NCU01635
His3:CG33818	NCU01635
His3:CG33806	NCU01635
His3:CG33803	NCU01635
His3:CG33830	NCU01635
His3.3B	NCU01635
His3.3B	NCU01635
His3.3A	NCU01635
His3.3A	NCU01635
His3.3A	NCU01635
His3.3B	NCU01635
His3.3B	NCU01635
CG42797	NCU03947
CG42797	NCU03947
CG42797	NCU03947
CG42797	NCU03947
Smurf	NCU03947
Smurf	NCU03947
Su(dx)	NCU03947
Su(dx)	NCU03947
Su(dx)	NCU03947
Su(dx)	NCU03947
Su(dx)	NCU03947
Nedd4	NCU03947
Nedd4	NCU03947
Nedd4	NCU03947
Nedd4	NCU03947
Nedd4	NCU03947
Nedd4	NCU03947
Nedd4	NCU03947
Nedd4	NCU03947
Nedd4	NCU03947
His2B:CG33882	NCU02435
His2B:CG33878	NCU02435
His2B:CG17949	NCU02435
His2B:CG33874	NCU02435
His2B:CG33876	NCU02435
His2B:CG33904	NCU02435
His2B:CG33910	NCU02435
His2B:CG33908	NCU02435
His2B:CG33888	NCU02435
His2B:CG33890	NCU02435
His2B:CG33884	NCU02435
His2B:CG33886	NCU02435
His2B:CG33906	NCU02435
His2B:CG33892	NCU02435
His2B:CG33896	NCU02435
His2B:CG33894	NCU02435
His2B:CG33900	NCU02435
His2B:CG33898	NCU02435
His2B:CG33902	NCU02435
His2B:CG33880	NCU02435
His2B:CG33872	NCU02435
His2B:CG33870	NCU02435
His2B:CG33868	NCU02435
Acsl	NCU03929
Acsl	NCU04380
Acsl	NCU03929
Acsl	NCU04380
Acsl	NCU03929
Acsl	NCU04380
Acsl	NCU03929
Acsl	NCU04380
Acsl	NCU03929
Acsl	NCU04380
Acsl	NCU03929
Acsl	NCU04380
Acsl	NCU03929
Acsl	NCU04380
Acsl	NCU03929
Acsl	NCU04380
Acsl	NCU03929
Acsl	NCU04380
Acsl	NCU03929
Acsl	NCU04380
CG3961	NCU01654
CG3961	NCU01654
CG3961	NCU01654
CG3961	NCU01654
Arf102F	NCU08340
Arf102F	NCU08340
Arf79F	NCU08340
Arf79F	NCU08340
Arf79F	NCU08340
Arf79F	NCU08340
Arf79F	NCU08340
Arf79F	NCU08340
Arf79F	NCU08340
Arf79F	NCU08340
Arl1	NCU08989
Arl2	NCU00218
Arp53D	NCU04247
Arp1	NCU04247
Act79B	NCU04173
Act79B	NCU04173
Act88F	NCU04173
Act87E	NCU04173
Act87E	NCU04173
Act87E	NCU04173
Act57B	NCU04173
Act5C	NCU04173
Act5C	NCU04173
Act5C	NCU04173
Act5C	NCU04173
Act5C	NCU04173
Act42A	NCU04173
Ugt36Ba	NCU09977
Ugt36Ba	NCU09977
Ugt37c1	NCU09977
Ugt37b1	NCU09977
CG5724	NCU09977
CG5999	NCU09977
Ugt37a1	NCU09977
Ugt36Bc	NCU09977
Ugt36Bc	NCU09977
Ugt36Bc	NCU09977
Ugt36Bb	NCU09977
CG11289	NCU09977
Ugt86Dd	NCU09977
Ugt35a	NCU09977
CG31002	NCU09977
Ugt86De	NCU09977
Ugt86Dg	NCU09977
Ugt86Dj	NCU09977
Ugt35b	NCU09977
