CG5589	Ddx52
CG9253	Ddx47
CG9253	Ddx47
CG9253	Ddx47
CG9253	Ddx47
Dbp45A	Ddx49
Rs1	Ddx27
Rs1	Ddx27
CG32344	Ddx54
CG10333	Ddx23
CG6418	Ddx42
bel	Ddx3x
bel	D1Pas1
bel	Ddx3y
bel	Ddx3x
bel	D1Pas1
bel	Ddx3y
vas	Ddx4
vas	Ddx4
vas	Ddx4
vas	Ddx4
vas	Ddx4
vas	Ddx4
pit	Ddx18
pit	Ddx18
pit	Ddx18
pit	Ddx18
pit	Ddx18
pit	Ddx18
CG5800	Ddx10
CG8611	Ddx31
CG8611	Ddx31
CG8611	Ddx31
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk2
CG17528	Dclk2
CG17528	Dclk2
CG17528	Dclk2
CG17528	Dclk2
CG17528	Dclk2
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk1
CG17528	Dclk2
CG17528	Dclk2
CG17528	Dclk2
CG17528	Dclk2
CG17528	Dclk2
CG17528	Dclk2
CaMKI	Camk4
CaMKI	Camk4
CaMKI	Camk4
CaMKI	Pskh1
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Camk1g
CaMKI	Camk1g
CaMKI	Camk1g
CaMKI	Camk1d
CaMKI	Camk1d
CaMKI	Camk1
CaMKI	Camk4
CaMKI	Camk4
CaMKI	Camk4
CaMKI	Pskh1
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Camk1g
CaMKI	Camk1g
CaMKI	Camk1g
CaMKI	Camk1d
CaMKI	Camk1d
CaMKI	Camk1
CaMKI	Camk4
CaMKI	Camk4
CaMKI	Camk4
CaMKI	Pskh1
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Camk1g
CaMKI	Camk1g
CaMKI	Camk1g
CaMKI	Camk1d
CaMKI	Camk1d
CaMKI	Camk1
CaMKI	Camk4
CaMKI	Camk4
CaMKI	Camk4
CaMKI	Pskh1
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Camk1g
CaMKI	Camk1g
CaMKI	Camk1g
CaMKI	Camk1d
CaMKI	Camk1d
CaMKI	Camk1
CaMKI	Camk4
CaMKI	Camk4
CaMKI	Camk4
CaMKI	Pskh1
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Pnck
CaMKI	Camk1g
CaMKI	Camk1g
CaMKI	Camk1g
CaMKI	Camk1d
CaMKI	Camk1d
CaMKI	Camk1
CaMKII	Camk2d
CaMKII	Camk2d
CaMKII	Camk2a
CaMKII	Camk2a
CaMKII	Camk2d
CaMKII	Camk2d
CaMKII	Camk2d
CaMKII	Camk2d
CaMKII	Camk2d
CaMKII	Camk2d
CaMKII	Camk2g
CaMKII	Camk2g
CaMKII	Camk2g
CaMKII	Camk2g
CaMKII	Camk2b
