Orthogroup	human	mouse
OG0000001	ENSP00000479504, ENSP00000480030	ENSMUSP00000048802
OG0000001	ENSP00000319578	ENSMUSP00000119231
OG0000001	ENSP00000350698	ENSMUSP00000145232, ENSMUSP00000145463, ENSMUSP00000032326
OG0000001	ENSP00000247003	ENSMUSP00000008004
OG0000001	ENSP00000483119, ENSP00000360828, ENSP00000483495, ENSP00000482680	ENSMUSP00000018143
OG0000001	ENSP00000448477, ENSP00000447098, ENSP00000323858, ENSP00000304072	ENSMUSP00000031598
OG0000001	ENSP00000310723	ENSMUSP00000003450
OG0000001	ENSP00000352308, ENSP00000390121, ENSP00000374574, ENSP00000463561, ENSP00000464050	ENSMUSP00000021046
OG0000001	ENSP00000493819, ENSP00000495377, ENSP00000496663, ENSP00000494952, ENSP00000382840, ENSP00000392494, ENSP00000486720, ENSP00000487224, ENSP00000494040, ENSP00000486516, ENSP00000478443, ENSP00000496222, ENSP00000487062, ENSP00000486514, ENSP00000486443, ENSP00000486306	ENSMUSP00000000804
OG0000001	ENSP00000493475	ENSMUSP00000035261
OG0000001	ENSP00000496524, ENSP00000494518	ENSMUSP00000088729
OG0000001	ENSP00000424838, ENSP00000423102, ENSP00000427167, ENSP00000425359, ENSP00000347087, ENSP00000334167, ENSP00000423123	ENSMUSP00000075157, ENSMUSP00000096769
OG0000001	ENSP00000263239	ENSMUSP00000001724
OG0000001	ENSP00000415604	ENSMUSP00000114149
OG0000001	ENSP00000497432, ENSP00000314348, ENSP00000432032	ENSMUSP00000065198
OG0000001	ENSP00000361226, ENSP00000310539, ENSP00000479697, ENSP00000361232, ENSP00000387730	ENSMUSP00000109484
OG0000002	ENSP00000369223	ENSMUSP00000142637, ENSMUSP00000143016
OG0000002	ENSP00000484452	ENSMUSP00000143563, ENSMUSP00000142840, ENSMUSP00000070292, ENSMUSP00000143507
OG0000002	ENSP00000255448, ENSP00000353846	ENSMUSP00000143659, ENSMUSP00000050034
OG0000002	ENSP00000401916, ENSP00000303887, ENSP00000427235, ENSP00000296550, ENSP00000489372	ENSMUSP00000141866, ENSMUSP00000029719, ENSMUSP00000142267, ENSMUSP00000141567, ENSMUSP00000141816, ENSMUSP00000141707
OG0000002	ENSP00000422634, ENSP00000282356	ENSMUSP00000046539, ENSMUSP00000157012, ENSMUSP00000157216
OG0000002	ENSP00000482880, ENSP00000291041	ENSMUSP00000061700
OG0000002	ENSP00000391772, ENSP00000415770	ENSMUSP00000120453
OG0000002	ENSP00000359164, ENSP00000359169, ENSP00000340586, ENSP00000359161, ENSP00000405950	ENSMUSP00000110116, ENSMUSP00000110117, ENSMUSP00000002087
OG0000002	ENSP00000354861, ENSP00000009105	ENSMUSP00000016323
OG0000002	ENSP00000392173	ENSMUSP00000128143
OG0000002	ENSP00000478861	ENSMUSP00000110638
OG0000002	ENSP00000478874	ENSMUSP00000037028
OG0000002	ENSP00000393238, ENSP00000256460	ENSMUSP00000032409
OG0000002	ENSP00000381412	ENSMUSP00000025519
OG0000002	ENSP00000261793	ENSMUSP00000099952
OG0000002	ENSP00000423482	ENSMUSP00000102009
OG0000002	ENSP00000423677, ENSP00000339740	ENSMUSP00000143504
OG0000002	ENSP00000424245	ENSMUSP00000102007
OG0000002	ENSP00000425824	ENSMUSP00000143677, ENSMUSP00000129999
OG0000002	ENSP00000277853	ENSMUSP00000098398
OG0000002	ENSP00000307082	ENSMUSP00000071720
OG0000002	ENSP00000410298, ENSP00000319060	ENSMUSP00000154158
OG0000002	ENSP00000379098	ENSMUSP00000019133
OG0000002	ENSP00000326375, ENSP00000397937	ENSMUSP00000105440, ENSMUSP00000105438
OG0000002	ENSP00000326544	ENSMUSP00000099119
OG0000002	ENSP00000351542	ENSMUSP00000091046, ENSMUSP00000087925, ENSMUSP00000002817
OG0000002	ENSP00000326518, ENSP00000326427	ENSMUSP00000065101
OG0000002	ENSP00000379096	ENSMUSP00000105437
OG0000002	ENSP00000378030	ENSMUSP00000063359
OG0000003	ENSP00000421309	ENSMUSP00000118280
OG0000003	ENSP00000386213, ENSP00000386497, ENSP00000314650, ENSP00000446237	ENSMUSP00000055362, ENSMUSP00000107862
OG0000003	ENSP00000481420, ENSP00000382177, ENSP00000382179, ENSP00000350945, ENSP00000348693, ENSP00000451109	ENSMUSP00000116028, ENSMUSP00000120444, ENSMUSP00000117493
OG0000003	ENSP00000285039	ENSMUSP00000073790, ENSMUSP00000112728
OG0000003	ENSP00000261839	ENSMUSP00000042229
OG0000003	ENSP00000386041, ENSP00000348634	ENSMUSP00000154634, ENSMUSP00000080538
OG0000003	ENSP00000347507	ENSMUSP00000099867, ENSMUSP00000126840
OG0000003	ENSP00000273353	ENSMUSP00000127539
OG0000003	ENSP00000262873, ENSP00000483640	ENSMUSP00000090672
OG0000003	ENSP00000482463, ENSP00000433944	ENSMUSP00000131883, ENSMUSP00000104329, ENSMUSP00000007301, ENSMUSP00000137731, ENSMUSP00000104324, ENSMUSP00000080584, ENSMUSP00000018632, ENSMUSP00000127514, ENSMUSP00000018637, ENSMUSP00000075147, ENSMUSP00000117569, ENSMUSP00000019625, ENSMUSP00000129544, ENSMUSP00000018641
OG0000003	ENSP00000469573, ENSP00000493594, ENSP00000406273, ENSP00000470298, ENSP00000407879, ENSP00000472543, ENSP00000472819, ENSP00000366169	ENSMUSP00000103531, ENSMUSP00000147115, ENSMUSP00000103532, ENSMUSP00000046059
OG0000003	ENSP00000353590	ENSMUSP00000018887
OG0000003	ENSP00000369315	ENSMUSP00000090661, ENSMUSP00000099671
OG0000003	ENSP00000216181	ENSMUSP00000016771
