FBpp0074936 YGL171W_mRNA
FBpp0080997 YHR065C_mRNA
FBpp0087645 YHR169W_mRNA
FBpp0311849 YLL008W_mRNA
FBpp0087865 YLL008W_mRNA
FBpp0072475 YDL031W_mRNA
FBpp0080622 YDR243C_mRNA
FBpp0301224 YGL078C_mRNA
FBpp0301225 YGL078C_mRNA
FBpp0306433 YOR204W_mRNA
FBpp0306433 YPL119C_mRNA
FBpp0081374 YOR204W_mRNA
FBpp0081374 YPL119C_mRNA
FBpp0312062 YMR290C_mRNA
FBpp0083573 YMR290C_mRNA
FBpp0083572 YMR290C_mRNA
FBpp0074227 YJL033W_mRNA
FBpp0074214 YKR024C_mRNA
FBpp0074213 YKR024C_mRNA
FBpp0309483 YKR024C_mRNA
FBpp0110466 YGL158W_mRNA
FBpp0110466 YFR014C_mRNA
FBpp0110466 YOL016C_mRNA
FBpp0110579 YGL158W_mRNA
FBpp0110579 YFR014C_mRNA
FBpp0110579 YOL016C_mRNA
FBpp0088134 YGL158W_mRNA
FBpp0088134 YFR014C_mRNA
FBpp0088134 YOL016C_mRNA
FBpp0088138 YGL158W_mRNA
FBpp0088138 YFR014C_mRNA
FBpp0088138 YOL016C_mRNA
FBpp0088136 YGL158W_mRNA
FBpp0088136 YFR014C_mRNA
FBpp0088136 YOL016C_mRNA
FBpp0305826 YGL158W_mRNA
FBpp0305826 YFR014C_mRNA
FBpp0305826 YOL016C_mRNA
FBpp0088132 YGL158W_mRNA
FBpp0088132 YFR014C_mRNA
FBpp0088132 YOL016C_mRNA
FBpp0099496 YPL153C_mRNA
FBpp0289607 YPL153C_mRNA
FBpp0289608 YPL153C_mRNA
FBpp0305830 YPL153C_mRNA
FBpp0305831 YPL153C_mRNA
FBpp0099498 YPL153C_mRNA
FBpp0099497 YPL153C_mRNA
FBpp0088283 YPL153C_mRNA
FBpp0289606 YPL153C_mRNA
FBpp0088282 YPL153C_mRNA
FBpp0088281 YPL153C_mRNA
FBpp0305829 YPL153C_mRNA
FBpp0088685 YOR326W_mRNA
FBpp0088685 YAL029C_mRNA
FBpp0088686 YOR326W_mRNA
FBpp0088686 YAL029C_mRNA
FBpp0088684 YOR326W_mRNA
FBpp0088684 YAL029C_mRNA
FBpp0298831 YHR023W_mRNA
FBpp0080458 YHR023W_mRNA
FBpp0298827 YHR023W_mRNA
FBpp0298829 YHR023W_mRNA
FBpp0312323 YHR023W_mRNA
FBpp0080452 YHR023W_mRNA
FBpp0291042 YHR023W_mRNA
FBpp0080456 YHR023W_mRNA
FBpp0080455 YHR023W_mRNA
FBpp0298828 YHR023W_mRNA
FBpp0291041 YHR023W_mRNA
FBpp0080453 YHR023W_mRNA
FBpp0080459 YHR023W_mRNA
FBpp0080464 YHR023W_mRNA
FBpp0291043 YHR023W_mRNA
FBpp0080454 YHR023W_mRNA
FBpp0080462 YHR023W_mRNA
FBpp0080463 YHR023W_mRNA
FBpp0298830 YHR023W_mRNA
FBpp0080457 YHR023W_mRNA
FBpp0080460 YHR023W_mRNA
FBpp0291728 YHR023W_mRNA
FBpp0291729 YHR023W_mRNA
FBpp0291731 YHR023W_mRNA
FBpp0072306 YHR023W_mRNA
FBpp0072305 YHR023W_mRNA
FBpp0099896 YHR023W_mRNA
FBpp0297531 YHR023W_mRNA
FBpp0291730 YHR023W_mRNA
FBpp0099894 YHR023W_mRNA
FBpp0304044 YER164W_mRNA
FBpp0077358 YER164W_mRNA
FBpp0297122 YER164W_mRNA
FBpp0079496 YAL019W_mRNA
FBpp0086956 YOR304W_mRNA
FBpp0086956 YBR245C_mRNA
FBpp0086955 YOR304W_mRNA
FBpp0086955 YBR245C_mRNA
FBpp0086954 YOR304W_mRNA
FBpp0086954 YBR245C_mRNA
FBpp0303193 YIL126W_mRNA
FBpp0303193 YOR290C_mRNA
FBpp0075281 YIL126W_mRNA
FBpp0075281 YOR290C_mRNA
FBpp0075280 YIL126W_mRNA
FBpp0075280 YOR290C_mRNA
FBpp0075279 YIL126W_mRNA
FBpp0075279 YOR290C_mRNA
FBpp0075278 YIL126W_mRNA
FBpp0075278 YOR290C_mRNA
FBpp0305757 YIL126W_mRNA
FBpp0305757 YOR290C_mRNA
FBpp0309803 YIL124W_mRNA
FBpp0309803 YMR226C_mRNA
FBpp0110508 YIL124W_mRNA
FBpp0110508 YMR226C_mRNA
FBpp0110515 YIL124W_mRNA
FBpp0110515 YMR226C_mRNA
FBpp0352248 YIL124W_mRNA
FBpp0352248 YMR226C_mRNA
FBpp0110528 YIL124W_mRNA
FBpp0110528 YMR226C_mRNA
FBpp0071206 YIL124W_mRNA
FBpp0071206 YMR226C_mRNA
FBpp0297622 YIL124W_mRNA
FBpp0297622 YMR226C_mRNA
FBpp0291423 YIL124W_mRNA
FBpp0291423 YMR226C_mRNA
FBpp0073324 YIL124W_mRNA
FBpp0073324 YMR226C_mRNA
FBpp0073473 YDR402C_mRNA
FBpp0305296 YBR237W_mRNA
FBpp0076649 YBR237W_mRNA
FBpp0078301 YBR237W_mRNA
FBpp0310551 YBR237W_mRNA
FBpp0071084 YBR237W_mRNA
FBpp0079565 YDL160C_mRNA
FBpp0079566 YDL160C_mRNA
FBpp0081324 YDR021W_mRNA
FBpp0303628 YKR059W_mRNA
FBpp0303628 YJL138C_mRNA
FBpp0078809 YKR059W_mRNA
FBpp0078809 YJL138C_mRNA
FBpp0297911 YKR059W_mRNA
FBpp0297911 YJL138C_mRNA
FBpp0078807 YKR059W_mRNA
FBpp0078807 YJL138C_mRNA
FBpp0078808 YKR059W_mRNA
FBpp0078808 YJL138C_mRNA
FBpp0078806 YKR059W_mRNA
FBpp0078806 YJL138C_mRNA
FBpp0112438 YOR046C_mRNA
FBpp0304168 YOR046C_mRNA
FBpp0304166 YOR046C_mRNA
FBpp0304167 YOR046C_mRNA
FBpp0099736 YNL154C_mRNA
FBpp0099736 YHR135C_mRNA
FBpp0082718 YNL154C_mRNA
FBpp0082718 YHR135C_mRNA
FBpp0303074 YNL154C_mRNA
FBpp0303074 YHR135C_mRNA
FBpp0082715 YNL154C_mRNA
FBpp0082715 YHR135C_mRNA
FBpp0082716 YNL154C_mRNA
FBpp0082716 YHR135C_mRNA
FBpp0306673 YNL154C_mRNA
FBpp0306673 YHR135C_mRNA
FBpp0293609 YNL154C_mRNA
FBpp0293609 YHR135C_mRNA
