AT3G09720.1 FBpp0074936
AT5G60990.1 FBpp0080997
AT1G16280.1 FBpp0087645
AT4G16630.1 FBpp0311849
AT4G16630.1 FBpp0087865
AT1G77030.1 FBpp0072475
AT2G33730.1 FBpp0080622
AT1G28180.1 FBpp0080622
AT2G47330.1 FBpp0076003
AT1G31970.1 FBpp0301224
AT1G31970.1 FBpp0301225
AT2G42520.1 FBpp0306433
AT2G42520.1 FBpp0081374
AT3G58510.1 FBpp0306433
AT3G58510.1 FBpp0081374
AT3G58570.1 FBpp0306433
AT3G58570.1 FBpp0081374
AT5G08620.1 FBpp0081355
AT5G08610.1 FBpp0081355
AT5G63630.2 FBpp0081355
AT3G18600.1 FBpp0312062
AT3G18600.1 FBpp0083573
AT3G18600.1 FBpp0083572
AT5G65900.1 FBpp0312062
AT5G65900.1 FBpp0083573
AT5G65900.1 FBpp0083572
AT5G54910.1 FBpp0074227
AT2G40700.1 FBpp0074214
AT2G40700.1 FBpp0074213
AT2G40700.1 FBpp0309483
AT4G33200.4 FBpp0088685
AT4G33200.4 FBpp0088686
AT4G33200.4 FBpp0088684
AT2G31900.2 FBpp0088685
AT2G31900.2 FBpp0088686
AT2G31900.2 FBpp0088684
AT1G08730.1 FBpp0088685
AT1G08730.1 FBpp0088686
AT1G08730.1 FBpp0088684
AT1G54560.1 FBpp0088685
AT1G54560.1 FBpp0088686
AT1G54560.1 FBpp0088684
AT5G20490.2 FBpp0088685
AT5G20490.2 FBpp0088686
AT5G20490.2 FBpp0088684
AT1G17580.1 FBpp0088685
AT1G17580.1 FBpp0088686
AT1G17580.1 FBpp0088684
AT5G43900.3 FBpp0088685
AT5G43900.3 FBpp0088686
AT5G43900.3 FBpp0088684
AT1G04160.1 FBpp0088685
AT1G04160.1 FBpp0088686
AT1G04160.1 FBpp0088684
AT4G28710.1 FBpp0088685
AT4G28710.1 FBpp0088686
AT4G28710.1 FBpp0088684
AT2G20290.1 FBpp0088685
AT2G20290.1 FBpp0088686
AT2G20290.1 FBpp0088684
AT1G04600.1 FBpp0088685
AT1G04600.1 FBpp0088686
AT1G04600.1 FBpp0088684
AT2G33240.1 FBpp0088685
AT2G33240.1 FBpp0088686
AT2G33240.1 FBpp0088684
AT3G58160.1 FBpp0088685
AT3G58160.1 FBpp0088686
AT3G58160.1 FBpp0088684
AT3G19960.2 FBpp0298831
AT3G19960.2 FBpp0080458
AT3G19960.2 FBpp0298827
AT3G19960.2 FBpp0298829
AT3G19960.2 FBpp0312323
AT3G19960.2 FBpp0080452
AT3G19960.2 FBpp0291042
AT3G19960.2 FBpp0080456
AT3G19960.2 FBpp0080455
AT3G19960.2 FBpp0298828
AT3G19960.2 FBpp0291041
AT3G19960.2 FBpp0080453
AT3G19960.2 FBpp0080459
AT3G19960.2 FBpp0080464
AT3G19960.2 FBpp0291043
AT3G19960.2 FBpp0080454
AT3G19960.2 FBpp0080462
AT3G19960.2 FBpp0080463
AT3G19960.2 FBpp0298830
AT3G19960.2 FBpp0080457
AT3G19960.2 FBpp0080460
AT3G19960.2 FBpp0291728
AT3G19960.2 FBpp0291729
AT3G19960.2 FBpp0291731
AT3G19960.2 FBpp0072306
AT3G19960.2 FBpp0072305
AT3G19960.2 FBpp0099896
AT3G19960.2 FBpp0297531
AT3G19960.2 FBpp0291730
AT3G19960.2 FBpp0099894
AT1G50360.1 FBpp0298831
AT1G50360.1 FBpp0080458
AT1G50360.1 FBpp0298827
AT1G50360.1 FBpp0298829
AT1G50360.1 FBpp0312323
AT1G50360.1 FBpp0080452
AT1G50360.1 FBpp0291042
AT1G50360.1 FBpp0080456
AT1G50360.1 FBpp0080455
AT1G50360.1 FBpp0298828
AT1G50360.1 FBpp0291041
AT1G50360.1 FBpp0080453
AT1G50360.1 FBpp0080459
AT1G50360.1 FBpp0080464
AT1G50360.1 FBpp0291043
AT1G50360.1 FBpp0080454
AT1G50360.1 FBpp0080462
AT1G50360.1 FBpp0080463
AT1G50360.1 FBpp0298830
AT1G50360.1 FBpp0080457
AT1G50360.1 FBpp0080460
AT1G50360.1 FBpp0291728
AT1G50360.1 FBpp0291729
AT1G50360.1 FBpp0291731
AT1G50360.1 FBpp0072306
AT1G50360.1 FBpp0072305
AT1G50360.1 FBpp0099896
AT1G50360.1 FBpp0297531
AT1G50360.1 FBpp0291730
AT1G50360.1 FBpp0099894
AT4G27370.2 FBpp0298831
AT4G27370.2 FBpp0080458
AT4G27370.2 FBpp0298827
AT4G27370.2 FBpp0298829
AT4G27370.2 FBpp0312323
AT4G27370.2 FBpp0080452
AT4G27370.2 FBpp0291042
AT4G27370.2 FBpp0080456
AT4G27370.2 FBpp0080455
AT4G27370.2 FBpp0298828
AT4G27370.2 FBpp0291041
AT4G27370.2 FBpp0080453
AT4G27370.2 FBpp0080459
AT4G27370.2 FBpp0080464
AT4G27370.2 FBpp0291043
AT4G27370.2 FBpp0080454
AT4G27370.2 FBpp0080462
AT4G27370.2 FBpp0080463
AT4G27370.2 FBpp0298830
AT4G27370.2 FBpp0080457
AT4G27370.2 FBpp0080460
AT4G27370.2 FBpp0291728
AT4G27370.2 FBpp0291729
AT4G27370.2 FBpp0291731
AT4G27370.2 FBpp0072306
AT4G27370.2 FBpp0072305
AT4G27370.2 FBpp0099896
AT4G27370.2 FBpp0297531
AT4G27370.2 FBpp0291730
AT4G27370.2 FBpp0099894
AT5G54280.2 FBpp0298831
AT5G54280.2 FBpp0080458
AT5G54280.2 FBpp0298827
AT5G54280.2 FBpp0298829
AT5G54280.2 FBpp0312323
AT5G54280.2 FBpp0080452
AT5G54280.2 FBpp0291042
AT5G54280.2 FBpp0080456
AT5G54280.2 FBpp0080455
AT5G54280.2 FBpp0298828
AT5G54280.2 FBpp0291041
AT5G54280.2 FBpp0080453
AT5G54280.2 FBpp0080459
AT5G54280.2 FBpp0080464
AT5G54280.2 FBpp0291043
AT5G54280.2 FBpp0080454
AT5G54280.2 FBpp0080462
AT5G54280.2 FBpp0080463
AT5G54280.2 FBpp0298830
AT5G54280.2 FBpp0080457
AT5G54280.2 FBpp0080460
AT5G54280.2 FBpp0291728
AT5G54280.2 FBpp0291729
AT5G54280.2 FBpp0291731
AT5G54280.2 FBpp0072306
AT5G54280.2 FBpp0072305
AT5G54280.2 FBpp0099896
AT5G54280.2 FBpp0297531
AT5G54280.2 FBpp0291730
AT5G54280.2 FBpp0099894
AT2G13370.1 FBpp0304044
AT2G13370.1 FBpp0077358
AT2G13370.1 FBpp0297122
AT2G02090.1 FBpp0079496
AT3G06400.3 FBpp0086956
AT3G06400.3 FBpp0086955
AT3G06400.3 FBpp0086954
AT5G18620.2 FBpp0086956
AT5G18620.2 FBpp0086955
