Orthogroup	human	neurospora
OG0000001	ENSP00000479504, ENSP00000480030	EAA35509
OG0000001	ENSP00000319578, ENSP00000350698	EAA27679
OG0000001	ENSP00000483119, ENSP00000360828, ENSP00000483495, ENSP00000482680	EDO65410
OG0000001	ENSP00000448477, ENSP00000447098, ENSP00000323858, ENSP00000304072	EAA33062
OG0000001	ENSP00000310723	EAA35223
OG0000001	ENSP00000496356, ENSP00000496052, ENSP00000494887, ENSP00000493795, ENSP00000336725, ENSP00000353284, ENSP00000493819, ENSP00000495377, ENSP00000496663, ENSP00000494952, ENSP00000382840, ENSP00000392494, ENSP00000486720, ENSP00000487224, ENSP00000494040, ENSP00000486516, ENSP00000478443, ENSP00000496222, ENSP00000487062, ENSP00000486514, ENSP00000486443, ENSP00000486306, ENSP00000493475, ENSP00000496524, ENSP00000494518	EAA31690
OG0000001	ENSP00000424838, ENSP00000423102, ENSP00000427167, ENSP00000425359, ENSP00000347087, ENSP00000334167, ENSP00000423123	EAA35674
OG0000001	ENSP00000263239, ENSP00000415604	EAA29692
OG0000001	ENSP00000497432, ENSP00000314348, ENSP00000432032	EAA28280
OG0000001	ENSP00000361226, ENSP00000310539, ENSP00000479697, ENSP00000361232, ENSP00000387730	EAA32541
OG0000002	ENSP00000390812	EAA34050
OG0000002	ENSP00000369223, ENSP00000484452, ENSP00000255448, ENSP00000353846, ENSP00000401916, ENSP00000303887, ENSP00000427235, ENSP00000296550, ENSP00000489372	EAA30691
OG0000002	ENSP00000422634, ENSP00000282356, ENSP00000482880, ENSP00000291041, ENSP00000391772, ENSP00000415770, ENSP00000359164, ENSP00000359169, ENSP00000340586, ENSP00000359161, ENSP00000405950, ENSP00000354861, ENSP00000009105, ENSP00000392173, ENSP00000368122, ENSP00000478861, ENSP00000478874, ENSP00000393238, ENSP00000256460, ENSP00000419195, ENSP00000417614, ENSP00000420053	ESA44119
OG0000003	ENSP00000481420, ENSP00000382177, ENSP00000382179, ENSP00000350945, ENSP00000348693, ENSP00000451109, ENSP00000285039, ENSP00000261839	ESA42634
OG0000003	ENSP00000386041, ENSP00000348634, ENSP00000347507, ENSP00000273353, ENSP00000262873, ENSP00000483640, ENSP00000482463, ENSP00000433944, ENSP00000469573, ENSP00000493594, ENSP00000406273, ENSP00000470298, ENSP00000407879, ENSP00000472543, ENSP00000472819, ENSP00000366169, ENSP00000269243, ENSP00000353590, ENSP00000369315, ENSP00000216181, ENSP00000300036, ENSP00000458731, ENSP00000478816, ENSP00000488461, ENSP00000379616, ENSP00000407821, ENSP00000478092, ENSP00000478109	EAA35476
OG0000004	ENSP00000489846, ENSP00000486629, ENSP00000377747, ENSP00000284049, ENSP00000483667	ESA44011
