AT3G09720.1 ENSMUSP00000048802
AT5G60990.1 ENSMUSP00000119231
AT5G60990.1 ENSMUSP00000145232
AT5G60990.1 ENSMUSP00000145463
AT5G60990.1 ENSMUSP00000032326
AT1G16280.1 ENSMUSP00000008004
AT4G16630.1 ENSMUSP00000018143
AT1G77030.1 ENSMUSP00000031598
AT2G33730.1 ENSMUSP00000003450
AT1G28180.1 ENSMUSP00000003450
AT2G47330.1 ENSMUSP00000021046
AT2G42520.1 ENSMUSP00000000804
AT2G42520.1 ENSMUSP00000035261
AT2G42520.1 ENSMUSP00000088729
AT3G58510.1 ENSMUSP00000000804
AT3G58510.1 ENSMUSP00000035261
AT3G58510.1 ENSMUSP00000088729
AT3G58570.1 ENSMUSP00000000804
AT3G58570.1 ENSMUSP00000035261
AT3G58570.1 ENSMUSP00000088729
AT3G18600.1 ENSMUSP00000001724
AT3G18600.1 ENSMUSP00000114149
AT5G65900.1 ENSMUSP00000001724
AT5G65900.1 ENSMUSP00000114149
AT5G54910.1 ENSMUSP00000065198
AT2G40700.1 ENSMUSP00000109484
AT5G20450.10 ENSMUSP00000055362
AT5G20450.10 ENSMUSP00000107862
AT5G20470.1 ENSMUSP00000055362
AT5G20470.1 ENSMUSP00000107862
AT4G33200.4 ENSMUSP00000116028
AT4G33200.4 ENSMUSP00000120444
AT4G33200.4 ENSMUSP00000117493
AT4G33200.4 ENSMUSP00000073790
AT4G33200.4 ENSMUSP00000112728
AT4G33200.4 ENSMUSP00000042229
AT2G31900.2 ENSMUSP00000116028
AT2G31900.2 ENSMUSP00000120444
AT2G31900.2 ENSMUSP00000117493
AT2G31900.2 ENSMUSP00000073790
AT2G31900.2 ENSMUSP00000112728
AT2G31900.2 ENSMUSP00000042229
AT1G08730.1 ENSMUSP00000116028
AT1G08730.1 ENSMUSP00000120444
AT1G08730.1 ENSMUSP00000117493
AT1G08730.1 ENSMUSP00000073790
AT1G08730.1 ENSMUSP00000112728
AT1G08730.1 ENSMUSP00000042229
AT1G54560.1 ENSMUSP00000116028
AT1G54560.1 ENSMUSP00000120444
AT1G54560.1 ENSMUSP00000117493
AT1G54560.1 ENSMUSP00000073790
AT1G54560.1 ENSMUSP00000112728
AT1G54560.1 ENSMUSP00000042229
AT5G20490.2 ENSMUSP00000116028
AT5G20490.2 ENSMUSP00000120444
AT5G20490.2 ENSMUSP00000117493
AT5G20490.2 ENSMUSP00000073790
AT5G20490.2 ENSMUSP00000112728
AT5G20490.2 ENSMUSP00000042229
AT1G17580.1 ENSMUSP00000116028
AT1G17580.1 ENSMUSP00000120444
AT1G17580.1 ENSMUSP00000117493
AT1G17580.1 ENSMUSP00000073790
AT1G17580.1 ENSMUSP00000112728
AT1G17580.1 ENSMUSP00000042229
AT5G43900.3 ENSMUSP00000116028
AT5G43900.3 ENSMUSP00000120444
AT5G43900.3 ENSMUSP00000117493
AT5G43900.3 ENSMUSP00000073790
AT5G43900.3 ENSMUSP00000112728
