Orthogroup	neurospora	yeast
OG0000001	EAA35509	YGL171W_mRNA
OG0000001	EAA27679	YHR065C_mRNA
OG0000001	EDO65410	YLL008W_mRNA
OG0000001	EAA33062	YDL031W_mRNA
OG0000001	EAA35223	YDR243C_mRNA
OG0000001	EAA30806	YGL078C_mRNA
OG0000001	EAA31690	YOR204W_mRNA, YPL119C_mRNA
OG0000001	EAA29692	YMR290C_mRNA
OG0000001	EAA28280	YJL033W_mRNA
OG0000001	EAA32541	YKR024C_mRNA
OG0000002	EAA30691, ESA44119	YGL158W_mRNA, YFR014C_mRNA, YOL016C_mRNA
OG0000002	EAA27890	YOR351C_mRNA
OG0000003	ESA42634	YOR326W_mRNA, YAL029C_mRNA
OG0000003	EAA35476	YHR023W_mRNA
OG0000004	ESA44011	YER164W_mRNA
OG0000004	EAA29079	YAL019W_mRNA
OG0000004	EAA33332	YFR038W_mRNA
OG0000004	EAA27312	YOR304W_mRNA, YBR245C_mRNA
OG0000004	EAA27892	YIL126W_mRNA, YOR290C_mRNA
OG0000007	EAA36368, EAA33184	YIL124W_mRNA
OG0000007	EAA33478	YMR226C_mRNA
OG0000007	EAA32855	YNL202W_mRNA
OG0000007	EAA35647	YIR035C_mRNA, YIR036C_mRNA
OG0000012	EAA35417	YDR402C_mRNA
OG0000015	EAA28073, EAA32480, EAA33076	YBR237W_mRNA
OG0000015	EAA30775	YDL160C_mRNA
OG0000015	EAA32364	YDR021W_mRNA
OG0000015	EAA29185	YKR059W_mRNA, YJL138C_mRNA
OG0000015	EAA32290	YOR046C_mRNA
OG0000016	ESA42258	YNL154C_mRNA, YHR135C_mRNA
OG0000016	ESA44278	YPL204W_mRNA
OG0000021	EAA32898	YMR104C_mRNA, YKL126W_mRNA
OG0000022	EAA35201, EAA30420, EAA29261, EAA30454	YOR246C_mRNA
OG0000023	EAA32517	YEL030W_mRNA, YJR045C_mRNA
OG0000023	EAA35366	YDL229W_mRNA, YNL209W_mRNA
OG0000023	EAA27331	YJL034W_mRNA
OG0000023	EAA34130	YLL024C_mRNA, YAL005C_mRNA, YER103W_mRNA, YBL075C_mRNA
OG0000024	EAA36439	YCR011C_mRNA
OG0000024	EAA28525	YOL075C_mRNA
OG0000026	EAA28587	YAL026C_mRNA
OG0000026	EAA35394	YDR093W_mRNA, YER166W_mRNA
OG0000030	EAA26767	YBR010W_mRNA, YNL031C_mRNA
OG0000033	EAA34194	YDR457W_mRNA
OG0000033	EAA28350	YER125W_mRNA
OG0000035	EAA30204	YDR224C_mRNA, YBL002W_mRNA
OG0000036	EAA28332, EAA28221	YMR246W_mRNA, YIL009W_mRNA, YOR317W_mRNA
OG0000036	EAA27040	YER015W_mRNA
OG0000038	ESA44151	YDL137W_mRNA, YDL192W_mRNA
OG0000038	EAA29781	YBR164C_mRNA
OG0000038	EAA27367	YMR138W_mRNA
OG0000041	EAA32002	YHR129C_mRNA
OG0000041	ESA42660	YFL039C_mRNA
OG0000046	EAA32081	YGR281W_mRNA
OG0000046	EAA28910	YLL015W_mRNA, YDR135C_mRNA
OG0000046	EAA32984, EAA32894, EAA36025, EAA34524, EAA31399	YLL048C_mRNA, YHL035C_mRNA
OG0000047	EAA35947	YLL053C_mRNA, YPR192W_mRNA, YLL052C_mRNA
OG0000048	EAA33577, ESA42590	YPR161C_mRNA
OG0000048	EAA29038	YPL031C_mRNA
OG0000048	EAA30881	YBR160W_mRNA
OG0000053	EAA36453	YBR182C_mRNA
OG0000054	EAA35453	YKL078W_mRNA
OG0000054	EAA35877	YKR086W_mRNA
OG0000054	EAA27287	YGL120C_mRNA
OG0000054	EAA33344	YER013W_mRNA
OG0000054	EAA31559	YNR011C_mRNA
OG0000055	EAA27946, EAA27673	YDL124W_mRNA
OG0000055	EAA30135	YBR149W_mRNA
OG0000055	EAA36301, EAA27685	YOR120W_mRNA, YDR368W_mRNA
OG0000055	EAA34695	YHR104W_mRNA
OG0000056	EAA32969	YER020W_mRNA
OG0000056	EAA27897	YHR005C_mRNA
OG0000057	EAA35290	YGR152C_mRNA
OG0000057	EAA32627	YOR101W_mRNA
OG0000062	EAA32927	YLR113W_mRNA
OG0000062	ESA41968	YBL016W_mRNA, YGR040W_mRNA
OG0000062	EAA28804	YHR030C_mRNA
OG0000063	ESA43632	YIL107C_mRNA
OG0000063	EAA29690	YJL155C_mRNA
OG0000063	ESA42513	YLR345W_mRNA
OG0000064	ESA43211, EAA34578	YBR233W_mRNA
OG0000066	EAA26766, EAA27361, EAA27083	YNL030W_mRNA, YBR009C_mRNA
OG0000067	EAA30206	YDR225W_mRNA, YBL003C_mRNA
OG0000068	EAA30246, EAA29936	YKL157W_mRNA, YHR047C_mRNA
OG0000078	EAA30594	YAL041W_mRNA
OG0000080	EAA29905	YKR099W_mRNA
OG0000081	EAA27996	YPL209C_mRNA
OG0000082	ESA43715	YLR399C_mRNA, YDL070W_mRNA
OG0000083	ESA42511	YIL033C_mRNA
OG0000085	EAA34616	YDR373W_mRNA
OG0000092	EAA35822, EAA35627	YJR076C_mRNA
