AT3G09720.1 YGL171W_mRNA
AT5G60990.1 YHR065C_mRNA
AT1G16280.1 YHR169W_mRNA
AT4G16630.1 YLL008W_mRNA
AT1G77030.1 YDL031W_mRNA
AT2G33730.1 YDR243C_mRNA
AT1G28180.1 YDR243C_mRNA
AT1G31970.1 YGL078C_mRNA
AT2G42520.1 YOR204W_mRNA
AT2G42520.1 YPL119C_mRNA
AT3G58510.1 YOR204W_mRNA
AT3G58510.1 YPL119C_mRNA
AT3G58570.1 YOR204W_mRNA
AT3G58570.1 YPL119C_mRNA
AT3G18600.1 YMR290C_mRNA
AT5G65900.1 YMR290C_mRNA
AT5G54910.1 YJL033W_mRNA
AT2G40700.1 YKR024C_mRNA
AT4G33200.4 YOR326W_mRNA
AT4G33200.4 YAL029C_mRNA
AT2G31900.2 YOR326W_mRNA
AT2G31900.2 YAL029C_mRNA
AT1G08730.1 YOR326W_mRNA
AT1G08730.1 YAL029C_mRNA
AT1G54560.1 YOR326W_mRNA
AT1G54560.1 YAL029C_mRNA
AT5G20490.2 YOR326W_mRNA
AT5G20490.2 YAL029C_mRNA
AT1G17580.1 YOR326W_mRNA
AT1G17580.1 YAL029C_mRNA
AT5G43900.3 YOR326W_mRNA
AT5G43900.3 YAL029C_mRNA
AT1G04160.1 YOR326W_mRNA
AT1G04160.1 YAL029C_mRNA
AT4G28710.1 YOR326W_mRNA
AT4G28710.1 YAL029C_mRNA
AT2G20290.1 YOR326W_mRNA
AT2G20290.1 YAL029C_mRNA
AT1G04600.1 YOR326W_mRNA
AT1G04600.1 YAL029C_mRNA
AT2G33240.1 YOR326W_mRNA
AT2G33240.1 YAL029C_mRNA
AT3G58160.1 YOR326W_mRNA
AT3G58160.1 YAL029C_mRNA
AT3G19960.2 YHR023W_mRNA
AT1G50360.1 YHR023W_mRNA
AT4G27370.2 YHR023W_mRNA
AT5G54280.2 YHR023W_mRNA
AT2G13370.1 YER164W_mRNA
AT2G02090.1 YAL019W_mRNA
AT5G66750.1 YFR038W_mRNA
AT3G06400.3 YOR304W_mRNA
AT3G06400.3 YBR245C_mRNA
AT5G18620.2 YOR304W_mRNA
AT5G18620.2 YBR245C_mRNA
AT2G46020.2 YIL126W_mRNA
AT2G46020.2 YOR290C_mRNA
AT2G28290.5 YIL126W_mRNA
AT2G28290.5 YOR290C_mRNA
AT3G06010.1 YIL126W_mRNA
AT3G06010.1 YOR290C_mRNA
AT5G19310.1 YIL126W_mRNA
AT5G19310.1 YOR290C_mRNA
AT5G10050.1 YIL124W_mRNA
AT5G65205.1 YIL124W_mRNA
AT3G12800.1 YNL202W_mRNA
AT2G07640.1 YNL202W_mRNA
AT1G36580.1 YIR035C_mRNA
AT1G36580.1 YIR036C_mRNA
AT2G45510.1 YDR402C_mRNA
AT5G26742.2 YBR237W_mRNA
AT3G22310.1 YBR237W_mRNA
AT3G22330.1 YBR237W_mRNA
AT5G14610.1 YBR237W_mRNA
AT3G06480.1 YBR237W_mRNA
AT2G45810.1 YDL160C_mRNA
AT3G61240.1 YDL160C_mRNA
AT4G00660.1 YDL160C_mRNA
AT3G19760.1 YDR021W_mRNA
AT1G51380.1 YDR021W_mRNA
AT3G13920.5 YKR059W_mRNA
AT3G13920.5 YJL138C_mRNA
AT1G54270.1 YKR059W_mRNA
AT1G54270.1 YJL138C_mRNA
AT1G72730.1 YKR059W_mRNA
AT1G72730.1 YJL138C_mRNA
AT3G53110.1 YOR046C_mRNA
AT4G14340.1 YNL154C_mRNA
AT4G14340.1 YHR135C_mRNA
AT4G14340.1 YPL204W_mRNA
AT3G23340.1 YNL154C_mRNA
AT3G23340.1 YHR135C_mRNA
AT3G23340.1 YPL204W_mRNA
AT1G04440.1 YNL154C_mRNA
AT1G04440.1 YHR135C_mRNA
AT1G04440.1 YPL204W_mRNA
AT5G43320.1 YNL154C_mRNA
AT5G43320.1 YHR135C_mRNA
AT5G43320.1 YPL204W_mRNA
AT4G28540.1 YNL154C_mRNA
AT4G28540.1 YHR135C_mRNA
AT4G28540.1 YPL204W_mRNA
AT5G44100.1 YNL154C_mRNA
AT5G44100.1 YHR135C_mRNA
AT5G44100.1 YPL204W_mRNA
AT1G03930.1 YNL154C_mRNA
AT1G03930.1 YHR135C_mRNA
AT1G03930.1 YPL204W_mRNA
AT4G28860.1 YNL154C_mRNA
AT4G28860.1 YHR135C_mRNA
AT4G28860.1 YPL204W_mRNA
AT4G28880.1 YNL154C_mRNA
AT4G28880.1 YHR135C_mRNA
AT4G28880.1 YPL204W_mRNA
AT2G19470.1 YNL154C_mRNA
AT2G19470.1 YHR135C_mRNA
AT2G19470.1 YPL204W_mRNA
AT4G08800.1 YNL154C_mRNA
AT4G08800.1 YHR135C_mRNA
AT4G08800.1 YPL204W_mRNA
AT1G72710.1 YNL154C_mRNA
AT1G72710.1 YHR135C_mRNA
AT1G72710.1 YPL204W_mRNA
AT4G26100.1 YNL154C_mRNA
AT4G26100.1 YHR135C_mRNA
AT4G26100.1 YPL204W_mRNA
AT5G57015.1 YNL154C_mRNA
AT5G57015.1 YHR135C_mRNA
AT5G57015.1 YPL204W_mRNA
AT3G08720.1 YMR104C_mRNA
AT3G08720.1 YKL126W_mRNA
AT2G29700.1 YMR104C_mRNA
AT2G29700.1 YKL126W_mRNA
AT5G05710.1 YMR104C_mRNA
AT5G05710.1 YKL126W_mRNA
AT4G11410.1 YOR246C_mRNA
AT4G23430.2 YOR246C_mRNA
AT4G23420.3 YOR246C_mRNA
AT5G02540.1 YOR246C_mRNA
AT2G37540.1 YOR246C_mRNA
AT4G24050.1 YOR246C_mRNA
AT1G64590.1 YOR246C_mRNA
AT5G50130.1 YOR246C_mRNA
AT5G53090.1 YOR246C_mRNA
AT4G27760.1 YOR246C_mRNA
AT5G53100.1 YOR246C_mRNA
AT1G03630.1 YOR246C_mRNA
AT5G42020.3 YJL034W_mRNA
AT5G28540.1 YJL034W_mRNA
AT1G09080.1 YJL034W_mRNA
AT5G02490.1 YLL024C_mRNA
AT5G02490.1 YAL005C_mRNA
AT5G02490.1 YER103W_mRNA
AT5G02490.1 YBL075C_mRNA
AT5G02500.1 YLL024C_mRNA
AT5G02500.1 YAL005C_mRNA
AT5G02500.1 YER103W_mRNA
AT5G02500.1 YBL075C_mRNA
AT3G09440.1 YLL024C_mRNA
AT3G09440.1 YAL005C_mRNA
AT3G09440.1 YER103W_mRNA
AT3G09440.1 YBL075C_mRNA
AT3G12580.1 YLL024C_mRNA
AT3G12580.1 YAL005C_mRNA
AT3G12580.1 YER103W_mRNA
AT3G12580.1 YBL075C_mRNA
AT1G56410.1 YLL024C_mRNA
AT1G56410.1 YAL005C_mRNA
AT1G56410.1 YER103W_mRNA
AT1G56410.1 YBL075C_mRNA
AT1G16030.1 YLL024C_mRNA
AT1G16030.1 YAL005C_mRNA
AT1G16030.1 YER103W_mRNA
AT1G16030.1 YBL075C_mRNA
AT3G13220.1 YCR011C_mRNA
AT5G06530.1 YCR011C_mRNA
AT4G27420.1 YCR011C_mRNA
AT3G25620.2 YCR011C_mRNA
AT1G31770.1 YCR011C_mRNA
AT1G71960.1 YCR011C_mRNA
AT3G21080.1 YOL075C_mRNA
AT5G13580.1 YOL075C_mRNA
AT2G39350.1 YOL075C_mRNA
AT3G55090.1 YOL075C_mRNA
AT3G53510.1 YOL075C_mRNA
AT2G37360.1 YOL075C_mRNA
AT3G55100.1 YOL075C_mRNA
AT3G55110.1 YOL075C_mRNA
AT3G55130.1 YOL075C_mRNA
AT2G13610.1 YOL075C_mRNA
AT4G25750.1 YOL075C_mRNA
AT5G52860.1 YOL075C_mRNA
